Rk,Player,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
101,Gustav Isaksen,698,5227,2521,95,56,53,46,31,805,249,2210,2024-2025,23,dk DEN,Lazio,it Serie A,37,FW,5715bb71
102,Nico Williams,697,5556,2949,118,58,58,62,46,767,254,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,FW,afdc14d7
103,Arda Güler,696,3418,1720,34,33,10,23,9,808,86,1250,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,MFFW,3741ca58
104,Yann Gboho,690,4979,2956,116,74,37,66,50,709,189,2333,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,MFFW,6be41a31
105,Robin Hack,684,3945,1823,51,46,21,65,44,809,141,2172,2024-2025,25,de GER,Gladbach,de Bundesliga,33,FWMF,0174ba21
106,Florian Thauvin,682,5087,2388,92,53,34,60,38,790,148,1956,2024-2025,31,fr FRA,Udinese,it Serie A,25,FWMF,2b9fdeea
107,Florian Sotoca,679,2942,1488,44,43,7,20,22,932,170,1794,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,FWMF,7a42d0df
108,Domingos André Ribeiro Almeida,676,3596,1810,45,48,11,37,38,836,77,1977,2024-2025,24,pt POR,Valencia,es La Liga,34,MFFW,e6697917
109,Keito Nakamura,675,4372,2356,90,45,33,67,43,776,197,2649,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,FWMF,d97af612
110,Giuseppe Pezzella,673,4110,2076,77,33,12,46,32,778,143,2878,2024-2025,26,it ITA,Empoli,it Serie A,35,DFFW,149c5f5d
111,Gabriel Martinelli,670,4985,2620,124,33,64,50,38,752,289,2290,2024-2025,23,br BRA,Arsenal,eng Premier League,33,FWMF,48a5a5d6
112,Dennis Man,665,4491,1914,67,40,31,44,31,741,142,1995,2024-2025,25,ro ROU,Parma,it Serie A,33,FWMF,2079b3cc
113,Antony,663,4570,2729,94,77,30,53,20,751,157,1362,2024-2025,24,br BRA,Betis,es La Liga,17,FW,99127249
114,Jadon Sancho,653,4450,2435,102,35,57,30,21,760,225,1764,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,FW,dbf053da
115,Viktor Tsyhankov,650,4031,1883,62,46,27,32,25,770,195,1913,2024-2025,26,ua UKR,Girona,es La Liga,27,FWMF,f7e87032
116,Álvaro García,644,3004,1484,68,28,25,61,16,746,245,2559,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,FWMF,90bbd822
117,Álex Berenguer,643,4310,2050,65,40,27,52,50,809,216,2339,2024-2025,29,es ESP,Athletic Club,es La Liga,36,FWMF,dc1c2fce
118,Callum Hudson-Odoi,641,5345,3401,130,61,47,45,23,784,189,2194,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,FWMF,15f3ec41
119,Noni Madueke,641,5413,3485,154,50,93,52,25,756,226,2033,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,FW,bf34eebd
120,Alexis Saelemaekers,641,3310,1733,46,36,15,40,14,770,149,1479,2024-2025,25,be BEL,2 Teams,it Serie A,23,DFFW,ee251371
121,Hugo Ekitike,633,4443,2307,93,57,52,99,34,777,215,2563,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,FW,5b92d896
122,Gianluca Caprari,629,3384,1544,43,37,12,38,31,686,104,1651,2024-2025,31,it ITA,Monza,it Serie A,34,MFFW,54e53b7e
123,Mohamed Amoura,628,4108,2067,81,46,35,86,18,733,244,2467,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,FW,6597f8b6
124,Bukayo Saka,628,4253,2460,96,32,51,34,40,711,255,1729,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,FWMF,bc7dc64d
125,Jamie Gittens,627,5171,2826,113,56,63,49,35,653,180,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
126,Lautaro Martínez,625,2739,1101,34,27,12,70,54,754,197,2564,2024-2025,26,ar ARG,Inter,it Serie A,31,FW,f7036e1c
127,Javi Puado,623,4528,1960,73,48,22,71,33,703,113,2974,2024-2025,26,es ESP,Espanyol,es La Liga,35,FWMF,2683eda7
128,Iliman Ndiaye,621,4800,2367,86,44,32,55,44,674,122,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,FW,5ed97752
