Rk,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
224,Marcus Thuram,830,21,71,333,439,160,830,2290,2024-2025,26,fr FRA,Inter,it Serie A,32,FW,6f8cd6d0
225,Malick Fofana,828,7,79,284,487,95,828,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,FW,8236f673
226,Adrià Altimira,826,57,248,380,209,8,826,1630,2024-2025,23,es ESP,Leganés,es La Liga,22,DFFW,757a3431
227,Dany Mota,820,24,85,376,368,80,820,2104,2024-2025,26,pt POR,Monza,it Serie A,31,FWMF,efc9e31f
228,Josué Casimir,814,23,161,301,370,76,814,1997,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,FWMF,481f76cf
229,Arthur Atta,813,21,125,417,289,39,813,1251,2024-2025,21,fr FRA,Udinese,it Serie A,27,MFFW,d3ddf88b
230,Tomáš Suslov,811,18,137,393,306,28,811,2080,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,MFFW,83fe71b8
231,Jonas Wind,810,17,63,426,325,88,808,1966,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,FWMF,2077ae86
232,Harvey Barnes,810,17,97,257,462,128,810,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,FW,3ea50f67
233,Jordan Ayew,810,21,103,414,317,56,809,1659,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,FWMF,da052c14
234,Osame Sahraoui,804,11,58,300,456,67,804,1293,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,FWMF,6f9fa232
235,Boulaye Dia,802,19,85,436,293,94,802,2177,2024-2025,27,sn SEN,Lazio,it Serie A,35,MFFW,244bc2c8
236,Che Adams,802,19,53,387,371,104,801,2652,2024-2025,28,sct SCO,Torino,it Serie A,36,FW,f2bf1b0f
237,Jamie Leweling,801,18,97,306,418,67,801,1663,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,MFFW,13fe7b69
238,Angelo Fulgini,801,8,87,340,381,50,801,1045,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,MFFW,4b96c347
239,Adama Traoré,801,4,83,285,455,91,801,1772,2024-2025,28,es ESP,Fulham,eng Premier League,36,FWMF,9a28eba4
240,Dani Olmo,797,18,64,351,390,77,795,1212,2024-2025,26,es ESP,Barcelona,es La Liga,25,MFFW,ae44e8e2
241,Deniz Undav,797,11,61,379,369,118,797,1726,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,FWMF,dd549382
242,Carlos Soler,794,27,180,409,210,26,794,1409,2024-2025,27,es ESP,West Ham,eng Premier League,31,MFFW,fed17f5a
243,Lucas Beltrán,791,15,91,423,285,51,788,1953,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,FWMF,482d2bc3
244,Aitor Ruibal,790,45,231,321,248,33,790,1313,2024-2025,28,es ESP,Betis,es La Liga,29,DFFW,a55d8df5
245,Jonathan Burkardt,788,19,49,364,378,121,786,2109,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,FW,05f99a4a
246,Nick Woltemade,788,19,60,332,405,159,785,1622,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,FWMF,7ca196eb
247,Ante Budimir,788,31,52,335,407,170,780,2952,2024-2025,33,hr CRO,Osasuna,es La Liga,38,FW,8f3565b3
248,Kai Havertz,785,31,92,287,411,107,785,1875,2024-2025,25,de GER,Arsenal,eng Premier League,23,FWMF,fed7cb61
249,Mikel Merino,783,37,140,330,323,79,783,1586,2024-2025,28,es ESP,Arsenal,eng Premier League,28,MFFW,d080ed5e
250,Bryan Zaragoza,782,4,70,286,444,84,782,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
251,Tiago Tomás,782,18,114,342,339,78,782,1884,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,FWMF,b492126a
252,Marius Bülter,774,25,108,297,379,83,774,1729,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,FWDF,ab5b7dc1
253,Chris Wood,770,40,89,361,322,105,767,2959,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,FW,4e9a0555
254,Thomas Müller,763,13,46,274,443,103,763,1225,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,MFFW,3c6089ab
255,Jacob Ramsey,762,12,146,272,359,74,762,1623,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,FWMF,1544f145
256,Franck Honorat,762,30,127,260,389,60,762,1439,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,FW,db7849ca
257,Adam Hložek,761,20,73,334,367,114,761,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,FWMF,5521f419
258,Jens Odgaard,759,11,60,340,368,68,759,1952,2024-2025,25,dk DEN,Bologna,it Serie A,29,MFFW,75374ee7
259,Gaetano Oristanio,758,5,70,300,416,88,757,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,FWMF,5cfc74fc
260,Serge Gnabry,758,9,68,288,407,96,757,1242,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,FWMF,88e357ef
261,Mitchel Bakker,758,12,101,328,334,32,758,1139,2024-2025,24,nl NED,Lille,fr Ligue 1,24,FWDF,a8567629
262,Iván Sánchez,755,12,127,331,308,22,755,1404,2024-2025,31,es ESP,Valladolid,es La Liga,32,MFFW,70107d4d
263,Carles Aleñá,753,7,89,374,299,32,753,1542,2024-2025,26,es ESP,2 Teams,es La Liga,24,MFFW,6c811eb7
264,Morten Thorsby,753,29,142,371,247,66,753,1898,2024-2025,28,no NOR,Genoa,it Serie A,30,MFFW,d1b49282
265,Ander Barrenetxea,751,11,102,263,402,63,751,1263,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,MFFW,200e89e1
266,Lilian Raolisoa,751,47,228,281,259,19,751,1318,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,DFFW,79a793b7
267,Isaac Romero,751,21,69,340,349,89,750,2156,2024-2025,24,es ESP,Sevilla,es La Liga,31,FW,be719093
268,Óscar Rodríguez Arnaiz,749,19,113,395,251,21,749,1330,2024-2025,26,es ESP,Leganés,es La Liga,29,MFFW,19709006
269,Dwight McNeil,748,6,73,328,368,25,748,1371,2024-2025,24,eng ENG,Everton,eng Premier League,21,MFFW,fc15fb84
270,Irvin Cardona,743,18,75,259,415,76,742,1669,2024-2025,26,fr FRA,2 Teams,2 Comps,31,FWMF,5e080f73
271,Manuel Fuster,742,19,93,364,288,23,742,1003,2024-2025,26,es ESP,Las Palmas,es La Liga,28,FWMF,618f396a
272,Alexandre Lacazette,742,11,50,281,416,137,736,2051,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,FW,9dbb75ca
273,Oladapo Afolayan,741,13,84,304,365,62,741,1639,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,FWMF,5054c359
274,Jean-Philippe Mateta,739,26,64,351,338,95,737,2648,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,FW,50e6dc35
275,Francisco Conceição,739,11,87,244,425,92,739,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,FWMF,5ef3d210
276,Jørgen Strand Larsen,736,36,85,348,304,108,736,2587,2024-2025,24,no NOR,Wolves,eng Premier League,35,FW,f553b2b3
277,Vedat Muriqi,733,48,75,358,307,114,730,2058,2024-2025,30,xk KVX,Mallorca,es La Liga,29,FW,0cadc46d
278,Gaëtan Laborde,730,28,74,333,333,127,726,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,FW,7cdda3bf
279,Santiago Pierotti,730,45,148,322,279,81,730,1937,2024-2025,23,ar ARG,Lecce,it Serie A,36,FW,ec315772
280,Mikel Oyarzabal,729,15,59,348,326,107,725,2250,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,FW,8c3c640c
281,Alejandro Jiménez,729,23,184,305,253,37,729,1266,2024-2025,19,es ESP,Milan,it Serie A,22,DFFW,faa13947
282,Danny Welbeck,726,18,58,318,356,102,725,2115,2024-2025,33,eng ENG,Brighton,eng Premier League,30,FW,ce5143da
283,Romelu Lukaku,725,18,34,306,388,143,721,2843,2024-2025,31,be BEL,Napoli,it Serie A,36,FW,5eae500a
284,David Neres,724,8,73,287,388,60,724,1283,2024-2025,27,br BRA,Napoli,it Serie A,28,FW,4f1e6a0b
285,Daniel Maldini,724,17,80,350,310,65,724,1564,2024-2025,22,it ITA,2 Teams,it Serie A,30,MFFW,801831fe
286,Pedro,722,4,69,343,319,61,720,1102,2024-2025,37,es ESP,Lazio,it Serie A,30,FWMF,3ca7254a
287,Santiago Castro,722,23,55,312,363,101,721,2294,2024-2025,19,ar ARG,Bologna,it Serie A,36,FW,ee5565ae
288,Alessandro Zanoli,720,29,165,298,267,43,720,1711,2024-2025,23,it ITA,Genoa,it Serie A,31,FWDF,3b12b11f
289,Mohamed Ali Cho,720,9,75,308,356,74,720,1621,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,FWMF,f8405304
290,Sofiane Diop,714,17,101,347,277,35,714,1064,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,MFFW,19053e31
291,Mathias Pereira Lage,714,24,120,277,324,37,714,1571,2024-2025,27,pt POR,Brest,fr Ligue 1,29,FWMF,8846a40f
292,Johannes Eggestein,713,6,46,371,302,78,711,1853,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,FW,d571df78
