Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
232,Dani Olmo,40,0.2,0.53,15,0.375,18.1,1,1225,2024-2025,26,es ESP,Barcelona,es La Liga,25,MFFW,ae44e8e2
233,Randal Kolo Muani,40,0.2,0.42,19,0.475,12.7,0,1525,2024-2025,25,fr FRA,2 Teams,2 Comps,26,FW,c0b3669f
234,Boulaye Dia,39,0.23,0.47,19,0.487,13.3,0,2199,2024-2025,27,sn SEN,Lazio,it Serie A,35,MFFW,244bc2c8
235,Arda Güler,39,0.08,0.19,16,0.41,20.0,2,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,MFFW,3741ca58
236,Adrian Beck,39,0.1,0.31,13,0.3329999999999999,17.8,0,1609,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,MFFW,616c09f5
237,Mikel Oyarzabal,39,0.13,0.38,13,0.3329999999999999,13.4,0,2268,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,FW,8c3c640c
238,Adama Traoré,39,0.05,0.17,12,0.308,14.2,0,1786,2024-2025,28,es ESP,Fulham,eng Premier League,36,FWMF,9a28eba4
239,Lucas Paquetá,39,0.05,0.67,3,0.077,19.5,4,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
240,Dani Raba,39,0.1,0.33,12,0.308,25.5,4,1895,2024-2025,28,es ESP,Leganés,es La Liga,29,FWMF,ea6a7ab4
241,Jonas Wind,38,0.21,0.73,11,0.289,13.4,0,1978,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,FWMF,2077ae86
242,Oladapo Afolayan,38,0.08,0.23,13,0.342,20.4,0,1652,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,FWMF,5054c359
243,Nicolas Pépé,38,0.08,0.18,17,0.447,16.0,1,1509,2024-2025,29,ci CIV,Villarreal,es La Liga,28,FWMF,57e3f0c7
244,Léo Scienza,38,0.08,0.2,15,0.395,21.7,4,1164,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,FWMF,79064bc9
245,Moritz Broschinski,38,0.03,0.09,11,0.289,17.1,0,1403,2024-2025,23,de GER,Bochum,de Bundesliga,33,FWMF,bbd79358
246,Mikel Merino,38,0.18,0.54,13,0.342,10.7,0,1591,2024-2025,28,es ESP,Arsenal,eng Premier League,28,MFFW,d080ed5e
247,Yaser Asprilla,38,0.08,0.27,11,0.289,22.9,2,1414,2024-2025,20,co COL,Girona,es La Liga,27,FWMF,d139daf9
248,Cyle Larin,38,0.16,0.43,14,0.368,11.7,0,1783,2024-2025,29,ca CAN,Mallorca,es La Liga,32,FW,e7af9060
249,Phil Harres,37,0.22,0.47,17,0.4589999999999999,12.7,0,1553,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,FW,07db670d
250,Callum Hudson-Odoi,37,0.14,0.29,17,0.4589999999999999,18.3,0,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,FWMF,15f3ec41
251,Pedro,37,0.22,0.5,16,0.432,19.1,0,1108,2024-2025,37,es ESP,Lazio,it Serie A,30,FWMF,3ca7254a
252,Marius Bülter,37,0.19,0.47,15,0.405,16.2,0,1742,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,FWDF,ab5b7dc1
253,Adri Embarba,37,0.03,0.08,12,0.324,22.1,2,1624,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,FWMF,db8f0eba
254,Abdallah Sima,37,0.19,0.39,18,0.486,13.1,0,1250,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,FWMF,fdbde523
255,Casper Tengstedt,37,0.14,0.5,10,0.27,14.2,0,1535,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,FW,ff2fb007
256,Sergi Darder,36,0.06,0.22,9,0.25,24.2,1,2767,2024-2025,30,es ESP,Mallorca,es La Liga,38,MFFW,070a3904
257,Chris Führich,36,0.06,0.17,12,0.3329999999999999,17.3,2,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,MFFW,0cf778df
258,Wahbi Khazri,36,0.03,0.17,6,0.1669999999999999,24.7,4,1127,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,FWMF,2677a1de
259,Facundo Buonanotte,36,0.14,0.42,12,0.3329999999999999,17.6,0,1530,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,FWMF,468a7a91
