Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Patrik Schick,68,0.29,0.63,32,0.471,11.8,0,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,FW,5d4f7d61
2,Lucas Stassin,44,0.27,0.52,23,0.523,14.1,0,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,FW,a47d6f3a
3,Chris Wood,65,0.26,0.53,32,0.492,13.5,0,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,FW,4e9a0555
4,Jørgen Strand Larsen,54,0.26,0.42,33,0.611,11.3,0,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,FW,f553b2b3
5,Ayoze Pérez,75,0.25,0.61,31,0.413,14.2,0,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,FW,819aa8e7
6,Ludovic Ajorque,53,0.25,0.52,25,0.472,12.1,0,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,FW,462475ed
7,Alexander Sørloth,78,0.24,0.48,40,0.513,12.0,0,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,FW,e92cd3f7
8,Borja Iglesias,46,0.24,0.39,28,0.609,13.4,0,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,FW,75645f0e
9,Jonathan Burkardt,70,0.23,0.57,28,0.4,13.6,0,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,FW,05f99a4a
10,Ermedin Demirović,64,0.23,0.56,27,0.422,11.3,0,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,FW,ed79b7d3
11,Emanuel Emegha,61,0.23,0.4,35,0.574,12.5,0,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,FW,a0c590b9
12,Robert Lewandowski,111,0.22,0.53,45,0.405,13.2,5,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,FW,8d78e732
13,Marcus Thuram,65,0.22,0.52,27,0.415,13.1,0,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,FW,6f8cd6d0
14,Nick Woltemade,46,0.22,0.43,23,0.5,12.3,0,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,FWMF,7ca196eb
15,Mateo Retegui,99,0.21,0.66,32,0.3229999999999999,12.8,2,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
16,Ousmane Dembélé,96,0.21,0.41,49,0.51,16.0,0,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
17,Yoane Wissa,90,0.21,0.46,41,0.456,13.2,0,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,FW,2500cef9
18,Serhou Guirassy,86,0.21,0.55,33,0.384,12.1,1,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,FW,923f4dda
19,Tim Kleindienst,73,0.21,0.42,36,0.493,12.9,0,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,FW,258a6f4d
20,Hugo Duro,48,0.21,0.63,16,0.3329999999999999,11.1,1,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,FW,37e103f8
21,Ferrán Torres,48,0.21,0.45,22,0.4579999999999999,14.6,2,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,FWMF,9e1035f8
22,Alexander Isak,95,0.2,0.46,41,0.432,14.5,3,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,FW,8e92be30
23,Kevin Schade,55,0.2,0.41,27,0.491,11.5,0,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,FW,52afb588
24,Brennan Johnson,54,0.2,0.55,20,0.37,11.4,0,2185,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,FW,0cd31129
25,Bryan Mbeumo,79,0.19,0.44,34,0.43,17.9,6,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
26,Bradley Barcola,74,0.19,0.37,38,0.514,13.2,0,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
27,Julián Álvarez,70,0.19,0.36,36,0.514,18.3,5,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,FW,15ab5a2b
28,Evann Guessand,63,0.19,0.44,27,0.429,12.7,0,2578,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,FWMF,b73f17f8
29,Alexandre Lacazette,53,0.19,0.32,31,0.585,13.5,1,2067,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,FW,9dbb75ca
30,Erling Haaland,104,0.18,0.35,55,0.529,12.3,1,2742,2024-2025,24,no NOR,Manchester City,eng Premier League,31,FW,1f44ac21
31,Luis Díaz,71,0.18,0.43,30,0.423,13.4,0,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,FW,4a1a9578
32,Jean-Philippe Mateta,68,0.18,0.41,29,0.426,15.5,0,2661,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,FW,50e6dc35
33,Arnaud Kalimuendo,68,0.18,0.41,29,0.426,16.7,1,2593,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,FWMF,bf4c41f9
34,Romelu Lukaku,60,0.18,0.55,20,0.3329999999999999,14.3,1,2872,2024-2025,31,be BEL,Napoli,it Serie A,36,FW,5eae500a
35,Cody Gakpo,57,0.18,0.45,22,0.386,15.1,0,1952,2024-2025,25,nl NED,Liverpool,eng Premier League,35,FW,1971591f
36,Kaoru Mitoma,57,0.18,0.37,27,0.474,13.9,0,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
37,Shuto Machino,49,0.18,0.43,21,0.429,17.2,4,1967,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,FWMF,964dde35
38,Rayan Cherki,45,0.18,0.42,19,0.422,16.8,3,2055,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,FWMF,b34c63a5
39,Mohamed Salah,121,0.17,0.4,50,0.413,14.5,1,3380,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
40,Moise Kean,103,0.17,0.37,49,0.476,15.0,0,2712,2024-2025,24,it ITA,Fiorentina,it Serie A,32,FW,3d50bcdb
41,Ollie Watkins,82,0.17,0.39,36,0.439,12.1,0,2617,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,FW,aed3a70f
42,Ademola Lookman,81,0.17,0.44,32,0.395,14.7,0,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
43,Riccardo Orsolini,72,0.17,0.48,25,0.347,17.5,6,1892,2024-2025,27,it ITA,Bologna,it Serie A,30,FW,e14ec482
44,Benjamin Šeško,66,0.17,0.38,29,0.439,17.5,0,2400,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,FWMF,3260690c
45,Lorenzo Lucca,64,0.17,0.44,25,0.391,13.6,0,2366,2024-2025,23,it ITA,Udinese,it Serie A,33,FW,83c06f3a
46,Kiké,60,0.17,0.42,24,0.4,15.4,0,2559,2024-2025,34,es ESP,Alavés,es La Liga,35,FW,e897d8ba
47,Gaëtan Perrin,59,0.17,0.38,26,0.441,19.2,5,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
48,Kai Havertz,53,0.17,0.43,21,0.396,11.6,0,1878,2024-2025,25,de GER,Arsenal,eng Premier League,23,FWMF,fed7cb61
49,Amad Diallo,47,0.17,0.47,17,0.362,17.5,0,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,MFFW,9dc96f10
50,Fábio Silva,46,0.17,0.4,20,0.435,14.8,0,1879,2024-2025,22,pt POR,Las Palmas,es La Liga,24,FW,e7aa9d7c
51,Kylian Mbappé,152,0.16,0.32,75,0.493,17.3,3,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
52,Omar Marmoush,124,0.16,0.39,51,0.411,18.3,13,2640,2024-2025,25,eg EGY,2 Teams,2 Comps,33,FWMF,0e0102eb
53,Harry Kane,105,0.16,0.38,45,0.429,16.3,6,2394,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,FW,21a66f6a
54,Amine Gouiri,82,0.16,0.33,40,0.488,15.7,1,2097,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,FWMF,aad56ca3
55,Leroy Sané,67,0.16,0.38,29,0.433,16.6,2,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,FW,2b114be3
56,Artem Dovbyk,61,0.16,0.4,25,0.41,13.7,0,2435,2024-2025,27,ua UKR,Roma,it Serie A,32,FW,5b847bb0
57,Ritsu Doan,61,0.16,0.48,21,0.344,16.7,1,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
58,Sandro Ramírez,51,0.16,0.4,20,0.392,24.3,14,2052,2024-2025,29,es ESP,Las Palmas,es La Liga,31,FWMF,833fb62e
59,Victor Boniface,50,0.16,0.47,17,0.34,14.5,0,1019,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,FW,b146275b
60,Beto,49,0.16,0.35,23,0.469,13.1,0,1543,2024-2025,26,gw GNB,Everton,eng Premier League,30,FW,ed5c0319
61,Samuel Essende,44,0.16,0.54,13,0.295,13.9,0,1652,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,FW,821550ce
62,Jonathan David,66,0.15,0.36,28,0.424,15.3,0,2562,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,FW,ce50fd99
63,Liam Delap,66,0.15,0.34,29,0.439,16.0,0,2622,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,FW,dd897ee7
64,Alexis Claude-Maurice,59,0.15,0.41,22,0.373,20.5,1,2127,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,MFFW,741418c3
65,Danny Welbeck,59,0.15,0.39,23,0.39,15.3,9,2128,2024-2025,33,eng ENG,Brighton,eng Premier League,30,FW,ce5143da
66,Morgan Rogers,55,0.15,0.4,20,0.364,15.9,0,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
67,Gabriel Martinelli,55,0.15,0.33,24,0.436,12.9,0,2305,2024-2025,23,br BRA,Arsenal,eng Premier League,33,FWMF,48a5a5d6
68,Christian Pulisic,53,0.15,0.4,20,0.377,16.7,1,2496,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
69,Jamie Gittens,52,0.15,0.33,24,0.462,17.1,0,1793,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
70,Georges Mikautadze,52,0.15,0.36,22,0.423,14.1,0,1455,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,FW,4788cb6b
71,Gonçalo Ramos,52,0.15,0.28,29,0.5579999999999999,11.3,0,1073,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,FW,f63cda26
72,Charles De Ketelaere,48,0.15,0.35,20,0.417,12.2,0,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
73,Serge Gnabry,48,0.15,0.41,17,0.354,15.7,0,1250,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,FWMF,88e357ef
74,Antoine Griezmann,48,0.15,0.41,17,0.354,18.5,5,2489,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,FWMF,df69b544
75,Dejan Kulusevski,47,0.15,0.41,17,0.362,14.7,0,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,MFFW,df3cda47
76,Karim Adeyemi,46,0.15,0.39,18,0.391,17.6,0,1447,2024-2025,22,de GER,Dortmund,de Bundesliga,25,FWMF,501055d8
77,Raphinha,112,0.14,0.4,40,0.357,19.1,18,2848,2024-2025,27,br BRA,Barcelona,es La Liga,36,FWMF,3423f250
78,Matheus Cunha,110,0.14,0.34,44,0.4,20.5,12,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
79,Ante Budimir,91,0.14,0.45,29,0.319,13.3,0,2971,2024-2025,33,hr CRO,Osasuna,es La Liga,38,FW,8f3565b3
80,Jarrod Bowen,86,0.14,0.33,36,0.419,17.4,1,2980,2024-2025,27,eng ENG,West Ham,eng Premier League,34,FWMF,79c84d1c
81,Michael Olise,86,0.14,0.33,36,0.419,17.6,7,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
82,Evanilson,72,0.14,0.32,31,0.431,12.8,0,2339,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,FW,6f3cc2fe
83,Thierno Barry,71,0.14,0.42,24,0.3379999999999999,12.0,0,2333,2024-2025,21,fr FRA,Villarreal,es La Liga,35,FW,52c3244b
84,Harvey Barnes,63,0.14,0.45,20,0.317,15.1,0,1766,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,FW,3ea50f67
85,Che Adams,63,0.14,0.36,25,0.397,15.7,0,2662,2024-2025,28,sct SCO,Torino,it Serie A,36,FW,f2bf1b0f
86,Adam Hložek,59,0.14,0.33,24,0.407,17.3,1,1879,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,FWMF,5521f419
87,Dominic Solanke,59,0.14,0.33,24,0.407,12.4,0,2208,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,FW,e77dc3b2
88,Jamie Vardy,56,0.14,0.35,23,0.411,12.1,1,2837,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,FW,45963054
89,Florian Thauvin,51,0.14,0.3,23,0.451,18.5,3,1973,2024-2025,31,fr FRA,Udinese,it Serie A,25,FWMF,2b9fdeea
90,Anthony Elanga,44,0.14,0.25,24,0.545,17.6,6,2516,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,FWMF,2fba6108
91,Mason Greenwood,111,0.13,0.31,45,0.405,19.8,3,2820,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
92,Keito Nakamura,84,0.13,0.34,32,0.381,16.8,1,2663,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,FWMF,d97af612
93,Andrea Pinamonti,78,0.13,0.34,29,0.372,16.1,2,2863,2024-2025,25,it ITA,Genoa,it Serie A,36,FW,08aa9cd1
94,Nicolas Jackson,76,0.13,0.29,34,0.447,12.9,0,2242,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,FW,9c36ed83
95,Alex Iwobi,68,0.13,0.31,29,0.426,18.3,0,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
96,Vincenzo Grifo,63,0.13,0.31,26,0.413,20.8,10,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
97,Santiago Castro,62,0.13,0.4,20,0.3229999999999999,15.8,0,2310,2024-2025,19,ar ARG,Bologna,it Serie A,36,FW,ee5565ae
98,Phil Foden,54,0.13,0.44,16,0.296,18.6,2,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,MFFW,ed1e53f3
99,M'Bala Nzola,47,0.13,0.33,18,0.3829999999999999,12.1,0,1468,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,FW,a4948e67
100,Mattia Zaccagni,46,0.13,0.43,14,0.304,17.3,2,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,FW,d85c238b
101,Hugo Ekitike,114,0.12,0.32,44,0.386,15.3,1,2585,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,FW,5b92d896
102,Lautaro Martínez,102,0.12,0.35,34,0.3329999999999999,13.8,0,2580,2024-2025,26,ar ARG,Inter,it Serie A,31,FW,f7036e1c
103,Vinicius Júnior,78,0.12,0.38,24,0.308,17.5,0,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
104,Loïs Openda,77,0.12,0.29,31,0.4029999999999999,16.8,2,2467,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,FWMF,8652a85c
105,Benedict Hollerbach,76,0.12,0.38,24,0.316,16.1,0,2559,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,FWMF,2a158218
106,Deniz Undav,75,0.12,0.29,31,0.413,13.9,0,1735,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,FWMF,dd549382
107,Rafael Leão,66,0.12,0.28,29,0.439,16.6,0,2335,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
108,Andrej Kramarić,66,0.12,0.35,23,0.348,15.8,2,2781,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,MFFW,603cb947
109,Gorka Guruzeta,59,0.12,0.37,19,0.322,13.6,0,1856,2024-2025,27,es ESP,Athletic Club,es La Liga,36,FW,6b5ea2f4
110,Sebastiano Esposito,59,0.12,0.37,19,0.322,19.8,10,2350,2024-2025,22,it ITA,Empoli,it Serie A,33,FWMF,7ff93107
111,Jorge de Frutos,52,0.12,0.33,18,0.346,15.9,0,2518,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,FWMF,38ce1150
112,Breel Embolo,51,0.12,0.33,18,0.353,10.8,0,1852,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,FWMF,0b4f388a
113,Diogo Jota,51,0.12,0.46,13,0.255,12.4,0,1208,2024-2025,27,pt POR,Liverpool,eng Premier League,26,FW,178ae8f8
114,Phillip Tietz,51,0.12,0.32,19,0.373,16.3,3,1700,2024-2025,27,de GER,Augsburg,de Bundesliga,34,FW,3397e7b5
115,Álex Berenguer,51,0.12,0.33,18,0.353,18.4,3,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,FWMF,dc1c2fce
116,Joshua King,50,0.12,0.3,20,0.4,15.3,0,1688,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,FWMF,43458538
117,Dan Ndoye,50,0.12,0.35,17,0.34,17.5,0,2155,2024-2025,23,ch SUI,Bologna,it Serie A,30,FW,8e697a8f
118,Jens Odgaard,49,0.12,0.27,22,0.449,19.5,1,1972,2024-2025,25,dk DEN,Bologna,it Serie A,29,MFFW,75374ee7
119,Daniel Maldini,49,0.12,0.33,18,0.367,18.8,5,1577,2024-2025,22,it ITA,2 Teams,it Serie A,30,MFFW,801831fe
120,Dodi Lukebakio,93,0.11,0.26,38,0.409,19.2,2,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
121,Florian Wirtz,74,0.11,0.23,35,0.473,19.7,1,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
122,Matthis Abline,73,0.11,0.31,26,0.356,15.0,0,2789,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,FW,0e46fa2f
123,Mohamed Amoura,73,0.11,0.32,25,0.342,16.8,0,2487,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,FW,6597f8b6
124,Leandro Trossard,72,0.11,0.38,21,0.292,15.9,0,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
125,Javi Puado,66,0.11,0.37,19,0.288,20.7,0,2989,2024-2025,26,es ESP,Espanyol,es La Liga,35,FWMF,2683eda7
126,Dango Ouattara,62,0.11,0.35,20,0.3229999999999999,13.5,1,2019,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,FW,2f9e4435
127,Kenan Yıldız,61,0.11,0.32,22,0.361,17.5,0,2414,2024-2025,19,tr TUR,Juventus,it Serie A,35,FWMF,d8cda243
128,Ludovic Blas,57,0.11,0.23,26,0.456,17.7,2,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,MFFW,6191093d
129,Takumi Minamino,57,0.11,0.3,20,0.351,14.7,0,2248,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,MFFW,f833a830
130,Son Heung-min,55,0.11,0.25,24,0.436,17.0,1,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,FW,92e7e919
131,Désiré Doué,55,0.11,0.3,20,0.364,17.9,0,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
132,Rodrygo,54,0.11,0.3,20,0.37,16.4,3,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,FWMF,8f5e92a6
133,Alfon,46,0.11,0.26,19,0.413,17.3,0,1381,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,FWMF,1c772b46
134,Iago Aspas,46,0.11,0.28,18,0.391,21.3,3,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,FWMF,7dcf86f6
135,Kingsley Coman,44,0.11,0.29,17,0.386,16.7,0,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,FW,042e8a49
136,Frank Magri,44,0.11,0.28,18,0.409,12.4,0,1526,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,FWMF,42fdb11d
137,Raúl Jiménez,93,0.1,0.3,30,0.3229999999999999,14.5,1,2515,2024-2025,33,mx MEX,Fulham,eng Premier League,38,FW,b561db50
138,Khvicha Kvaratskhelia,83,0.1,0.26,31,0.373,19.2,5,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
139,Marvin Ducksch,70,0.1,0.26,27,0.386,17.3,8,2437,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,FW,638a4d71
140,Gaëtan Laborde,70,0.1,0.35,20,0.286,14.6,0,1846,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,FW,7cdda3bf
141,Alex Baena,69,0.1,0.41,17,0.246,21.0,8,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,MFFW,518f2234
142,Patrick Cutrone,69,0.1,0.27,26,0.377,15.9,0,2065,2024-2025,26,it ITA,Como,it Serie A,33,FW,a4fe8cda
143,Zuriko Davitashvili,68,0.1,0.29,24,0.353,19.4,5,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,FWMF,88b4d2e3
144,Iñaki Williams,63,0.1,0.25,24,0.381,16.4,0,2660,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,FW,6a99e0b1
145,Zakaria Aboukhlal,62,0.1,0.23,26,0.419,14.6,0,1914,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,MFFW,c2a6033c
146,Gabriel Strefezza,58,0.1,0.29,21,0.362,20.5,2,2640,2024-2025,27,br BRA,Como,it Serie A,37,FWMF,ac4a4508
147,Vedat Muriqi,52,0.1,0.31,16,0.308,12.3,0,2070,2024-2025,30,xk KVX,Mallorca,es La Liga,29,FW,0cadc46d
148,Tom Bischof,51,0.1,0.28,18,0.353,23.1,5,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
149,Yann Gboho,50,0.1,0.19,26,0.52,15.8,0,2346,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,MFFW,6be41a31
150,Georginio Rutter,50,0.1,0.42,12,0.24,15.5,0,1672,2024-2025,22,fr FRA,Brighton,eng Premier League,28,MFFW,c64c01fc
151,Mahdi Camara,49,0.1,0.26,19,0.3879999999999999,16.6,0,2673,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,MFFW,8577e60a
152,Antoine Semenyo,125,0.09,0.28,40,0.32,17.0,0,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
153,Cole Palmer,121,0.09,0.25,44,0.364,20.4,12,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
154,Roberto Piccoli,97,0.09,0.32,28,0.289,13.1,1,3145,2024-2025,23,it ITA,Cagliari,it Serie A,37,FW,1cadaf34
155,Noni Madueke,80,0.09,0.23,30,0.375,14.4,0,2052,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,FW,bf34eebd
156,Alberto Moleiro,68,0.09,0.25,24,0.353,19.0,0,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
157,Daniel Mosquera,57,0.09,0.33,15,0.263,13.5,0,1385,2024-2025,24,co COL,Hellas Verona,it Serie A,35,FW,091b9eb8
158,Anthony Gordon,57,0.09,0.31,16,0.281,17.0,1,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,FWMF,2bd83368
159,Lorenzo Colombo,55,0.09,0.28,18,0.327,18.1,0,2248,2024-2025,22,it ITA,Empoli,it Serie A,37,FWMF,04df29a5
160,Nico Williams,54,0.09,0.26,19,0.352,17.6,1,2005,2024-2025,22,es ESP,Athletic Club,es La Liga,29,FW,afdc14d7
161,Raúl Moro,46,0.09,0.25,16,0.348,17.8,0,2350,2024-2025,21,es ESP,Valladolid,es La Liga,33,MFFW,919dd4b1
162,Toni Martínez,46,0.09,0.27,15,0.326,17.1,0,1019,2024-2025,27,es ESP,Alavés,es La Liga,28,FW,f3945e07
163,Joelinton,45,0.09,0.31,13,0.289,14.0,0,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,MFFW,c17bfb65
164,Valentín Castellanos,105,0.08,0.22,36,0.3429999999999999,16.8,3,2395,2024-2025,25,ar ARG,Lazio,it Serie A,29,FW,da76bab4
165,Dušan Vlahović,73,0.08,0.24,25,0.342,15.9,7,1792,2024-2025,24,rs SRB,Juventus,it Serie A,29,FW,79443529
166,Bukayo Saka,66,0.08,0.23,22,0.3329999999999999,15.6,1,1741,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,FWMF,bc7dc64d
167,Isaac Romero,53,0.08,0.24,17,0.321,16.9,0,2174,2024-2025,24,es ESP,Sevilla,es La Liga,31,FW,be719093
168,Christantus Uche,50,0.08,0.29,14,0.28,17.1,0,2502,2024-2025,21,ng NGA,Getafe,es La Liga,33,FWMF,87941696
169,Dennis Man,49,0.08,0.2,20,0.408,17.1,0,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,FWMF,2079b3cc
170,Nikola Krstović,134,0.07,0.24,38,0.284,18.8,6,3070,2024-2025,24,me MNE,Lecce,it Serie A,37,FW,473803c9
171,Eberechi Eze,100,0.07,0.26,27,0.27,21.6,16,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
172,Alejandro Garnacho,84,0.07,0.21,29,0.345,17.0,0,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
173,Mohammed Kudus,75,0.07,0.24,21,0.28,16.0,0,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
174,Isaac Palazón Camacho,61,0.07,0.22,18,0.295,22.3,1,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,MFFW,49dbab27
175,Ange-Yoan Bonny,61,0.07,0.21,19,0.311,16.7,0,2551,2024-2025,20,fr FRA,Parma,it Serie A,37,FW,64629ba4
176,Maghnes Akliouche,61,0.07,0.24,17,0.2789999999999999,16.0,2,2413,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,FWMF,b625b241
177,Lassine Sinayoko,60,0.07,0.25,16,0.267,16.1,0,2315,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,FWMF,5e5249c8
178,Robin Hack,59,0.07,0.17,24,0.407,19.9,0,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,FWMF,0174ba21
