Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
97,Jamie Vardy,10,5,0,2,1,2,0,2837,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,FW,45963054
98,Jean-Philippe Mateta,10,5,0,3,2,0,0,2661,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,FW,50e6dc35
99,Adam Hložek,10,6,1,2,1,0,0,1879,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,FWMF,5521f419
100,Matteo Politano,10,8,1,0,0,1,0,2835,2024-2025,30,it ITA,Napoli,it Serie A,37,FWMF,5e861944
101,Kaoru Mitoma,10,9,0,0,0,1,0,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
102,Nick Woltemade,10,5,0,4,1,0,0,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,FWMF,7ca196eb
103,Loïs Openda,10,5,0,0,2,3,0,2467,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,FWMF,8652a85c
104,Christantus Uche,10,8,0,0,0,2,0,2502,2024-2025,21,ng NGA,Getafe,es La Liga,33,FWMF,87941696
105,Mathias Pereira Lage,10,5,3,1,0,1,0,1583,2024-2025,27,pt POR,Brest,fr Ligue 1,29,FWMF,8846a40f
106,Serhou Guirassy,10,5,0,0,3,2,0,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,FW,923f4dda
107,Adama Traoré,10,9,0,1,0,0,0,1786,2024-2025,28,es ESP,Fulham,eng Premier League,36,FWMF,9a28eba4
108,Nicolas Jackson,10,7,0,2,1,0,0,2242,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,FW,9c36ed83
109,Eberechi Eze,10,9,1,0,0,0,0,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
110,Mohammed Kudus,10,6,0,1,3,0,0,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
111,Kenan Yıldız,10,7,0,2,1,0,0,2414,2024-2025,19,tr TUR,Juventus,it Serie A,35,FWMF,d8cda243
112,Jadon Sancho,10,9,0,0,0,1,0,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,FW,dbf053da
113,Luis Rioja,10,8,1,0,1,0,0,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,FW,eb3dd471
114,Alexis Saelemaekers,10,5,0,1,2,2,0,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,DFFW,ee251371
115,Enzo Millot,10,8,0,1,1,0,0,1858,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,MFFW,f76022e7
116,Dwight McNeil,10,5,2,2,0,0,1,1376,2024-2025,24,eng ENG,Everton,eng Premier League,21,MFFW,fc15fb84
117,Badredine Bouanani,9,5,1,1,1,1,0,1108,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,MFFW,0400dd2f
118,Romain Del Castillo,9,7,1,0,0,1,0,1270,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,FW,0be95d34
119,Dodi Lukebakio,9,6,0,2,0,1,0,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
120,Matthis Abline,9,6,0,2,1,0,0,2789,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,FW,0e46fa2f
121,Jamie Leweling,9,3,0,1,3,2,0,1682,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,MFFW,13fe7b69
122,Diogo Jota,9,5,0,2,1,1,0,1208,2024-2025,27,pt POR,Liverpool,eng Premier League,26,FW,178ae8f8
123,Sofiane Diop,9,7,1,0,0,1,0,1070,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,MFFW,19053e31
124,Óscar Rodríguez Arnaiz,9,5,1,1,1,0,1,1335,2024-2025,26,es ESP,Leganés,es La Liga,29,MFFW,19709006
125,Issa Soumaré,9,6,0,1,1,1,0,1911,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,FWMF,1d8aa290
126,Erling Haaland,9,6,0,2,1,0,0,2742,2024-2025,24,no NOR,Manchester City,eng Premier League,31,FW,1f44ac21
127,Andrea Cambiaso,9,7,1,0,1,0,0,2230,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
128,Leroy Sané,9,7,0,1,0,0,1,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,FW,2b114be3
129,Florian Thauvin,9,4,1,0,4,0,0,1973,2024-2025,31,fr FRA,Udinese,it Serie A,25,FWMF,2b9fdeea
130,Benjamin Šeško,9,4,0,2,2,1,0,2400,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,FWMF,3260690c
131,Thomas Müller,9,7,0,1,1,0,0,1234,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,MFFW,3c6089ab
132,Harvey Barnes,9,6,0,1,1,1,0,1766,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,FW,3ea50f67
133,Lucas Beltrán,9,8,0,0,0,1,0,1969,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,FWMF,482d2bc3
