Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
134,David Neres,9,5,1,2,0,1,0,1294,2024-2025,27,br BRA,Napoli,it Serie A,28,FW,4f1e6a0b
135,Kevin Schade,9,5,0,1,3,0,0,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,FW,52afb588
136,Gustav Isaksen,9,6,0,2,0,1,0,2233,2024-2025,23,dk DEN,Lazio,it Serie A,37,FW,5715bb71
137,Francisco Conceição,9,5,1,1,1,1,0,1347,2024-2025,21,pt POR,Juventus,it Serie A,26,FWMF,5ef3d210
138,Pedro Neto,9,5,1,2,1,0,0,2277,2024-2025,24,pt POR,Chelsea,eng Premier League,35,FW,7ba2eaa9
139,Pablo Fornals,9,9,0,0,0,0,0,1841,2024-2025,28,es ESP,Betis,es La Liga,26,MFFW,82927de4
140,Dan Ndoye,9,8,0,0,0,1,0,2155,2024-2025,23,ch SUI,Bologna,it Serie A,30,FW,8e697a8f
141,Rodrygo,9,7,0,1,0,1,0,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,FWMF,8f5e92a6
142,Carlos Vicente,9,6,1,1,1,0,0,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,FWMF,90df343e
143,Raúl Moro,9,6,0,2,0,1,0,2350,2024-2025,21,es ESP,Valladolid,es La Liga,33,MFFW,919dd4b1
144,Shuto Machino,9,8,1,0,0,0,0,1967,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,FWMF,964dde35
145,Antony,9,6,0,1,2,0,0,1366,2024-2025,24,br BRA,Betis,es La Liga,17,FW,99127249
146,Bryan Zaragoza,9,6,1,1,1,0,0,1856,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
147,Joelinton,9,7,0,0,1,0,1,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,MFFW,c17bfb65
148,Diego López,9,7,0,1,0,1,0,2763,2024-2025,22,es ESP,Valencia,es La Liga,38,MFFW,c487901c
149,Giovani Lo Celso,9,6,1,2,0,0,0,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,MFFW,d7553721
150,Mattia Zaccagni,9,7,2,0,0,0,0,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,FW,d85c238b
