Rk,Player,Cmp_Total,Att_Total,Cmp%_Total,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
38,Gabriel Strefezza,875,1158,0.7559999999999999,57,67,29,9,106,13294,3416,487,545,0.894,259,338,0.7659999999999999,71,146,0.486,2640,2024-2025,27,br BRA,Como,it Serie A,37,FWMF,ac4a4508
39,Matteo Politano,873,1261,0.6920000000000001,56,65,55,23,129,14730,4786,433,496,0.873,340,473,0.7190000000000001,77,189,0.407,2835,2024-2025,30,it ITA,Napoli,it Serie A,37,FWMF,5e861944
40,Bryan Mbeumo,872,1319,0.6609999999999999,70,63,59,19,141,13902,4325,476,602,0.7909999999999999,313,441,0.71,68,183,0.372,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
41,Mattia Zaccagni,872,1151,0.758,55,51,39,6,114,14136,3758,456,500,0.912,312,410,0.7609999999999999,76,168,0.452,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,FW,d85c238b
42,Joelinton,863,1043,0.8270000000000001,23,80,17,2,116,12199,3384,529,603,0.877,277,320,0.866,33,55,0.6,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,MFFW,c17bfb65
43,Alex Baena,857,1287,0.6659999999999999,95,95,72,19,189,17433,6579,314,394,0.797,393,535,0.735,138,278,0.496,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,MFFW,518f2234
44,Alberto Moleiro,845,1039,0.813,41,75,29,5,116,11961,2734,520,591,0.88,261,318,0.821,37,61,0.607,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
45,Ousmane Dembélé,844,1068,0.79,63,93,55,3,137,13453,3685,450,530,0.8490000000000001,296,357,0.8290000000000001,72,105,0.6859999999999999,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
46,Emmanuel Gyasi,836,1084,0.7709999999999999,17,44,20,8,53,12882,4732,451,525,0.8590000000000001,310,387,0.8009999999999999,49,93,0.527,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,DFFW,f9758dae
47,Giuseppe Pezzella,829,1246,0.665,36,56,30,22,80,13802,5619,404,484,0.835,333,468,0.7120000000000001,71,197,0.36,2889,2024-2025,26,it ITA,Empoli,it Serie A,35,DFFW,149c5f5d
48,Luis Rioja,826,1223,0.675,36,42,60,25,104,13732,3961,430,510,0.843,309,424,0.7290000000000001,68,182,0.374,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,FW,eb3dd471
49,Christian Pulisic,825,1078,0.765,69,56,35,8,105,12131,3064,491,553,0.888,259,341,0.76,45,112,0.402,2496,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
