Player,Season,Team,Comp,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Position,Player_ID
Aleksandr Golovin,2024-2025,Monaco,fr Ligue 1,2.3,2.3,2.4,4.699999999999999,2.4,4.699999999999999,0.7000000000000002,0.7000000000000002,-2.4,0.1,MFFW,3708e9fa
Alejo Véliz,2024-2025,Espanyol,es La Liga,2.3,2.3,0.6,2.9,0.6,2.9,-1.2999999999999998,-1.2999999999999998,-0.6,0.12,FW,3f7bafbe
Francisco Conceição,2024-2025,Juventus,it Serie A,2.3,2.3,4.3,6.6,4.3,6.6,0.7000000000000002,0.7000000000000002,-1.2999999999999998,0.06,FWMF,5ef3d210
Carlos Martín,2024-2025,Alavés,es La Liga,2.3,2.3,2.7,5.0,2.7,5.0,-0.2999999999999998,-0.2999999999999998,-0.7000000000000002,0.09,FWMF,64035864
Bryan Gil,2024-2025,Girona,es La Liga,2.3,2.3,2.9,5.199999999999999,2.9,5.199999999999999,0.7000000000000002,0.7000000000000002,0.1,0.07,FWMF,7b5ab7f2
Jesus Rodríguez,2024-2025,Betis,es La Liga,2.3,2.3,0.2,2.5,0.2,2.5,-0.2999999999999998,-0.2999999999999998,-0.2,0.1,FW,f9f74e43
Jeremie Boga,2024-2025,Nice,fr Ligue 1,2.3,2.3,2.8,5.1,2.8,5.1,-1.2999999999999998,-1.2999999999999998,-0.7999999999999998,0.08,MFFW,fe012aca
Tom Bischof,2024-2025,Hoffenheim,de Bundesliga,2.2,2.2,3.6,5.800000000000001,3.6,5.800000000000001,2.8,2.8,-1.6,0.04,MFFW,07d3bfec
Ernest Nuamah,2024-2025,Lyon,fr Ligue 1,2.2,2.2,1.5,3.7,1.5,3.7,0.7999999999999998,0.7999999999999998,-0.5,0.08,FWMF,234a703c
Nicolas Viola,2024-2025,Cagliari,it Serie A,2.2,2.2,1.9,4.1,1.9,4.1,0.7999999999999998,0.7999999999999998,-0.8999999999999999,0.07,FWMF,45392b06
Benjamín Domínguez,2024-2025,Bologna,it Serie A,2.2,2.2,0.8,3.0,0.8,3.0,0.7999999999999998,0.7999999999999998,1.2,0.07,FW,a83b47fa
Jadon Sancho,2024-2025,Chelsea,eng Premier League,2.2,2.2,3.7,5.9,3.7,5.9,0.7999999999999998,0.7999999999999998,0.2999999999999998,0.09,FW,dbf053da
Ramón Terrats,2024-2025,2 Teams,es La Liga,2.2,2.2,2.8,5.0,2.8,5.0,1.7999999999999998,1.7999999999999998,-1.7999999999999998,0.11,MFFW,f36016a5
Sergi Darder,2024-2025,Mallorca,es La Liga,2.1,2.1,3.7,5.800000000000001,3.7,5.800000000000001,-0.1,-0.1,2.3,0.06,MFFW,070a3904
Pontus Almqvist,2024-2025,Parma,it Serie A,2.1,2.1,1.3,3.4000000000000004,1.3,3.4000000000000004,-1.1,-1.1,-0.3,0.08,FWMF,0917188a
Óscar Rodríguez Arnaiz,2024-2025,Leganés,es La Liga,2.1,2.1,2.2,4.300000000000001,2.2,4.300000000000001,-1.1,-1.1,1.7999999999999998,0.06,MFFW,19709006
Jesper Lindstrøm,2024-2025,Everton,eng Premier League,2.1,2.1,2.0,4.1,2.0,4.1,-2.1,-2.1,-1.0,0.08,FW,37dc1a48
Dani de Wit,2024-2025,Bochum,de Bundesliga,2.1,2.1,0.5,2.6,0.5,2.6,-0.1,-0.1,0.5,0.11,MFFW,48a2b92a
Tim Skarke,2024-2025,Union Berlin,de Bundesliga,2.1,2.1,1.2,3.3,1.2,3.3,-2.1,-2.1,0.8,0.1,FWMF,65857fdf
Zito Luvumbo,2024-2025,Cagliari,it Serie A,2.1,2.1,3.1,5.2,3.1,5.2,-0.1,-0.1,-1.1,0.09,FWMF,b09e0873
Yaser Asprilla,2024-2025,Girona,es La Liga,2.1,2.1,2.8,4.9,2.8,4.9,0.8999999999999999,0.8999999999999999,-1.7999999999999998,0.05,FWMF,d139daf9
Adri Embarba,2024-2025,Rayo Vallecano,es La Liga,2.1,2.1,2.7,4.800000000000001,2.7,4.800000000000001,-1.1,-1.1,-1.7000000000000002,0.06,FWMF,db8f0eba
Noah Weißhaupt,2024-2025,2 Teams,de Bundesliga,2.1,2.1,1.8,3.9,1.8,3.9,-1.1,-1.1,-1.8,0.11,FWMF,dd676a97
Gerrit Holtmann,2024-2025,Bochum,de Bundesliga,2.0,2.0,2.9,4.9,2.9,4.9,0.0,0.0,-1.9,0.07,DFFW,2979c05a
Léo Scienza,2024-2025,Heidenheim,de Bundesliga,2.0,2.0,3.7,5.7,3.7,5.7,1.0,1.0,-0.7000000000000002,0.05,FWMF,79064bc9
Roberto Navarro,2024-2025,Mallorca,es La Liga,2.0,2.0,1.9,3.9,1.9,3.9,-1.0,-1.0,-1.9,0.11,MFFW,c997b942
Unai Gómez,2024-2025,Athletic Club,es La Liga,1.9,1.9,0.8,2.7,0.8,2.7,-0.8999999999999999,-0.8999999999999999,2.2,0.1,MFFW,37db6cae
Yunus Musah,2024-2025,Milan,it Serie A,1.9,1.9,1.8,3.7,1.8,3.7,-1.9,-1.9,0.1999999999999999,0.09,MFFW,b51b1b9c
Stephy Mavididi,2024-2025,Leicester City,eng Premier League,1.8,1.8,2.6,4.4,2.6,4.4,2.2,2.2,-1.6,0.07,FW,30144daa
