Rk,Player,Goals,Total_Minutes,Season,Age,Nation,Team,Comp,MP,90s,Starts,Subs,unSub,Assists,Goals_Assists,Non_Penalty_Goals,Penalties_Made,Penalties_Attempted,Penalties_Missed,Position,Player_ID
34,Jean-Philippe Mateta,14,2648,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,29.4,33,4,0,2,16,12,2,2,0,FW,50e6dc35
35,Romelu Lukaku,14,2843,2024-2025,31,be BEL,Napoli,it Serie A,36,31.6,35,1,0,10,24,11,3,4,1,FW,5eae500a
36,Marcus Thuram,14,2290,2024-2025,26,fr FRA,Inter,it Serie A,32,25.4,27,5,3,4,18,14,0,0,0,FW,6f8cd6d0
37,Emanuel Emegha,14,2293,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,25.5,27,0,0,3,17,14,0,0,0,FW,a0c590b9
38,Bradley Barcola,14,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,24.2,27,7,0,10,24,14,0,0,0,FW,a0d55a09
39,Jørgen Strand Larsen,14,2587,2024-2025,24,no NOR,Wolves,eng Premier League,35,28.7,30,5,0,4,18,14,0,0,0,FW,f553b2b3
40,Benjamin Šeško,13,2380,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,26.4,30,3,0,5,18,11,2,2,0,FWMF,3260690c
41,Ludovic Ajorque,13,2495,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,27.7,29,2,0,2,15,13,0,1,1,FW,462475ed
42,Luis Díaz,13,2399,2024-2025,27,co COL,Liverpool,eng Premier League,36,26.7,28,8,2,5,18,13,0,0,0,FW,4a1a9578
43,Jarrod Bowen,13,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,33.0,34,0,0,8,21,12,1,1,0,FWMF,79c84d1c
44,Mika Biereth,13,1228,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,13.6,16,0,1,2,15,12,1,2,1,FW,a1d95db3
45,Amine Gouiri,13,2085,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,23.2,23,10,0,5,18,13,0,0,0,FWMF,aad56ca3
46,Kiké,13,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,28.2,29,6,2,0,13,10,3,3,0,FW,e897d8ba
47,Javi Puado,12,2974,2024-2025,26,es ESP,Espanyol,es La Liga,35,33.0,35,0,0,4,16,7,5,5,0,FWMF,2683eda7
48,Artem Dovbyk,12,2418,2024-2025,27,ua UKR,Roma,it Serie A,32,26.9,27,5,3,2,14,10,2,2,0,FW,5b847bb0
49,Nick Woltemade,12,1622,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,18.0,17,11,5,2,14,10,2,3,1,FWMF,7ca196eb
50,Lorenzo Lucca,12,2353,2024-2025,23,it ITA,Udinese,it Serie A,33,26.1,27,6,0,1,13,11,1,1,0,FW,83c06f3a
51,Lucas Stassin,12,1887,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,21.0,23,5,0,4,16,12,0,0,0,FW,a47d6f3a
52,Raúl Jiménez,12,2494,2024-2025,33,mx MEX,Fulham,eng Premier League,38,27.7,30,8,0,3,15,9,3,3,0,FW,b561db50
53,Evann Guessand,12,2565,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,28.5,30,3,1,8,20,12,0,0,0,FWMF,b73f17f8
54,Michael Olise,12,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,25.9,28,6,0,15,27,12,0,0,0,FWMF,c4486bac
55,Liam Delap,12,2593,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,28.8,32,5,0,2,14,10,2,2,0,FW,dd897ee7
56,Lautaro Martínez,12,2564,2024-2025,26,ar ARG,Inter,it Serie A,31,28.5,31,0,1,3,15,12,0,0,0,FW,f7036e1c
57,Dodi Lukebakio,11,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,34.4,36,2,0,2,13,10,1,1,0,FW,0c61c77c
58,Brennan Johnson,11,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,24.2,24,9,2,3,14,11,0,0,0,FW,0cd31129
59,Christian Pulisic,11,2478,2024-2025,25,us USA,Milan,it Serie A,34,27.5,29,5,0,9,20,8,3,4,1,FWMF,1bf33a9a
60,Cristhian Stuani,11,1078,2024-2025,37,uy URU,Girona,es La Liga,32,12.0,6,26,6,2,13,8,3,3,0,FW,220c11f1
61,Leroy Sané,11,1637,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,18.2,17,13,2,5,16,11,0,0,0,FW,2b114be3
62,Hugo Duro,11,2166,2024-2025,24,es ESP,Valencia,es La Liga,31,24.1,25,6,2,2,13,10,1,1,0,FW,37e103f8
63,Nikola Krstović,11,3057,2024-2025,24,me MNE,Lecce,it Serie A,37,34.0,37,0,0,5,16,9,2,3,1,FW,473803c9
64,Georges Mikautadze,11,1449,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,16.1,13,21,0,6,17,8,3,4,1,FW,4788cb6b
65,Kevin Schade,11,2293,2024-2025,22,de GER,Brentford,eng Premier League,38,25.5,26,12,0,2,13,11,0,0,0,FW,52afb588
66,Thierno Barry,11,2323,2024-2025,21,fr FRA,Villarreal,es La Liga,35,25.8,25,10,0,4,15,10,1,1,0,FW,52c3244b
67,Andrej Kramarić,11,2767,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,30.7,32,0,0,8,19,8,3,3,0,MFFW,603cb947
68,Vinicius Júnior,11,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,25.0,24,6,0,8,19,9,2,3,1,FW,7111d552
69,Borja Iglesias,11,1952,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,21.7,24,13,1,3,14,11,0,0,0,FW,75645f0e
70,Gaëtan Laborde,11,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,20.3,20,8,0,4,15,7,4,4,0,FW,7cdda3bf
71,Shuto Machino,11,1953,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,21.7,23,9,2,2,13,9,2,2,0,FWMF,964dde35
72,Alassane Pléa,11,1902,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,21.1,24,6,2,4,15,10,1,1,0,MFFW,bc6bd723
73,Keito Nakamura,11,2649,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,29.4,31,1,0,2,13,11,0,0,0,FWMF,d97af612
74,Antoine Semenyo,11,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,35.6,36,1,0,5,16,11,0,0,0,FW,efd2ec23
75,Andrea Pinamonti,10,2850,2024-2025,25,it ITA,Genoa,it Serie A,36,31.7,33,3,1,1,11,10,0,1,1,FW,08aa9cd1
76,Gaëtan Perrin,10,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,29.9,31,3,0,11,21,10,0,0,0,MFFW,10dd88f9
77,Cody Gakpo,10,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,21.5,23,12,0,4,14,10,0,0,0,FW,1971591f
78,Roberto Piccoli,10,3127,2024-2025,23,it ITA,Cagliari,it Serie A,37,34.7,37,0,0,1,11,9,1,1,0,FW,1cadaf34
79,Pedro,10,1102,2024-2025,37,es ESP,Lazio,it Serie A,30,12.2,6,24,6,1,11,8,2,2,0,FWMF,3ca7254a
80,Mohamed Amoura,10,2467,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,27.4,29,2,0,9,19,8,2,2,0,FW,6597f8b6
81,Evanilson,10,2319,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,25.8,28,3,1,1,11,10,0,1,1,FW,6f3cc2fe
82,Kaoru Mitoma,10,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,28.9,28,8,0,4,14,10,0,0,0,FWMF,74618572
83,Dušan Vlahović,10,1784,2024-2025,24,rs SRB,Juventus,it Serie A,29,19.8,21,8,3,4,14,6,4,4,0,FW,79443529
84,Iago Aspas,10,1745,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,19.4,19,11,3,5,15,5,5,6,1,FWMF,7dcf86f6
85,Nicolas Jackson,10,2220,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,24.7,28,2,1,5,15,10,0,0,0,FW,9c36ed83
86,Ferrán Torres,10,1106,2024-2025,24,es ESP,Barcelona,es La Liga,27,12.3,12,15,2,6,16,10,0,0,0,FWMF,9e1035f8
87,Dani Olmo,10,1212,2024-2025,26,es ESP,Barcelona,es La Liga,25,13.5,13,12,2,3,13,8,2,2,0,MFFW,ae44e8e2
88,Randal Kolo Muani,10,1518,2024-2025,25,fr FRA,2 Teams,2 Comps,26,16.9,15,11,4,2,12,8,2,2,0,FW,c0b3669f
89,Danny Welbeck,10,2115,2024-2025,33,eng ENG,Brighton,eng Premier League,30,23.5,24,6,0,4,14,9,1,1,0,FW,ce5143da
90,Ritsu Doan,10,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,31.8,33,1,0,7,17,10,0,0,0,FWMF,d01bbb6f
91,Valentín Castellanos,10,2384,2024-2025,25,ar ARG,Lazio,it Serie A,29,26.5,28,1,2,3,13,8,2,3,1,FW,da76bab4
92,Fábio Silva,10,1866,2024-2025,22,pt POR,Las Palmas,es La Liga,24,20.7,22,2,0,3,13,8,2,3,1,FW,e7aa9d7c
93,Florian Wirtz,10,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,26.1,25,6,0,12,22,8,2,4,2,MFFW,e7fcf289
94,João Pedro,10,1948,2024-2025,22,br BRA,Brighton,eng Premier League,27,21.6,23,4,0,6,16,5,5,5,0,FWMF,e8832875
95,Gonçalo Ramos,10,1066,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,11.8,12,10,0,3,13,8,2,3,1,FW,f63cda26
96,Matthis Abline,9,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,30.8,33,1,0,2,11,8,1,1,0,FW,0e46fa2f
97,Jonas Wind,9,1966,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,21.8,21,10,2,3,12,8,1,2,1,FWMF,2077ae86
98,Boulaye Dia,9,2177,2024-2025,27,sn SEN,Lazio,it Serie A,35,24.2,27,8,2,3,12,9,0,0,0,MFFW,244bc2c8
99,Benedict Hollerbach,9,2540,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,28.2,30,4,0,1,10,9,0,0,0,FWMF,2a158218
100,Harvey Barnes,9,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,19.5,17,16,1,4,13,9,0,0,0,FW,3ea50f67
101,Jamie Vardy,9,2823,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,31.4,35,0,0,4,13,8,1,2,1,FW,45963054
102,Myron Boadu,9,1042,2024-2025,23,nl NED,Bochum,de Bundesliga,19,11.6,11,8,3,1,10,8,1,1,0,FW,5b479568
103,Iliman Ndiaye,9,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,27.0,29,4,0,0,9,7,2,2,0,FW,5ed97752
104,Alex Iwobi,9,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,33.1,35,3,0,6,15,9,0,0,0,FWMF,6ca5ec4b
105,Alexis Claude-Maurice,9,2109,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,23.4,25,3,3,2,11,9,0,0,0,MFFW,741418c3
106,Lamine Yamal,9,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,31.7,31,4,0,13,22,9,0,0,0,FW,82ec26c1
107,Sandro Ramírez,9,2034,2024-2025,29,es ESP,Las Palmas,es La Liga,31,22.6,25,6,1,3,12,8,1,1,0,FWMF,833fb62e
108,Esteban Lepaul,9,1629,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,18.1,18,10,4,0,9,9,0,0,0,FW,85ce1949
109,Loïs Openda,9,2453,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,27.3,28,5,0,5,14,9,0,1,1,FWMF,8652a85c
110,Zuriko Davitashvili,9,2778,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,30.9,32,1,0,8,17,7,2,2,0,FWMF,88b4d2e3
111,Assane Diao,9,1529,2024-2025,18,sn SEN,2 Teams,2 Comps,25,17.0,16,9,8,3,12,9,0,0,0,FWMF,8ae7d0ec
112,Mikel Oyarzabal,9,2250,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,25.0,28,7,2,3,12,5,4,4,0,FW,8c3c640c
113,Deniz Undav,9,1726,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,19.2,20,7,0,3,12,9,0,0,0,FWMF,dd549382
114,Khvicha Kvaratskhelia,9,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,23.3,26,5,2,6,15,8,1,1,0,FWMF,dea88efd
115,Dominic Solanke,9,2201,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,24.5,25,2,1,3,12,8,1,1,0,FW,e77dc3b2
116,Che Adams,9,2652,2024-2025,28,sct SCO,Torino,it Serie A,36,29.5,30,6,1,3,12,9,0,1,1,FW,f2bf1b0f
117,Kai Havertz,9,1875,2024-2025,25,de GER,Arsenal,eng Premier League,23,20.8,21,2,1,3,12,9,0,0,0,FWMF,fed7cb61
118,Phil Harres,8,1544,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,17.2,17,9,1,1,9,8,0,0,0,FW,07db670d
119,Jamie Gittens,8,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,19.7,21,11,2,3,11,8,0,0,0,FWMF,10745192
120,Rafael Leão,8,2323,2024-2025,25,pt POR,Milan,it Serie A,34,25.8,25,9,2,8,16,8,0,0,0,FW,20730eae
121,Florian Thauvin,8,1956,2024-2025,31,fr FRA,Udinese,it Serie A,25,21.7,24,1,0,3,11,7,1,3,2,FWMF,2b9fdeea
122,Morgan Rogers,8,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,34.6,37,0,0,10,18,8,0,0,0,FWMF,2e5915f1
123,Leandro Trossard,8,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,28.3,28,10,0,7,15,8,0,0,0,FW,38ceb24a
124,Gabriel Martinelli,8,2290,2024-2025,23,br BRA,Arsenal,eng Premier League,33,25.4,25,8,2,4,12,8,0,0,0,FWMF,48a5a5d6
125,Vincenzo Grifo,8,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,27.0,31,3,0,11,19,8,0,3,3,FWMF,54e4866f
126,Adam Hložek,8,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,20.8,22,5,0,4,12,8,0,0,0,FWMF,5521f419
127,Maximilian Beier,8,1591,2024-2025,21,de GER,Dortmund,de Bundesliga,29,17.7,17,12,1,5,13,8,0,0,0,FWMF,5db45ee5
128,Moses Simon,8,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,29.0,31,1,0,10,18,4,4,4,0,FWMF,5f3eaaf5
129,Marvin Ducksch,8,2418,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,26.9,30,2,0,8,16,7,1,2,1,FW,638a4d71
130,Sebastiano Esposito,8,2331,2024-2025,22,it ITA,Empoli,it Serie A,33,25.9,27,6,1,0,8,7,1,2,1,FWMF,7ff93107
131,Dan Ndoye,8,2143,2024-2025,23,ch SUI,Bologna,it Serie A,30,23.8,26,4,1,4,12,6,2,2,0,FW,8e697a8f
132,Amad Diallo,8,1901,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,21.1,20,6,2,6,14,8,0,0,0,MFFW,9dc96f10
133,Eberechi Eze,8,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,28.8,31,3,0,8,16,7,1,2,1,MFFW,ae4fc6a4
134,Victor Boniface,8,1008,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,11.2,12,7,5,1,9,8,0,1,1,FW,b146275b
135,Rayan Cherki,8,2041,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,22.7,22,8,0,11,19,8,0,0,0,FWMF,b34c63a5
136,Diego López,8,2737,2024-2025,22,es ESP,Valencia,es La Liga,38,30.4,35,3,0,5,13,8,0,0,0,MFFW,c487901c
137,Giovani Lo Celso,8,1457,2024-2025,28,ar ARG,Betis,es La Liga,25,16.2,15,10,0,3,11,6,2,3,1,MFFW,d7553721
138,Mattia Zaccagni,8,2686,2024-2025,29,it ITA,Lazio,it Serie A,34,29.8,33,1,0,6,14,6,2,2,0,FW,d85c238b
139,Jacob Murphy,8,2360,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,26.2,31,4,2,12,20,8,0,0,0,FW,de112b84
140,Antoine Griezmann,8,2469,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,27.4,29,9,0,7,15,7,1,2,1,FWMF,df69b544
141,Dani Raba,8,1879,2024-2025,28,es ESP,Leganés,es La Liga,29,20.9,24,5,5,6,14,4,4,5,1,FWMF,ea6a7ab4
142,Beto,8,1534,2024-2025,26,gw GNB,Everton,eng Premier League,30,17.0,15,15,8,0,8,8,0,0,0,FW,ed5c0319
143,Santiago Castro,8,2294,2024-2025,19,ar ARG,Bologna,it Serie A,36,25.5,27,9,1,4,12,8,0,1,1,FW,ee5565ae
144,Vedat Muriqi,7,2058,2024-2025,30,xk KVX,Mallorca,es La Liga,29,22.9,24,5,0,2,9,5,2,3,1,FW,0cadc46d
145,Marvin Pieringer,7,2206,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,24.5,26,5,0,4,11,4,3,3,0,FWMF,11407d95
146,Charles De Ketelaere,7,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,23.0,25,11,0,7,14,7,0,0,0,MFFW,2ef7c612
147,Dango Ouattara,7,2005,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,22.3,21,11,0,4,11,7,0,0,0,FW,2f9e4435
148,Phillip Tietz,7,1686,2024-2025,27,de GER,Augsburg,de Bundesliga,34,18.7,19,15,0,2,9,6,1,1,0,FW,3397e7b5
149,Denzel Dumfries,7,1955,2024-2025,28,nl NED,Inter,it Serie A,29,21.7,20,9,4,2,9,7,0,0,0,DFFW,481c9ece
150,Karim Adeyemi,7,1433,2024-2025,22,de GER,Dortmund,de Bundesliga,25,15.9,17,8,0,6,13,7,0,0,0,FWMF,501055d8
151,Alex Baena,7,2595,2024-2025,23,es ESP,Villarreal,es La Liga,32,28.8,30,2,0,9,16,7,0,1,1,MFFW,518f2234
152,Gorka Guruzeta,7,1840,2024-2025,27,es ESP,Athletic Club,es La Liga,36,20.4,21,15,1,2,9,7,0,0,0,FW,6b5ea2f4
153,Samuel Essende,7,1636,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,18.2,21,9,1,2,9,7,0,0,0,FW,821550ce
154,Serge Gnabry,7,1242,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,13.8,13,14,2,5,12,7,0,1,1,FWMF,88e357ef
155,Son Heung-min,7,2110,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,23.4,24,6,0,9,16,6,1,2,1,FW,92e7e919
156,Patrick Cutrone,7,2047,2024-2025,26,it ITA,Como,it Serie A,33,22.7,23,10,5,4,11,7,0,1,1,FW,a4fe8cda
157,Marius Bülter,7,1729,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,19.2,22,3,0,2,9,7,0,0,0,FWDF,ab5b7dc1
158,Noni Madueke,7,2033,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,22.6,27,5,1,3,10,7,0,0,0,FW,bf34eebd
159,Zakaria Aboukhlal,7,1901,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,21.1,22,4,0,2,9,6,1,2,1,MFFW,c2a6033c
160,Mikel Merino,7,1586,2024-2025,28,es ESP,Arsenal,eng Premier League,28,17.6,17,11,0,2,9,7,0,0,0,MFFW,d080ed5e
161,Kenan Yıldız,7,2402,2024-2025,19,tr TUR,Juventus,it Serie A,35,26.7,28,7,1,4,11,7,0,0,0,FWMF,d8cda243
162,Alexander Bernhardsson,7,1263,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,14.0,15,4,1,2,9,7,0,0,0,FWMF,dea1d183
163,Dejan Kulusevski,7,2389,2024-2025,24,se SWE,Tottenham,eng Premier League,32,26.5,27,5,0,4,11,7,0,0,0,MFFW,df3cda47
164,Cyle Larin,7,1764,2024-2025,29,ca CAN,Mallorca,es La Liga,32,19.6,21,11,4,2,9,6,1,1,0,FW,e7af9060
165,Phil Foden,7,1777,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,19.7,20,8,5,2,9,7,0,0,0,MFFW,ed1e53f3
166,Alexis Saelemaekers,7,1479,2024-2025,25,be BEL,2 Teams,it Serie A,23,16.4,18,5,5,3,10,7,0,0,0,DFFW,ee251371
167,Luis Henrique,7,2613,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,29.0,29,4,1,7,14,7,0,0,0,DFFW,f36d5624
168,Abdallah Sima,7,1238,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,13.8,14,13,1,2,9,7,0,0,0,FWMF,fdbde523
169,Nicolás Paz,6,2687,2024-2025,19,ar ARG,Como,it Serie A,35,29.9,30,5,1,8,14,6,0,1,1,MFFW,01bb93d5
170,Lorenzo Colombo,6,2233,2024-2025,22,it ITA,Empoli,it Serie A,37,24.8,26,11,0,2,8,5,1,1,0,FWMF,04df29a5
171,Breel Embolo,6,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,20.5,19,10,5,4,10,6,0,0,0,FWMF,0b4f388a
172,Romain Del Castillo,6,1259,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,14.0,14,12,0,4,10,3,3,4,1,FW,0be95d34
173,Diogo Jota,6,1196,2024-2025,27,pt POR,Liverpool,eng Premier League,26,13.3,14,12,3,3,9,6,0,0,0,FW,178ae8f8
174,Sofiane Diop,6,1064,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,11.8,8,20,1,4,10,6,0,0,0,MFFW,19053e31
175,Anthony Gordon,6,2434,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,27.0,28,6,0,5,11,5,1,2,1,FWMF,2bd83368
176,Anthony Elanga,6,2501,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,27.8,31,7,0,11,17,6,0,0,0,FWMF,2fba6108
177,Jorge de Frutos,6,2495,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,27.7,30,6,0,3,9,6,0,0,0,FWMF,38ce1150
