Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
446,Yann Gboho,5,27,15.6,2333,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,MFFW,6be41a31
447,Dwight McNeil,3,17,15.0,1371,2024-2025,24,eng ENG,Everton,eng Premier League,21,MFFW,fc15fb84
448,Pedro,1,6,14.3,1102,2024-2025,37,es ESP,Lazio,it Serie A,30,FWMF,3ca7254a
449,Malick Fofana,2,12,14.3,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,FW,8236f673
450,Vinicius Júnior,1,7,12.5,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
451,Jack Harrison,4,28,12.5,2076,2024-2025,27,eng ENG,Everton,eng Premier League,34,FW,aa849a12
452,Hákon Arnar Haraldsson,2,14,12.5,1755,2024-2025,21,is ISL,Lille,fr Ligue 1,25,MFFW,e2ae54db
453,Badredine Bouanani,2,16,11.1,1099,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,MFFW,0400dd2f
454,Alejandro Garnacho,3,24,11.1,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
455,Benjamín Domínguez,2,21,8.7,1281,2024-2025,20,ar ARG,Bologna,it Serie A,24,FW,a83b47fa
456,Matias Fernandez-Pardo,0,11,0.0,1065,2024-2025,19,be BEL,Lille,fr Ligue 1,22,FWMF,0cdb6a2a
457,Osame Sahraoui,0,8,0.0,1293,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,FWMF,6f9fa232
458,Bryan Gil,0,5,0.0,1721,2024-2025,23,es ESP,Girona,es La Liga,25,FWMF,7b5ab7f2
459,Luis Henrique,0,5,0.0,2613,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,DFFW,f36d5624
460,Jeremy Doku,0,12,0.0,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
