Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
76,Adam Hložek,40,39,50.6,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,FWMF,5521f419
77,Gaëtan Laborde,48,47,50.5,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,FW,7cdda3bf
78,Coba da Costa,19,19,50.0,1006,2024-2025,22,es ESP,Getafe,es La Liga,19,MFFW,0b3358f0
79,Breel Embolo,30,30,50.0,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,FWMF,0b4f388a
80,Anthony Gordon,8,8,50.0,2434,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,FWMF,2bd83368
81,Leonardo Spinazzola,3,3,50.0,1517,2024-2025,31,it ITA,Napoli,it Serie A,27,DFFW,3626daea
82,Alessandro Zanoli,19,19,50.0,1711,2024-2025,23,it ITA,Genoa,it Serie A,31,FWDF,3b12b11f
83,Iván Sánchez,11,11,50.0,1404,2024-2025,31,es ESP,Valladolid,es La Liga,32,MFFW,70107d4d
84,Teun Koopmeiners,22,22,50.0,1994,2024-2025,26,nl NED,Juventus,it Serie A,28,MFFW,a26fb8aa
85,Dani Olmo,9,9,50.0,1212,2024-2025,26,es ESP,Barcelona,es La Liga,25,MFFW,ae44e8e2
86,Arnaut Danjuma,3,3,50.0,1535,2024-2025,27,nl NED,2 Teams,es La Liga,28,FW,f08490a6
87,Jonas Wind,98,100,49.5,1966,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,FWMF,2077ae86
88,Fábio Silva,51,52,49.5,1866,2024-2025,22,pt POR,Las Palmas,es La Liga,24,FW,e7aa9d7c
89,Kaoru Mitoma,26,27,49.1,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
90,Adama Traoré,25,26,49.0,1772,2024-2025,28,es ESP,Fulham,eng Premier League,36,FWMF,9a28eba4
91,João Pedro,41,43,48.8,1948,2024-2025,22,br BRA,Brighton,eng Premier League,27,FWMF,e8832875
