,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Touches,Touches,Touches,Touches,Touches,Touches,Touches,,-additional
Rk,Player,Touches,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
25,Kylian Mbappé,1572,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2907,32.3,34,0,0,31,3,34,24,7,9,2,1572,1,35,439,1114,320,1563,FW,42fd9c7f
26,Alex Baena,1569,2595,2024-2025,23,es ESP,Villarreal,es La Liga,32,2595,28.8,30,2,0,7,9,16,7,0,1,1,1569,23,209,634,762,89,1568,MFFW,518f2234
27,Maghnes Akliouche,1566,2406,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,2406,26.7,27,5,0,5,10,15,4,1,1,0,1566,22,150,644,794,156,1565,FWMF,b625b241
28,Matteo Politano,1561,2804,2024-2025,30,it ITA,Napoli,it Serie A,37,2804,31.2,34,3,0,3,4,7,3,0,0,0,1561,49,233,533,804,90,1561,FWMF,5e861944
29,Matheus Cunha,1561,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,2597,28.9,29,4,0,15,6,21,15,0,0,0,1561,23,181,695,733,133,1560,MFFW,dc62b55d
30,Sergi Darder,1558,2744,2024-2025,30,es ESP,Mallorca,es La Liga,38,2744,30.5,34,4,0,2,6,8,2,0,0,0,1558,19,173,887,518,29,1558,MFFW,070a3904
31,Andrej Kramarić,1554,2767,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2767,30.7,32,0,0,11,8,19,8,3,3,0,1554,11,176,715,676,131,1551,MFFW,603cb947
32,Carlos Vicente,1551,3092,2024-2025,25,es ESP,Alavés,es La Liga,37,3092,34.4,35,2,1,5,5,10,4,1,1,0,1551,28,218,574,780,86,1550,FWMF,90df343e
33,Ritsu Doan,1537,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2862,31.8,33,1,0,10,7,17,10,0,0,0,1537,40,215,665,679,108,1537,FWMF,d01bbb6f
34,Junya Ito,1533,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2690,29.9,31,2,0,4,3,7,4,0,0,0,1533,19,222,546,798,83,1533,FWMF,dbd3a428
35,Mahdi Camara,1530,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2659,29.5,31,3,0,5,3,8,5,0,0,0,1530,36,268,841,441,78,1530,MFFW,8577e60a
36,Luis Rioja,1520,2854,2024-2025,30,es ESP,2 Teams,es La Liga,37,2854,31.7,33,4,0,5,3,8,3,2,2,0,1520,39,254,537,751,61,1518,FW,eb3dd471
37,Dodi Lukebakio,1494,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,3092,34.4,36,2,0,11,2,13,10,1,1,0,1494,11,147,552,818,145,1493,FW,0c61c77c
38,Kenan Yıldız,1485,2402,2024-2025,19,tr TUR,Juventus,it Serie A,35,2402,26.7,28,7,1,7,4,11,7,0,0,0,1485,17,161,590,752,103,1485,FWMF,d8cda243
39,Gabriel Strefezza,1483,2619,2024-2025,27,br BRA,Como,it Serie A,37,2619,29.1,32,5,0,6,4,10,6,0,0,0,1483,27,197,595,704,93,1483,FWMF,ac4a4508
40,Federico Dimarco,1475,2177,2024-2025,26,it ITA,Inter,it Serie A,33,2177,24.2,29,4,2,4,7,11,4,0,0,0,1475,34,270,546,675,90,1475,DFFW,970b8574
41,Loïc Nego,1469,2459,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2459,27.3,28,3,3,0,0,0,0,0,0,0,1469,96,476,693,312,34,1469,DFFW,c3b6fa1e
42,Rubén García,1467,2413,2024-2025,31,es ESP,Osasuna,es La Liga,36,2413,26.8,30,6,0,5,5,10,5,0,0,0,1467,31,205,649,629,64,1467,FWMF,5c96b017
43,Désiré Doué,1461,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1730,19.2,18,13,1,6,6,12,6,0,0,0,1461,4,137,646,701,123,1461,FWMF,9e7483ff
44,Mattia Zaccagni,1458,2686,2024-2025,29,it ITA,Lazio,it Serie A,34,2686,29.8,33,1,0,8,6,14,6,2,2,0,1458,26,143,561,774,100,1456,FW,d85c238b
45,Lee Kang-in,1432,1663,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1663,18.5,19,11,2,6,6,12,6,0,0,0,1432,13,107,616,720,68,1432,FWMF,8455ad90
46,Alberto Moleiro,1416,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2714,30.2,32,3,1,6,1,7,6,0,0,0,1416,4,153,682,607,102,1416,FWMF,c2c8897d
47,Eberechi Eze,1415,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2588,28.8,31,3,0,8,8,16,7,1,2,1,1415,17,193,661,598,95,1413,MFFW,ae4fc6a4
48,Enzo Millot,1397,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1843,20.5,22,7,2,6,5,11,6,0,1,1,1397,9,180,760,470,75,1396,MFFW,f76022e7
49,Emmanuel Gyasi,1390,3217,2024-2025,30,gh GHA,Empoli,it Serie A,37,3217,35.7,37,0,0,2,1,3,2,0,0,0,1390,87,334,676,391,51,1390,DFFW,f9758dae
50,Kaoru Mitoma,1375,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2603,28.9,28,8,0,10,4,14,10,0,0,0,1375,17,155,468,782,164,1375,FWMF,74618572
51,Valentino Lazaro,1368,2307,2024-2025,28,at AUT,Torino,it Serie A,33,2307,25.6,26,7,1,0,6,6,0,0,0,0,1368,53,237,616,528,27,1368,DFFW,016ff750
52,Kevin De Bruyne,1368,1702,2024-2025,33,be BEL,Manchester City,eng Premier League,28,1702,18.9,19,9,5,4,7,11,4,0,0,0,1368,10,75,455,850,79,1368,MFFW,e46012d4
53,Christian Pulisic,1367,2478,2024-2025,25,us USA,Milan,it Serie A,34,2478,27.5,29,5,0,11,9,20,8,3,4,1,1367,15,156,524,709,128,1363,FWMF,1bf33a9a
54,Morgan Rogers,1362,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,3114,34.6,37,0,0,8,10,18,8,0,0,0,1362,43,200,592,597,142,1362,FWMF,2e5915f1
55,Joelinton,1360,2393,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2393,26.6,29,0,0,4,3,7,4,0,0,0,1360,67,256,670,448,83,1360,MFFW,c17bfb65
56,Takefusa Kubo,1341,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2372,26.4,27,9,1,5,0,5,5,0,0,0,1341,10,126,537,703,118,1341,MFFW,16aa3654
57,Rodrygo,1340,1928,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1928,21.4,22,8,1,6,5,11,6,0,0,0,1340,14,97,464,802,127,1340,FWMF,8f5e92a6
58,Gaëtan Perrin,1327,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2691,29.9,31,3,0,10,11,21,10,0,0,0,1327,6,144,590,616,98,1327,MFFW,10dd88f9
59,Khvicha Kvaratskhelia,1327,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,2094,23.3,26,5,2,9,6,15,8,1,1,0,1327,6,86,517,746,145,1326,FWMF,dea88efd
60,Ousmane Dembélé,1323,1730,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1730,19.2,20,9,1,21,6,27,20,1,1,0,1323,2,47,481,805,161,1322,FW,b19db005
61,Zuriko Davitashvili,1298,2778,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2778,30.9,32,1,0,9,8,17,7,2,2,0,1298,17,138,478,710,123,1296,FWMF,88b4d2e3
62,Isaac Palazón Camacho,1285,2162,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,2162,24.0,25,10,0,4,4,8,4,0,0,0,1285,12,120,592,583,43,1285,MFFW,49dbab27
63,Leandro Trossard,1278,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2546,28.3,28,10,0,8,7,15,8,0,0,0,1278,17,135,399,762,158,1278,FW,38ceb24a
64,Bradley Barcola,1278,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,2181,24.2,27,7,0,14,10,24,14,0,0,0,1278,13,84,393,814,214,1278,FW,a0d55a09
65,Dejan Kulusevski,1276,2389,2024-2025,24,se SWE,Tottenham,eng Premier League,32,2389,26.5,27,5,0,7,4,11,7,0,0,0,1276,24,149,432,719,158,1276,MFFW,df3cda47
66,Ademola Lookman,1274,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2247,25.0,28,3,2,15,5,20,14,1,1,0,1274,1,68,400,824,199,1273,MFFW,7c104bb7
67,Mohammed Kudus,1274,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,2590,28.8,31,1,0,5,3,8,5,0,0,0,1274,13,171,536,612,127,1274,FWMF,b62878a5
68,Pablo Fornals,1272,1827,2024-2025,28,es ESP,Betis,es La Liga,26,1827,20.3,22,4,2,2,0,2,2,0,0,0,1272,20,171,684,428,36,1272,MFFW,82927de4
69,Jacob Murphy,1271,2360,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,8,12,20,8,0,0,0,1271,27,188,474,622,92,1271,FW,de112b84
70,Bilal El Khannouss,1268,2182,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2182,24.2,27,5,3,2,3,5,2,0,0,0,1268,18,183,655,445,35,1268,MFFW,f7042636
71,Anthony Gordon,1267,2434,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2434,27.0,28,6,0,6,5,11,5,1,2,1,1267,16,125,475,687,128,1265,FWMF,2bd83368
72,Vinicius Júnior,1264,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2253,25.0,24,6,0,11,8,19,9,2,3,1,1264,4,75,378,839,199,1261,FW,7111d552
73,Ludovic Blas,1262,2293,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2293,25.5,26,3,0,6,8,14,6,0,0,0,1262,11,134,535,612,105,1262,MFFW,6191093d
74,Omari Hutchinson,1259,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,2583,28.7,30,1,1,3,2,5,3,0,0,0,1259,17,200,516,567,92,1259,MFFW,bd9553e6
75,Diego López,1257,2737,2024-2025,22,es ESP,Valencia,es La Liga,38,2737,30.4,35,3,0,8,5,13,8,0,0,0,1257,11,132,510,634,100,1257,MFFW,c487901c
76,Jarrod Bowen,1252,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,2973,33.0,34,0,0,13,8,21,12,1,1,0,1252,28,132,466,678,171,1251,FWMF,79c84d1c
77,Álex Berenguer,1250,2339,2024-2025,29,es ESP,Athletic Club,es La Liga,36,2339,26.0,28,8,1,6,7,13,6,0,1,1,1250,18,98,462,713,86,1249,FWMF,dc1c2fce
78,Eliesse Ben Seghir,1244,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1750,19.4,19,14,1,6,3,9,4,2,2,0,1244,3,96,542,624,63,1242,MFFW,3bd65247
79,Julián Álvarez,1238,2509,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,2509,27.9,30,7,0,17,4,21,13,4,4,0,1238,9,105,501,649,116,1234,FW,15ab5a2b
80,Charles De Ketelaere,1238,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,2070,23.0,25,11,0,7,7,14,7,0,0,0,1238,10,75,530,657,135,1238,MFFW,2ef7c612
81,Chris Führich,1220,1981,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1981,22.0,23,10,0,2,3,5,2,0,0,0,1220,20,109,438,687,115,1220,MFFW,0cf778df
82,Nicolás Domínguez,1218,1963,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1963,21.8,23,11,3,0,1,1,0,0,0,0,1218,78,303,630,295,33,1218,MFFW,20b3a502
83,Habib Diarra,1214,2352,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,2352,26.1,27,3,0,4,5,9,2,2,2,0,1214,50,276,610,342,42,1212,MFFW,6d0fe035
84,Amad Diallo,1207,1901,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1901,21.1,20,6,2,8,6,14,8,0,0,0,1207,16,175,443,607,131,1207,MFFW,9dc96f10
85,Marcus Tavernier,1196,1939,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,1939,21.5,20,9,0,3,5,8,3,0,0,0,1196,20,135,468,622,58,1196,FWMF,5c0da4a4
86,Robin Hack,1186,2172,2024-2025,25,de GER,Gladbach,de Bundesliga,33,2172,24.1,27,6,1,4,7,11,4,0,0,0,1186,26,208,565,431,84,1186,FWMF,0174ba21
87,Florian Sotoca,1186,1794,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,1794,19.9,22,9,0,1,1,2,1,0,0,0,1186,25,105,546,544,89,1186,FWMF,7a42d0df
88,Leroy Sané,1184,1637,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1637,18.2,17,13,2,11,5,16,11,0,0,0,1184,8,68,399,736,121,1184,FW,2b114be3
89,Luis Díaz,1184,2399,2024-2025,27,co COL,Liverpool,eng Premier League,36,2399,26.7,28,8,2,13,5,18,13,0,0,0,1184,17,90,409,706,167,1184,FW,4a1a9578
90,Omar Marmoush,1175,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2623,29.1,31,2,0,22,9,31,20,2,2,0,1175,7,74,382,747,177,1173,FWMF,0e0102eb
91,Teun Koopmeiners,1170,1994,2024-2025,26,nl NED,Juventus,it Serie A,28,1994,22.2,23,5,1,3,3,6,3,0,0,0,1170,38,180,529,468,50,1170,MFFW,a26fb8aa
92,Iñaki Williams,1169,2652,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,2652,29.5,29,6,0,6,8,14,6,0,0,0,1169,35,113,392,679,138,1169,FW,6a99e0b1
93,Giovani Lo Celso,1167,1457,2024-2025,28,ar ARG,Betis,es La Liga,25,1457,16.2,15,10,0,8,3,11,6,2,3,1,1167,7,114,558,506,53,1164,MFFW,d7553721
94,Álvaro García,1164,2559,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,2559,28.4,28,8,0,4,5,9,4,0,0,0,1164,31,204,357,611,127,1164,FWMF,90bbd822
95,Domingos André Ribeiro Almeida,1162,1977,2024-2025,24,pt POR,Valencia,es La Liga,34,1977,22.0,24,10,2,0,4,4,0,0,0,0,1162,15,150,596,428,43,1162,MFFW,e6697917
96,Alejandro Garnacho,1159,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2199,24.4,23,13,0,6,2,8,6,0,0,0,1159,13,130,364,683,176,1159,MFFW,7aa8adfe
97,Pedro Neto,1153,2269,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2269,25.2,24,11,1,4,6,10,4,0,0,0,1153,13,100,336,735,116,1153,FW,7ba2eaa9
98,Tim Kleindienst,1149,2737,2024-2025,28,de GER,Gladbach,de Bundesliga,31,2737,30.4,31,0,0,16,7,23,15,1,2,1,1149,74,145,613,403,137,1147,FW,258a6f4d
99,Phil Foden,1139,1777,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1777,19.7,20,8,5,7,2,9,7,0,0,0,1139,13,85,382,681,83,1139,MFFW,ed1e53f3
100,Hákon Arnar Haraldsson,1136,1755,2024-2025,21,is ISL,Lille,fr Ligue 1,25,1755,19.5,21,4,1,5,3,8,5,0,0,0,1136,15,111,502,533,77,1136,MFFW,e2ae54db
101,Rafael Leão,1135,2323,2024-2025,25,pt POR,Milan,it Serie A,34,2323,25.8,25,9,2,8,8,16,8,0,0,0,1135,7,71,455,636,152,1135,FW,20730eae
102,Son Heung-min,1134,2110,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2110,23.4,24,6,0,7,9,16,6,1,2,1,1134,16,115,362,668,122,1132,FW,92e7e919
103,Moses Simon,1131,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2609,29.0,31,1,0,8,10,18,4,4,4,0,1131,10,111,379,669,129,1127,FWMF,5f3eaaf5
104,Anthony Elanga,1115,2501,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2501,27.8,31,7,0,6,11,17,6,0,0,0,1115,29,136,319,679,110,1115,FWMF,2fba6108
105,Benedict Hollerbach,1112,2540,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2540,28.2,30,4,0,9,1,10,9,0,0,0,1112,19,125,446,567,138,1112,FWMF,2a158218
106,Keito Nakamura,1110,2649,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,2649,29.4,31,1,0,11,2,13,11,0,0,0,1110,28,179,391,554,129,1110,FWMF,d97af612
107,Mohamed Amoura,1106,2467,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,2467,27.4,29,2,0,10,9,19,8,2,2,0,1106,17,119,385,629,127,1104,FW,6597f8b6
108,Marvin Ducksch,1105,2418,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2418,26.9,30,2,0,8,8,16,7,1,2,1,1105,31,83,457,575,116,1103,FW,638a4d71
109,Sávio,1095,1766,2024-2025,20,br BRA,Manchester City,eng Premier League,29,1766,19.6,21,8,7,1,8,9,1,0,0,0,1095,14,55,286,774,154,1095,FWMF,fe6e7156
110,Gustav Isaksen,1084,2210,2024-2025,23,dk DEN,Lazio,it Serie A,37,2210,24.6,29,8,0,4,2,6,4,0,0,0,1084,17,105,393,609,120,1084,FW,5715bb71
111,Iliman Ndiaye,1084,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,2430,27.0,29,4,0,9,0,9,7,2,2,0,1084,36,219,451,464,83,1082,FW,5ed97752
112,Sebastiano Esposito,1081,2331,2024-2025,22,it ITA,Empoli,it Serie A,33,2331,25.9,27,6,1,8,0,8,7,1,2,1,1081,11,85,532,480,95,1079,FWMF,7ff93107
113,Abde Ezzalzouli,1081,1984,2024-2025,22,ma MAR,Betis,es La Liga,32,1984,22.0,23,9,1,2,2,4,2,0,1,1,1081,10,120,407,585,151,1080,FWMF,bed68338
114,John McGinn,1072,2223,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,2223,24.7,27,7,0,1,4,5,1,0,0,0,1072,31,164,558,361,58,1072,MFFW,90f91999
115,Nico Williams,1064,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,1996,22.2,22,7,0,5,5,10,5,0,0,0,1064,8,84,333,671,113,1064,FW,afdc14d7
116,Viktor Tsyhankov,1064,1913,2024-2025,26,ua UKR,Girona,es La Liga,27,1913,21.3,23,4,1,2,5,7,2,0,0,0,1064,23,103,408,564,74,1064,FWMF,f7e87032
117,Florian Thauvin,1062,1956,2024-2025,31,fr FRA,Udinese,it Serie A,25,1956,21.7,24,1,0,8,3,11,7,1,3,2,1062,8,105,432,537,82,1059,FWMF,2b9fdeea
118,Arda Güler,1058,1250,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1250,13.9,14,14,10,3,4,7,3,0,0,0,1058,14,131,477,460,50,1058,MFFW,3741ca58
119,Hugo Ekitike,1054,2563,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2563,28.5,31,2,0,15,8,23,14,1,3,2,1054,27,68,430,583,196,1051,FW,5b92d896
120,Leonardo Spinazzola,1051,1517,2024-2025,31,it ITA,Napoli,it Serie A,27,1517,16.9,17,10,6,1,1,2,1,0,0,0,1051,38,244,472,344,38,1051,DFFW,3626daea
121,Nikola Krstović,1051,3057,2024-2025,24,me MNE,Lecce,it Serie A,37,3057,34.0,37,0,0,11,5,16,9,2,3,1,1051,30,63,476,526,152,1048,FW,473803c9
122,Raúl Moro,1050,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,2341,26.0,26,7,0,4,5,9,4,0,0,0,1050,17,124,389,559,108,1050,MFFW,919dd4b1
123,Denzel Dumfries,1047,1955,2024-2025,28,nl NED,Inter,it Serie A,29,1955,21.7,20,9,4,7,2,9,7,0,0,0,1047,35,182,423,457,95,1047,DFFW,481c9ece
124,Iago Aspas,1038,1745,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,1745,19.4,19,11,3,10,5,15,5,5,6,1,1038,4,75,510,466,67,1032,FWMF,7dcf86f6
125,Callum Hudson-Odoi,1035,2194,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,2194,24.4,25,6,1,5,2,7,5,0,0,0,1035,16,117,338,605,74,1035,FWMF,15f3ec41
126,Dennis Man,1027,1995,2024-2025,25,ro ROU,Parma,it Serie A,33,1995,22.2,23,10,2,4,4,8,4,0,0,0,1027,8,100,426,517,87,1027,FWMF,2079b3cc
127,Jeremy Doku,1027,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,1516,16.8,16,13,4,3,6,9,3,0,0,0,1027,4,46,233,772,161,1027,FWMF,fffea3e5
128,Alexis Saelemaekers,1026,1479,2024-2025,25,be BEL,2 Teams,it Serie A,23,1479,16.4,18,5,5,7,3,10,7,0,0,0,1026,11,158,424,455,49,1026,DFFW,ee251371
129,Alexander Isak,1025,2756,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2756,30.6,34,0,0,23,6,29,19,4,4,0,1025,20,57,386,596,189,1021,FW,8e92be30
130,Dan Ndoye,1021,2143,2024-2025,23,ch SUI,Bologna,it Serie A,30,2143,23.8,26,4,1,8,4,12,6,2,2,0,1021,4,74,410,560,105,1019,FW,8e697a8f
131,Bryan Gil,1019,1721,2024-2025,23,es ESP,Girona,es La Liga,25,1721,19.1,21,4,0,3,3,6,3,0,0,0,1019,9,110,356,568,82,1019,FWMF,7b5ab7f2
132,Takumi Minamino,1016,2231,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2231,24.8,27,4,0,6,3,9,6,0,0,0,1016,24,95,451,479,135,1016,MFFW,f833a830
133,Yassine Kechta,1014,2096,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2096,23.3,25,6,2,2,0,2,2,0,0,0,1014,29,220,544,275,27,1014,MFFW,abefc3af
134,Patrick Dorgu,1011,1840,2024-2025,19,dk DEN,Lecce,it Serie A,21,1840,20.4,21,0,1,3,1,4,3,0,0,0,1011,56,255,445,332,50,1011,DFFW,e6536124
135,Jorge de Frutos,1010,2495,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2495,27.7,30,6,0,6,3,9,6,0,0,0,1010,25,165,328,544,107,1010,FWMF,38ce1150
