,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
215,Tiago Tomás,42,1901,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1901,21.1,23,9,1,6,1,7,6,0,0,0,42,0.14,0.30,20,47.6,16.0,0,FWMF,b492126a
216,João Pedro,42,1957,2024-2025,22,br BRA,Brighton,eng Premier League,27,1957,21.7,23,4,0,10,6,16,5,5,5,0,42,0.12,0.33,15,35.7,17.2,0,FWMF,e8832875
217,Dany Mota,42,2118,2024-2025,26,pt POR,Monza,it Serie A,31,2118,23.5,24,7,0,5,2,7,5,0,0,0,42,0.12,0.45,11,26.2,13.1,0,FWMF,efc9e31f
218,Tete Morente,41,2034,2024-2025,27,es ESP,Lecce,it Serie A,31,2034,22.6,23,8,5,3,2,5,3,0,0,0,41,0.07,0.23,13,31.7,20.8,0,FWMF,004d185e
219,Morgan Guilavogui,41,1821,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1821,20.2,21,4,0,6,2,8,6,0,0,0,41,0.15,0.40,15,36.6,13.6,0,FWMF,79b51257
220,Lee Kang-in,41,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1677,18.6,19,11,2,6,6,12,6,0,0,0,41,0.15,0.43,14,34.1,19.0,1,FWMF,8455ad90
221,Esteban Lepaul,41,1638,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,1638,18.2,18,10,4,9,0,9,9,0,0,0,41,0.22,0.53,17,41.5,13.2,0,FW,85ce1949
222,Alassane Pléa,41,1920,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1920,21.3,24,6,2,11,4,15,10,1,1,0,41,0.24,0.83,12,29.3,15.2,1,MFFW,bc6bd723
223,Fermin López,41,1258,2024-2025,21,es ESP,Barcelona,es La Liga,28,1258,14.0,12,16,3,6,5,11,6,0,0,0,41,0.15,0.40,15,36.6,18.0,0,MFFW,c1fe5f0b
224,Vitor Roque,41,1245,2024-2025,19,br BRA,Betis,es La Liga,22,1245,13.8,14,8,0,4,0,4,4,0,0,0,41,0.10,0.22,18,43.9,14.5,0,FW,cb00f1e6
225,Patrick Wimmer,41,1787,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1787,19.9,22,7,0,3,4,7,3,0,0,0,41,0.07,0.30,10,24.4,17.7,1,MFFW,cb11b429
226,Musa Al-Taamari,41,1692,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,1692,18.8,19,7,0,3,1,4,3,0,0,0,41,0.07,0.21,14,34.1,16.6,1,FWMF,f15f8b2b
227,Jofre,40,2188,2024-2025,23,es ESP,Espanyol,es La Liga,37,2188,24.3,26,11,0,3,3,6,3,0,0,0,40,0.08,0.30,10,25.0,19.5,0,MFFW,030ef8d6
228,Juanmi Latasa,40,1404,2024-2025,23,es ESP,Valladolid,es La Liga,28,1404,15.6,14,14,3,3,0,3,3,0,0,0,40,0.08,0.23,13,32.5,11.8,0,FW,2bea832e
229,Francisco Conceição,40,1347,2024-2025,21,pt POR,Juventus,it Serie A,26,1347,15.0,12,14,2,3,3,6,3,0,0,0,40,0.08,0.23,13,32.5,18.1,1,FWMF,5ef3d210
230,Moses Simon,40,2627,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2627,29.2,31,1,0,8,10,18,4,4,4,0,40,0.10,0.31,13,32.5,19.6,2,FWMF,5f3eaaf5
231,Mika Biereth,40,1239,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1239,13.8,16,0,1,13,2,15,12,1,2,1,40,0.30,0.55,22,55.0,11.6,0,FW,a1d95db3
232,Dani Olmo,40,1225,2024-2025,26,es ESP,Barcelona,es La Liga,25,1225,13.6,13,12,2,10,3,13,8,2,2,0,40,0.20,0.53,15,37.5,18.1,1,MFFW,ae44e8e2
233,Randal Kolo Muani,40,1525,2024-2025,25,fr FRA,2 Teams,2 Comps,26,1525,16.9,15,11,4,10,2,12,8,2,2,0,40,0.20,0.42,19,47.5,12.7,0,FW,c0b3669f
234,Boulaye Dia,39,2199,2024-2025,27,sn SEN,Lazio,it Serie A,35,2199,24.4,27,8,2,9,3,12,9,0,0,0,39,0.23,0.47,19,48.7,13.3,0,MFFW,244bc2c8
235,Arda Güler,39,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1261,14.0,14,14,10,3,4,7,3,0,0,0,39,0.08,0.19,16,41.0,20.0,2,MFFW,3741ca58
236,Adrian Beck,39,1609,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,1609,17.9,18,14,1,4,1,5,4,0,0,0,39,0.10,0.31,13,33.3,17.8,0,MFFW,616c09f5
237,Mikel Oyarzabal,39,2268,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,2268,25.2,28,7,2,9,3,12,5,4,4,0,39,0.13,0.38,13,33.3,13.4,0,FW,8c3c640c
238,Adama Traoré,39,1786,2024-2025,28,es ESP,Fulham,eng Premier League,36,1786,19.8,18,18,1,2,7,9,2,0,0,0,39,0.05,0.17,12,30.8,14.2,0,FWMF,9a28eba4
239,Lucas Paquetá,39,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,2390,26.6,27,6,1,4,0,4,2,2,2,0,39,0.05,0.67,3,7.7,19.5,4,MFFW,9b6f7fd5
240,Dani Raba,39,1895,2024-2025,28,es ESP,Leganés,es La Liga,29,1895,21.1,24,5,5,8,6,14,4,4,5,1,39,0.10,0.33,12,30.8,25.5,4,FWMF,ea6a7ab4
241,Jonas Wind,38,1978,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,1978,22.0,21,10,2,9,3,12,8,1,2,1,38,0.21,0.73,11,28.9,13.4,0,FWMF,2077ae86
242,Oladapo Afolayan,38,1652,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,1652,18.4,17,15,2,3,1,4,3,0,0,0,38,0.08,0.23,13,34.2,20.4,0,FWMF,5054c359
243,Nicolas Pépé,38,1509,2024-2025,29,ci CIV,Villarreal,es La Liga,28,1509,16.8,15,13,0,3,6,9,3,0,0,0,38,0.08,0.18,17,44.7,16.0,1,FWMF,57e3f0c7
244,Léo Scienza,38,1164,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1164,12.9,13,12,6,3,3,6,3,0,0,0,38,0.08,0.20,15,39.5,21.7,4,FWMF,79064bc9
245,Moritz Broschinski,38,1403,2024-2025,23,de GER,Bochum,de Bundesliga,33,1403,15.6,15,18,1,1,3,4,1,0,0,0,38,0.03,0.09,11,28.9,17.1,0,FWMF,bbd79358
246,Mikel Merino,38,1591,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1591,17.7,17,11,0,7,2,9,7,0,0,0,38,0.18,0.54,13,34.2,10.7,0,MFFW,d080ed5e
247,Yaser Asprilla,38,1414,2024-2025,20,co COL,Girona,es La Liga,27,1414,15.7,15,12,3,3,1,4,3,0,0,0,38,0.08,0.27,11,28.9,22.9,2,FWMF,d139daf9
248,Cyle Larin,38,1783,2024-2025,29,ca CAN,Mallorca,es La Liga,32,1783,19.8,21,11,4,7,2,9,6,1,1,0,38,0.16,0.43,14,36.8,11.7,0,FW,e7af9060
249,Phil Harres,37,1553,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1553,17.3,17,9,1,8,1,9,8,0,0,0,37,0.22,0.47,17,45.9,12.7,0,FW,07db670d
250,Callum Hudson-Odoi,37,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,2210,24.6,25,6,1,5,2,7,5,0,0,0,37,0.14,0.29,17,45.9,18.3,0,FWMF,15f3ec41
251,Pedro,37,1108,2024-2025,37,es ESP,Lazio,it Serie A,30,1108,12.3,6,24,6,10,1,11,8,2,2,0,37,0.22,0.50,16,43.2,19.1,0,FWMF,3ca7254a
252,Marius Bülter,37,1742,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1742,19.4,22,3,0,7,2,9,7,0,0,0,37,0.19,0.47,15,40.5,16.2,0,FWDF,ab5b7dc1
253,Adri Embarba,37,1624,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1624,18.0,18,17,3,1,1,2,1,0,0,0,37,0.03,0.08,12,32.4,22.1,2,FWMF,db8f0eba
254,Abdallah Sima,37,1250,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,1250,13.9,14,13,1,7,2,9,7,0,0,0,37,0.19,0.39,18,48.6,13.1,0,FWMF,fdbde523
255,Casper Tengstedt,37,1535,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,1535,17.1,20,5,4,6,1,7,5,1,1,0,37,0.14,0.50,10,27.0,14.2,0,FW,ff2fb007
256,Sergi Darder,36,2767,2024-2025,30,es ESP,Mallorca,es La Liga,38,2767,30.7,34,4,0,2,6,8,2,0,0,0,36,0.06,0.22,9,25.0,24.2,1,MFFW,070a3904
257,Chris Führich,36,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1997,22.2,23,10,0,2,3,5,2,0,0,0,36,0.06,0.17,12,33.3,17.3,2,MFFW,0cf778df
258,Wahbi Khazri,36,1127,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,1127,12.5,10,20,2,1,1,2,1,0,0,0,36,0.03,0.17,6,16.7,24.7,4,FWMF,2677a1de
259,Facundo Buonanotte,36,1530,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1530,17.0,14,17,3,5,2,7,5,0,0,0,36,0.14,0.42,12,33.3,17.6,0,FWMF,468a7a91
260,Denzel Dumfries,36,1959,2024-2025,28,nl NED,Inter,it Serie A,29,1959,21.8,20,9,4,7,2,9,7,0,0,0,36,0.19,0.37,19,52.8,10.5,0,DFFW,481c9ece
261,Andrea Colpani,36,1465,2024-2025,25,it ITA,Fiorentina,it Serie A,25,1465,16.3,18,7,2,2,1,3,2,0,0,0,36,0.06,0.17,12,33.3,18.5,2,FWMF,6499048c
262,Junior Adamu,36,1558,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,1558,17.3,19,6,5,2,2,4,2,0,0,0,36,0.06,0.18,11,30.6,12.4,0,FW,82e12fe7
263,Mathias Pereira Lage,36,1583,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1583,17.6,18,11,5,2,7,9,2,0,0,0,36,0.06,0.13,15,41.7,17.2,3,FWMF,8846a40f
264,Patrick Dorgu,36,1841,2024-2025,19,dk DEN,Lecce,it Serie A,21,1841,20.5,21,0,1,3,1,4,3,0,0,0,36,0.08,0.30,10,27.8,19.0,0,DFFW,e6536124
265,Arnaut Danjuma,36,1547,2024-2025,27,nl NED,2 Teams,es La Liga,28,1547,17.2,18,10,5,4,0,4,4,0,0,0,36,0.11,0.24,17,47.2,15.7,1,FW,f08490a6
266,Mohamed Ali Cho,36,1642,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1642,18.2,21,6,2,3,4,7,3,0,0,0,36,0.08,0.20,15,41.7,17.7,0,FWMF,f8405304
267,Anass Zaroury,35,1416,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,1416,15.7,16,12,4,2,2,4,2,0,0,0,35,0.06,0.17,12,34.3,22.4,0,FWMF,07d65234
268,Jim Allevinah,35,1771,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,1771,19.7,23,5,0,1,3,4,1,0,0,0,35,0.03,0.10,10,28.6,14.5,0,FW,1956b948
269,Mikkel Damsgaard,35,2934,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2934,32.6,34,4,0,2,10,12,2,0,0,0,35,0.06,0.29,7,20.0,17.6,3,MFFW,215f3907
270,Iliman Ndiaye,35,2444,2024-2025,24,sn SEN,Everton,eng Premier League,33,2444,27.2,29,4,0,9,0,9,7,2,2,0,35,0.20,0.47,15,42.9,17.1,0,FW,5ed97752
271,Himad Abdelli,35,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,2849,31.7,32,0,0,6,1,7,3,3,4,1,35,0.09,0.38,8,22.9,22.6,0,MFFW,7978cbf0
272,Assane Diao,35,1539,2024-2025,18,sn SEN,2 Teams,2 Comps,25,1539,17.1,16,9,8,9,3,12,9,0,0,0,35,0.26,0.64,14,40.0,15.3,0,FWMF,8ae7d0ec
273,Carlos Vicente,35,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,3099,34.4,35,2,1,5,5,10,4,1,1,0,35,0.11,0.31,13,37.1,18.2,1,FWMF,90df343e
274,Danel Sinani,35,1263,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1263,14.0,14,12,7,2,2,4,2,0,0,0,35,0.06,0.17,12,34.3,21.5,3,FWMF,96ddfa79
275,Hákon Arnar Haraldsson,35,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,1769,19.7,21,4,1,5,3,8,5,0,0,0,35,0.14,0.38,13,37.1,17.1,2,MFFW,e2ae54db
276,Viktor Tsyhankov,35,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,1925,21.4,23,4,1,2,5,7,2,0,0,0,35,0.06,0.22,9,25.7,19.9,5,FWMF,f7e87032
277,Darwin Núñez,34,1139,2024-2025,25,uy URU,Liverpool,eng Premier League,30,1139,12.7,8,22,5,5,2,7,5,0,0,0,34,0.15,0.38,13,38.2,14.3,0,FW,4d77b365
278,Marcus Rashford,34,1434,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1434,15.9,16,9,1,6,3,9,5,1,1,0,34,0.15,0.36,14,41.2,18.0,2,FWMF,a1d5bd30
279,Carles Pérez,34,1440,2024-2025,26,es ESP,Getafe,es La Liga,27,1440,16.0,15,12,11,3,0,3,3,0,0,0,34,0.09,0.33,9,26.5,21.1,1,MFFW,a8f21b9f
280,Jordan Pefok,34,1299,2024-2025,28,us USA,2 Teams,2 Comps,25,1299,14.4,16,9,2,1,1,2,1,0,0,0,34,0.03,0.11,9,26.5,11.4,0,FW,b684a484
281,Paul Onuachu,34,1056,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1056,11.7,11,14,3,4,1,5,4,0,0,0,34,0.12,0.27,15,44.1,10.4,0,FW,c06d1086
282,Yankuba Minteh,34,1855,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1855,20.6,20,12,1,6,4,10,6,0,0,0,34,0.18,0.38,16,47.1,13.8,0,FWMF,c3cf087d
283,Lucas Höler,34,1880,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1880,20.9,21,10,2,6,4,10,6,0,1,1,34,0.18,0.35,17,50.0,10.8,0,FWMF,ca618d23
284,Johannes Eggestein,34,1872,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1872,20.8,22,5,5,3,4,7,2,1,2,1,34,0.06,0.20,10,29.4,15.7,0,FW,d571df78
285,Joel Pohjanpalo,34,1616,2024-2025,29,fi FIN,Venezia,it Serie A,20,1616,18.0,19,1,0,6,0,6,3,3,4,1,34,0.09,0.23,13,38.2,16.9,0,FW,ea003d07
286,Óscar Rodríguez Arnaiz,33,1335,2024-2025,26,es ESP,Leganés,es La Liga,29,1335,14.8,12,17,5,1,4,5,1,0,0,0,33,0.03,0.17,6,18.2,25.1,9,MFFW,19709006
287,Simon Adingra,33,1107,2024-2025,22,ci CIV,Brighton,eng Premier League,29,1107,12.3,12,17,6,2,2,4,2,0,0,0,33,0.06,0.25,8,24.2,17.0,0,FWMF,4dcec659
288,Irvin Cardona,33,1683,2024-2025,26,fr FRA,2 Teams,2 Comps,31,1683,18.7,18,13,2,6,4,10,6,0,1,1,33,0.18,0.46,13,39.4,15.5,1,FWMF,5e080f73
289,Miguel,33,1736,2024-2025,24,es ESP,Leganés,es La Liga,34,1736,19.3,17,17,3,1,3,4,0,1,2,1,33,0.00,0.00,14,42.4,15.5,0,FW,6763373d
290,Vitinha,33,1341,2024-2025,24,pt POR,Genoa,it Serie A,25,1341,14.9,16,9,1,2,3,5,2,0,0,0,33,0.06,0.40,5,15.2,20.3,1,FWMF,74d4cec6
291,Juan Cruz,33,2272,2024-2025,24,es ESP,Leganés,es La Liga,34,2272,25.2,26,8,4,5,4,9,5,0,0,0,33,0.15,0.36,14,42.4,21.0,1,FWMF,cc2dd8a5
292,Williot Swedberg,32,1361,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,1361,15.1,15,17,1,4,5,9,4,0,0,0,32,0.13,0.27,15,46.9,14.7,0,FWMF,184fe4b2
293,Bernardo Silva,32,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2671,29.7,29,4,5,4,4,8,4,0,0,0,32,0.13,0.36,11,34.4,12.4,0,MFFW,3eb22ec9
294,Rasmus Højlund,32,2020,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2020,22.4,23,9,2,4,0,4,4,0,0,0,32,0.13,0.31,13,40.6,12.9,0,FW,491a433d
295,Steven Skrzybski,32,1333,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1333,14.8,15,9,0,6,3,9,5,1,1,0,32,0.16,0.42,12,37.5,20.2,0,MFFW,58ce23e5
296,Oliver McBurnie,32,1849,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1849,20.5,20,14,4,3,6,9,3,0,0,0,32,0.09,0.25,12,37.5,12.3,0,FW,78b8ac63
297,Bryan Gil,32,1738,2024-2025,23,es ESP,Girona,es La Liga,25,1738,19.3,21,4,0,3,3,6,3,0,0,0,32,0.09,0.20,15,46.9,19.0,0,FWMF,7b5ab7f2
298,Mathys Tel,32,1174,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1174,13.0,13,8,10,2,2,4,1,1,1,0,32,0.03,0.09,11,34.4,16.6,1,FW,829aa60c
299,Tomáš Suslov,32,2100,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,2100,23.3,27,4,0,0,1,1,0,0,0,0,32,0.00,0.00,7,21.9,21.6,4,MFFW,83fe71b8
300,Sergio Camello,32,1148,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1148,12.8,14,9,2,3,2,5,3,0,0,0,32,0.09,0.33,9,28.1,16.3,0,FW,873619c6
301,Jordan Ayew,32,1674,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1674,18.6,19,12,6,5,0,5,4,1,1,0,32,0.13,0.50,8,25.0,18.4,4,FWMF,da052c14
302,Santiago Pierotti,32,1952,2024-2025,23,ar ARG,Lecce,it Serie A,36,1952,21.7,22,14,1,4,2,6,4,0,0,0,32,0.13,0.57,7,21.9,15.1,0,FW,ec315772
303,Cristhian Stuani,31,1084,2024-2025,37,uy URU,Girona,es La Liga,32,1084,12.0,6,26,6,11,2,13,8,3,3,0,31,0.26,0.50,16,51.6,12.7,0,FW,220c11f1
304,Gerrit Holtmann,31,1146,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1146,12.7,12,11,2,2,1,3,2,0,0,0,31,0.06,0.25,8,25.8,21.4,0,DFFW,2979c05a
305,Nicolas Viola,31,1284,2024-2025,34,it ITA,Cagliari,it Serie A,27,1284,14.3,18,9,10,3,1,4,3,0,0,0,31,0.10,0.33,9,29.0,20.4,4,FWMF,45392b06
306,Dani Rodríguez,31,2186,2024-2025,36,es ESP,Mallorca,es La Liga,37,2186,24.3,26,11,0,4,7,11,4,0,0,0,31,0.13,0.40,10,32.3,17.9,1,MFFW,70f8e0bd
307,Valentin Mihaila,31,1300,2024-2025,24,ro ROU,Parma,it Serie A,21,1300,14.4,16,5,2,0,3,3,0,0,0,0,31,0.00,0.00,11,35.5,22.1,5,FWMF,81a4c239
308,Malick Fofana,31,1599,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1599,17.8,16,13,0,5,4,9,5,0,0,0,31,0.16,0.33,15,48.4,15.0,0,FW,8236f673
309,Anastasios Douvikas,31,1289,2024-2025,24,gr GRE,2 Teams,2 Comps,33,1289,14.3,12,21,3,5,3,8,5,0,0,0,31,0.16,0.36,14,45.2,11.7,0,FW,853ca71c
310,John McGinn,31,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,2238,24.9,27,7,0,1,4,5,1,0,0,0,31,0.03,0.20,5,16.1,17.0,1,MFFW,90f91999
311,Thijs Dallinga,31,1162,2024-2025,23,nl NED,Bologna,it Serie A,31,1162,12.9,11,20,7,3,2,5,3,0,0,0,31,0.10,0.27,11,35.5,11.6,0,FW,b70afb45
312,Giovani Lo Celso,31,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,1463,16.3,15,10,0,8,3,11,6,2,3,1,31,0.19,0.38,16,51.6,22.0,4,MFFW,d7553721
313,Franck Honorat,31,1456,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,1456,16.2,18,1,1,4,7,11,4,0,0,0,31,0.13,0.44,9,29.0,15.2,0,FW,db7849ca
314,Junya Ito,31,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2703,30.0,31,2,0,4,3,7,4,0,0,0,31,0.13,0.36,11,35.5,13.7,0,FWMF,dbd3a428
315,Badredine Bouanani,30,1108,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1108,12.3,11,15,5,3,3,6,2,1,1,0,30,0.07,0.14,14,46.7,20.3,1,MFFW,0400dd2f
316,Tanguy Coulibaly,30,1494,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,1494,16.6,17,8,2,3,0,3,3,0,0,0,30,0.10,0.23,13,43.3,15.4,0,FWMF,05ba9d7c
317,Rémy Cabella,30,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1019,11.3,12,11,4,1,2,3,1,0,0,0,30,0.03,0.14,7,23.3,14.7,1,FWMF,148e136f
318,Gianluca Gaetano,30,1017,2024-2025,24,it ITA,2 Teams,it Serie A,28,1017,11.3,8,20,7,2,4,6,2,0,0,0,30,0.07,0.33,6,20.0,17.2,2,MFFW,3b387cc7
319,Thomas Müller,30,1234,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,1234,13.7,12,18,4,1,4,5,1,0,0,0,30,0.03,0.09,11,36.7,15.9,0,MFFW,3c6089ab
320,John Yeboah,30,1233,2024-2025,24,ec ECU,Venezia,it Serie A,33,1233,13.7,11,22,0,1,1,2,1,0,0,0,30,0.03,0.10,10,33.3,16.6,0,FWMF,8dfdc6c3
321,Giorgos Masouras,30,1065,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1065,11.8,12,2,0,2,1,3,2,0,0,0,30,0.07,0.13,15,50.0,14.5,1,FWMF,9d689a5b
322,Benjamín Domínguez,30,1294,2024-2025,20,ar ARG,Bologna,it Serie A,24,1294,14.4,16,8,11,3,2,5,3,0,0,0,30,0.10,0.18,17,56.7,19.2,0,FW,a83b47fa
323,Nikola Vlašić,30,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,2128,23.6,23,7,1,5,4,9,3,2,2,0,30,0.10,0.30,10,33.3,22.2,0,MFFW,aa8e289e
324,Luis Henrique,30,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2625,29.2,29,4,1,7,7,14,7,0,0,0,30,0.23,0.50,14,46.7,14.6,0,DFFW,f36d5624
325,Bilal El Khannouss,30,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2201,24.5,27,5,3,2,3,5,2,0,0,0,30,0.07,0.29,7,23.3,22.0,0,MFFW,f7042636
326,Mama Samba Baldé,30,1193,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,1193,13.3,12,17,0,2,3,5,2,0,0,0,30,0.07,0.25,8,26.7,15.5,0,FW,fb14aa28
327,Jeremie Boga,30,1063,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1063,11.8,12,9,3,1,2,3,1,0,0,0,30,0.03,0.06,16,53.3,17.0,2,MFFW,fe012aca
328,Jamie Leweling,29,1682,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1682,18.7,22,5,0,2,2,4,2,0,0,0,29,0.07,0.13,16,55.2,19.4,0,MFFW,13fe7b69
329,Mathias Honsak,29,1186,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1186,13.2,12,10,0,5,1,6,5,0,0,0,29,0.17,0.50,10,34.5,17.1,1,FWDF,3dbdbb6a
330,David Neres,29,1294,2024-2025,27,br BRA,Napoli,it Serie A,28,1294,14.4,13,15,1,2,4,6,2,0,0,0,29,0.07,0.29,7,24.1,18.1,0,FW,4f1e6a0b
331,Yeremi Pino,29,1958,2024-2025,21,es ESP,Villarreal,es La Liga,34,1958,21.8,25,9,1,4,7,11,4,0,0,0,29,0.14,0.50,8,27.6,12.8,0,MFFW,540ec57b
332,Eldor Shomurodov,29,1106,2024-2025,29,uz UZB,Roma,it Serie A,27,1106,12.3,11,16,10,4,4,8,4,0,0,0,29,0.14,0.31,13,44.8,11.9,0,FWMF,57469b2d
333,Keinan Davis,29,1072,2024-2025,26,eng ENG,Udinese,it Serie A,23,1072,11.9,10,13,2,2,1,3,2,0,0,0,29,0.07,0.18,11,37.9,12.7,0,FW,9deaf2c8
334,Kamaldeen Sulemana,29,1414,2024-2025,22,gh GHA,Southampton,eng Premier League,26,1414,15.7,17,9,2,1,1,2,1,0,0,0,29,0.03,0.13,8,27.6,18.6,0,FWMF,a62f8bf1
335,Jack Harrison,29,2091,2024-2025,27,eng ENG,Everton,eng Premier League,34,2091,23.2,24,10,4,1,0,1,1,0,0,0,29,0.03,0.14,7,24.1,16.2,0,FW,aa849a12
336,Yassine Kechta,29,2117,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2117,23.5,25,6,2,2,0,2,2,0,0,0,29,0.07,0.22,9,31.0,25.7,2,MFFW,abefc3af
337,Diego,29,1205,2024-2025,24,es ESP,Leganés,es La Liga,28,1205,13.4,13,15,6,3,0,3,3,0,0,0,29,0.10,0.33,9,31.0,14.1,0,FW,b85a5126
338,Jeremy Doku,29,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,1526,17.0,16,13,4,3,6,9,3,0,0,0,29,0.10,0.33,9,31.0,17.7,0,FWMF,fffea3e5
339,Joshua Zirkzee,28,1411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,1411,15.7,14,18,0,3,1,4,3,0,0,0,28,0.11,0.27,11,39.3,13.1,0,FWMF,028e70b9
340,Cameron Archer,28,1454,2024-2025,23,eng ENG,Southampton,eng Premier League,35,1454,16.2,13,22,2,2,0,2,2,0,1,1,28,0.07,0.20,10,35.7,12.8,0,FW,05e8ca6d
341,Takuma Asano,28,1067,2024-2025,29,jp JPN,Mallorca,es La Liga,21,1067,11.9,13,8,2,2,1,3,2,0,0,0,28,0.07,0.25,8,28.6,13.6,0,FWMF,13ddc856
342,Ernest Nuamah,28,1062,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,1062,11.8,13,10,1,3,1,4,3,0,0,0,28,0.11,0.23,13,46.4,17.3,0,FWMF,234a703c
343,Akor Adams,28,1215,2024-2025,24,ng NGA,2 Teams,2 Comps,19,1215,13.5,14,5,1,3,1,4,3,0,0,0,28,0.11,0.23,13,46.4,13.9,0,FW,2ccd39ed
344,Jesper Lindstrøm,28,1251,2024-2025,24,dk DEN,Everton,eng Premier League,25,1251,13.9,15,10,3,0,1,1,0,0,0,0,28,0.00,0.00,10,35.7,21.0,6,FW,37dc1a48
345,Leon Bailey,28,1150,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1150,12.8,14,10,5,1,2,3,1,0,0,0,28,0.04,0.17,6,21.4,17.3,2,FWMF,3a233281
346,Milan Đurić,28,1545,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1545,17.2,16,11,3,5,1,6,5,0,0,0,28,0.18,0.45,11,39.3,11.9,0,FW,405f6586
