,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,GCA,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Pos,-9999
20,Vinicius Júnior,18,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2264,25.2,24,6,0,11,8,19,9,2,3,1,18,11,0,5,0,2,0,FW,7111d552
21,Amad Diallo,18,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1907,21.2,20,6,2,8,6,14,8,0,0,0,18,7,0,4,1,2,4,MFFW,9dc96f10
22,Evann Guessand,17,2578,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,2578,28.6,30,3,1,12,8,20,12,0,0,0,17,10,0,3,2,1,1,FWMF,b73f17f8
23,Sebastian Nanasi,17,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2129,23.7,26,5,1,6,4,10,6,0,0,0,17,11,4,0,2,0,0,MFFW,ce747d2a
24,Nicolás Paz,16,2700,2024-2025,19,ar ARG,Como,it Serie A,35,2700,30.0,30,5,1,6,8,14,6,0,1,1,16,14,0,2,0,0,0,MFFW,01bb93d5
25,Rafael Leão,16,2335,2024-2025,25,pt POR,Milan,it Serie A,34,2335,25.9,25,9,2,8,8,16,8,0,0,0,16,10,0,3,1,2,0,FW,20730eae
26,Morgan Rogers,16,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,3132,34.8,37,0,0,8,10,18,8,0,0,0,16,14,0,1,0,1,0,FWMF,2e5915f1
27,Luis Díaz,16,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,2420,26.9,28,8,2,13,5,18,13,0,0,0,16,13,0,1,0,2,0,FW,4a1a9578
28,Romelu Lukaku,16,2872,2024-2025,31,be BEL,Napoli,it Serie A,36,2872,31.9,35,1,0,14,10,24,11,3,4,1,16,15,0,1,0,0,0,FW,5eae500a
29,Ludovic Blas,16,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2304,25.6,26,3,0,6,8,14,6,0,0,0,16,7,4,1,1,2,1,MFFW,6191093d
30,Alex Iwobi,16,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,3001,33.3,35,3,0,9,6,15,9,0,0,0,16,13,0,2,1,0,0,FWMF,6ca5ec4b
31,Marcus Thuram,16,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,2304,25.6,27,5,3,14,4,18,14,0,0,0,16,10,0,2,1,3,0,FW,6f8cd6d0
32,Ritsu Doan,16,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2877,32.0,33,1,0,10,7,17,10,0,0,0,16,11,1,1,1,1,1,FWMF,d01bbb6f
33,Matheus Cunha,16,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,2606,29.0,29,4,0,15,6,21,15,0,0,0,16,10,0,4,0,1,1,MFFW,dc62b55d
34,Julián Álvarez,15,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,2526,28.1,30,7,0,17,4,21,13,4,4,0,15,10,1,0,3,0,1,FW,15ab5a2b
35,Kylian Mbappé,15,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2918,32.4,34,0,0,31,3,34,24,7,9,2,15,8,1,2,3,1,0,FW,42fd9c7f
36,Vincenzo Grifo,15,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2457,27.3,31,3,0,8,11,19,8,0,3,3,15,10,4,1,0,0,0,FWMF,54e4866f
37,Moses Simon,15,2627,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2627,29.2,31,1,0,8,10,18,4,4,4,0,15,9,1,2,2,1,0,FWMF,5f3eaaf5
38,Jarrod Bowen,15,2980,2024-2025,27,eng ENG,West Ham,eng Premier League,34,2980,33.1,34,0,0,13,8,21,12,1,1,0,15,11,2,1,1,0,0,FWMF,79c84d1c
39,Ademola Lookman,15,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2266,25.2,28,3,2,15,5,20,14,1,1,0,15,10,0,3,1,1,0,MFFW,7c104bb7
40,Zuriko Davitashvili,15,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2790,31.0,32,1,0,9,8,17,7,2,2,0,15,8,1,4,0,2,0,FWMF,88b4d2e3
41,Son Heung-min,15,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2122,23.6,24,6,0,7,9,16,6,1,2,1,15,13,0,0,1,1,0,FW,92e7e919
42,Ousmane Dembélé,15,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1745,19.4,20,9,1,21,6,27,20,1,1,0,15,11,0,1,2,1,0,FW,b19db005
43,Cole Palmer,15,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,3201,35.6,36,1,0,15,8,23,11,4,5,1,15,11,0,2,1,1,0,MFFW,dc7f8a28
44,Jacob Murphy,15,2385,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2385,26.5,31,4,2,8,12,20,8,0,0,0,15,14,0,0,0,1,0,FW,de112b84
45,Luis Henrique,15,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2625,29.2,29,4,1,7,7,14,7,0,0,0,15,15,0,0,0,0,0,DFFW,f36d5624
46,Sávio,15,1779,2024-2025,20,br BRA,Manchester City,eng Premier League,29,1779,19.8,21,8,7,1,8,9,1,0,0,0,15,10,0,2,1,1,1,FWMF,fe6e7156
47,Christian Pulisic,14,2496,2024-2025,25,us USA,Milan,it Serie A,34,2496,27.7,29,5,0,11,9,20,8,3,4,1,14,6,3,0,3,1,1,FWMF,1bf33a9a
48,Tim Kleindienst,14,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,2744,30.5,31,0,0,16,7,23,15,1,2,1,14,9,1,0,1,2,1,FW,258a6f4d
49,Charles De Ketelaere,14,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,2089,23.2,25,11,0,7,7,14,7,0,0,0,14,11,0,1,2,0,0,MFFW,2ef7c612
50,Andrej Kramarić,14,2781,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2781,30.9,32,0,0,11,8,19,8,3,3,0,14,11,1,0,1,1,0,MFFW,603cb947
51,Iñaki Williams,14,2660,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,2660,29.6,29,6,0,6,8,14,6,0,0,0,14,10,0,3,1,0,0,FW,6a99e0b1
52,Alexander Isak,14,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2774,30.8,34,0,0,23,6,29,19,4,4,0,14,11,0,1,0,1,1,FW,8e92be30
53,Ante Budimir,14,2971,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2971,33.0,34,4,0,21,4,25,13,8,8,0,14,3,0,1,2,8,0,FW,8f3565b3
54,Federico Dimarco,14,2200,2024-2025,26,it ITA,Inter,it Serie A,33,2200,24.4,29,4,2,4,7,11,4,0,0,0,14,10,2,0,2,0,0,DFFW,970b8574
55,Alassane Pléa,14,1920,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1920,21.3,24,6,2,11,4,15,10,1,1,0,14,10,1,2,0,1,0,MFFW,bc6bd723
56,Valentín Castellanos,14,2395,2024-2025,25,ar ARG,Lazio,it Serie A,29,2395,26.6,28,1,2,10,3,13,8,2,3,1,14,7,0,1,3,2,1,FW,da76bab4
57,Álex Berenguer,14,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,2361,26.2,28,8,1,6,7,13,6,0,1,1,14,6,4,2,1,1,0,FWMF,dc1c2fce
58,Khvicha Kvaratskhelia,14,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,2112,23.5,26,5,2,9,6,15,8,1,1,0,14,10,0,3,1,0,0,FWMF,dea88efd
59,Mateo Retegui,14,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,2408,26.8,32,4,0,25,8,33,21,4,5,1,14,11,0,0,2,1,0,FW,e7695e6c
60,Dani Raba,14,1895,2024-2025,28,es ESP,Leganés,es La Liga,29,1895,21.1,24,5,5,8,6,14,4,4,5,1,14,8,1,3,0,1,1,FWMF,ea6a7ab4
61,Jeremy Doku,14,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,1526,17.0,16,13,4,3,6,9,3,0,0,0,14,11,0,3,0,0,0,FWMF,fffea3e5
62,Mohamed Amoura,13,2487,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,2487,27.6,29,2,0,10,9,19,8,2,2,0,13,12,0,1,0,0,0,FW,6597f8b6
63,Iago Aspas,13,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,1754,19.5,19,11,3,10,5,15,5,5,6,1,13,11,0,0,1,1,0,FWMF,7dcf86f6
64,Serge Gnabry,13,1250,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,1250,13.9,13,14,2,7,5,12,7,0,1,1,13,8,0,4,0,0,1,FWMF,88e357ef
65,Nico Williams,13,2005,2024-2025,22,es ESP,Athletic Club,es La Liga,29,2005,22.3,22,7,0,5,5,10,5,0,0,0,13,9,2,1,0,1,0,FW,afdc14d7
66,Yankuba Minteh,13,1855,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1855,20.6,20,12,1,6,4,10,6,0,0,0,13,6,0,6,1,0,0,FWMF,c3cf087d
67,Antoine Griezmann,13,2489,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2489,27.7,29,9,0,8,7,15,7,1,2,1,13,12,0,0,1,0,0,FWMF,df69b544
68,Antoine Semenyo,13,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3211,35.7,36,1,0,11,5,16,11,0,0,0,13,7,1,2,1,2,0,FW,efd2ec23
69,Anthony Gordon,12,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2452,27.2,28,6,0,6,5,11,5,1,2,1,12,9,1,1,0,1,0,FWMF,2bd83368
70,Brahim Díaz,12,1395,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,1395,15.5,16,15,0,4,2,6,4,0,0,0,12,7,0,1,3,0,1,FWMF,407feb71
71,Georges Mikautadze,12,1455,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1455,16.2,13,21,0,11,6,17,8,3,4,1,12,8,0,2,0,2,0,FW,4788cb6b
72,Hugo Ekitike,12,2585,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2585,28.7,31,2,0,15,8,23,14,1,3,2,12,9,0,2,0,1,0,FW,5b92d896
73,Rubén García,12,2439,2024-2025,31,es ESP,Osasuna,es La Liga,36,2439,27.1,30,6,0,5,5,10,5,0,0,0,12,8,1,0,1,2,0,FWMF,5c96b017
74,Marvin Ducksch,12,2437,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2437,27.1,30,2,0,8,8,16,7,1,2,1,12,9,2,0,1,0,0,FW,638a4d71
75,Dani Rodríguez,12,2186,2024-2025,36,es ESP,Mallorca,es La Liga,37,2186,24.3,26,11,0,4,7,11,4,0,0,0,12,9,2,0,0,1,0,MFFW,70f8e0bd
76,Dani Olmo,12,1225,2024-2025,26,es ESP,Barcelona,es La Liga,25,1225,13.6,13,12,2,10,3,13,8,2,2,0,12,3,1,3,1,4,0,MFFW,ae44e8e2
77,Ollie Watkins,12,2617,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,2617,29.1,31,7,0,16,8,24,14,2,2,0,12,8,0,1,1,2,0,FW,aed3a70f
78,Patrick Wimmer,12,1787,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1787,19.9,22,7,0,3,4,7,3,0,0,0,12,7,1,1,1,1,1,MFFW,cb11b429
79,Robin Hack,11,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,2195,24.4,27,6,1,4,7,11,4,0,0,0,11,10,0,0,0,1,0,FWMF,0174ba21
80,Kingsley Coman,11,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,1293,14.4,14,14,0,5,4,9,5,0,0,0,11,6,0,3,1,1,0,FW,042e8a49
81,Jean-Ricner Bellegarde,11,1695,2024-2025,26,fr FRA,Wolves,eng Premier League,35,1695,18.8,20,15,2,2,7,9,2,0,0,0,11,8,1,0,0,1,1,MFFW,10f0fdd3
82,Callum Hudson-Odoi,11,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,2210,24.6,25,6,1,5,2,7,5,0,0,0,11,7,0,2,0,2,0,FWMF,15f3ec41
83,Arda Güler,11,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1261,14.0,14,14,10,3,4,7,3,0,0,0,11,4,3,1,2,1,0,MFFW,3741ca58
84,Karim Adeyemi,11,1447,2024-2025,22,de GER,Dortmund,de Bundesliga,25,1447,16.1,17,8,0,7,6,13,7,0,0,0,11,7,0,3,1,0,0,FWMF,501055d8
85,Yeremi Pino,11,1958,2024-2025,21,es ESP,Villarreal,es La Liga,34,1958,21.8,25,9,1,4,7,11,4,0,0,0,11,8,0,0,2,1,0,MFFW,540ec57b
86,Marcus Tavernier,11,1948,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,1948,21.6,20,9,0,3,5,8,3,0,0,0,11,5,3,0,2,1,0,FWMF,5c0da4a4
87,Malick Fofana,11,1599,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1599,17.8,16,13,0,5,4,9,5,0,0,0,11,8,0,2,1,0,0,FW,8236f673
88,Amine Gouiri,11,2097,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,2097,23.3,23,10,0,13,5,18,13,0,0,0,11,6,1,2,2,0,0,FWMF,aad56ca3
89,Farid El Melali,11,1911,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1911,21.2,22,10,0,2,3,5,2,0,0,0,11,3,2,1,0,3,2,FW,d21e361a
90,Kevin De Bruyne,11,1714,2024-2025,33,be BEL,Manchester City,eng Premier League,28,1714,19.0,19,9,5,4,7,11,4,0,0,0,11,9,1,0,1,0,0,MFFW,e46012d4
91,Santiago Castro,11,2310,2024-2025,19,ar ARG,Bologna,it Serie A,36,2310,25.7,27,9,1,8,4,12,8,0,1,1,11,8,0,2,1,0,0,FW,ee5565ae
92,Mohamed Ali Cho,11,1642,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1642,18.2,21,6,2,3,4,7,3,0,0,0,11,8,0,1,1,1,0,FWMF,f8405304
93,Breel Embolo,10,1852,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1852,20.6,19,10,5,6,4,10,6,0,0,0,10,6,0,1,2,1,0,FWMF,0b4f388a
94,Jamie Gittens,10,1793,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1793,19.9,21,11,2,8,3,11,8,0,0,0,10,4,0,6,0,0,0,FWMF,10745192
95,Yoane Wissa,10,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,2930,32.6,34,1,0,19,4,23,19,0,0,0,10,8,0,0,1,1,0,FW,2500cef9
96,Jorge de Frutos,10,2518,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2518,28.0,30,6,0,6,3,9,6,0,0,0,10,5,0,3,0,1,1,FWMF,38ce1150
97,Jamie Vardy,10,2837,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2837,31.5,35,0,0,9,4,13,8,1,2,1,10,5,0,2,1,2,0,FW,45963054
98,Jean-Philippe Mateta,10,2661,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,2661,29.6,33,4,0,14,2,16,12,2,2,0,10,5,0,3,2,0,0,FW,50e6dc35
99,Adam Hložek,10,1879,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,1879,20.9,22,5,0,8,4,12,8,0,0,0,10,6,1,2,1,0,0,FWMF,5521f419
100,Matteo Politano,10,2835,2024-2025,30,it ITA,Napoli,it Serie A,37,2835,31.5,34,3,0,3,4,7,3,0,0,0,10,8,1,0,0,1,0,FWMF,5e861944
101,Kaoru Mitoma,10,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2616,29.1,28,8,0,10,4,14,10,0,0,0,10,9,0,0,0,1,0,FWMF,74618572
102,Nick Woltemade,10,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1629,18.1,17,11,5,12,2,14,10,2,3,1,10,5,0,4,1,0,0,FWMF,7ca196eb
103,Loïs Openda,10,2467,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2467,27.4,28,5,0,9,5,14,9,0,1,1,10,5,0,0,2,3,0,FWMF,8652a85c
104,Christantus Uche,10,2502,2024-2025,21,ng NGA,Getafe,es La Liga,33,2502,27.8,30,3,0,4,6,10,4,0,0,0,10,8,0,0,0,2,0,FWMF,87941696
105,Mathias Pereira Lage,10,1583,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1583,17.6,18,11,5,2,7,9,2,0,0,0,10,5,3,1,0,1,0,FWMF,8846a40f
106,Serhou Guirassy,10,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2603,28.9,29,1,0,21,4,25,18,3,4,1,10,5,0,0,3,2,0,FW,923f4dda
107,Adama Traoré,10,1786,2024-2025,28,es ESP,Fulham,eng Premier League,36,1786,19.8,18,18,1,2,7,9,2,0,0,0,10,9,0,1,0,0,0,FWMF,9a28eba4
108,Nicolas Jackson,10,2242,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,2242,24.9,28,2,1,10,5,15,10,0,0,0,10,7,0,2,1,0,0,FW,9c36ed83
109,Eberechi Eze,10,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2605,28.9,31,3,0,8,8,16,7,1,2,1,10,9,1,0,0,0,0,MFFW,ae4fc6a4
110,Mohammed Kudus,10,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,2605,28.9,31,1,0,5,3,8,5,0,0,0,10,6,0,1,3,0,0,FWMF,b62878a5
111,Kenan Yıldız,10,2414,2024-2025,19,tr TUR,Juventus,it Serie A,35,2414,26.8,28,7,1,7,4,11,7,0,0,0,10,7,0,2,1,0,0,FWMF,d8cda243
112,Jadon Sancho,10,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,1775,19.7,19,12,1,3,4,7,3,0,0,0,10,9,0,0,0,1,0,FW,dbf053da
113,Luis Rioja,10,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,2872,31.9,33,4,0,5,3,8,3,2,2,0,10,8,1,0,1,0,0,FW,eb3dd471
114,Alexis Saelemaekers,10,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,1494,16.6,18,5,5,7,3,10,7,0,0,0,10,5,0,1,2,2,0,DFFW,ee251371
115,Enzo Millot,10,1858,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1858,20.6,22,7,2,6,5,11,6,0,1,1,10,8,0,1,1,0,0,MFFW,f76022e7
116,Dwight McNeil,10,1376,2024-2025,24,eng ENG,Everton,eng Premier League,21,1376,15.3,15,6,0,4,6,10,4,0,0,0,10,5,2,2,0,0,1,MFFW,fc15fb84
117,Badredine Bouanani,9,1108,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1108,12.3,11,15,5,3,3,6,2,1,1,0,9,5,1,1,1,1,0,MFFW,0400dd2f
118,Romain Del Castillo,9,1270,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,1270,14.1,14,12,0,6,4,10,3,3,4,1,9,7,1,0,0,1,0,FW,0be95d34
119,Dodi Lukebakio,9,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,3103,34.5,36,2,0,11,2,13,10,1,1,0,9,6,0,2,0,1,0,FW,0c61c77c
120,Matthis Abline,9,2789,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2789,31.0,33,1,0,9,2,11,8,1,1,0,9,6,0,2,1,0,0,FW,0e46fa2f
121,Jamie Leweling,9,1682,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1682,18.7,22,5,0,2,2,4,2,0,0,0,9,3,0,1,3,2,0,MFFW,13fe7b69
122,Diogo Jota,9,1208,2024-2025,27,pt POR,Liverpool,eng Premier League,26,1208,13.4,14,12,3,6,3,9,6,0,0,0,9,5,0,2,1,1,0,FW,178ae8f8
123,Sofiane Diop,9,1070,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,1070,11.9,8,20,1,6,4,10,6,0,0,0,9,7,1,0,0,1,0,MFFW,19053e31
124,Óscar Rodríguez Arnaiz,9,1335,2024-2025,26,es ESP,Leganés,es La Liga,29,1335,14.8,12,17,5,1,4,5,1,0,0,0,9,5,1,1,1,0,1,MFFW,19709006
125,Issa Soumaré,9,1911,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,1911,21.2,21,8,1,5,4,9,5,0,0,0,9,6,0,1,1,1,0,FWMF,1d8aa290
126,Erling Haaland,9,2742,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2742,30.5,31,0,1,22,3,25,19,3,4,1,9,6,0,2,1,0,0,FW,1f44ac21
127,Andrea Cambiaso,9,2230,2024-2025,24,it ITA,Juventus,it Serie A,33,2230,24.8,25,8,0,2,3,5,2,0,0,0,9,7,1,0,1,0,0,DFFW,247ed022
128,Leroy Sané,9,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1647,18.3,17,13,2,11,5,16,11,0,0,0,9,7,0,1,0,0,1,FW,2b114be3
129,Florian Thauvin,9,1973,2024-2025,31,fr FRA,Udinese,it Serie A,25,1973,21.9,24,1,0,8,3,11,7,1,3,2,9,4,1,0,4,0,0,FWMF,2b9fdeea
130,Benjamin Šeško,9,2400,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,2400,26.7,30,3,0,13,5,18,11,2,2,0,9,4,0,2,2,1,0,FWMF,3260690c
131,Thomas Müller,9,1234,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,1234,13.7,12,18,4,1,4,5,1,0,0,0,9,7,0,1,1,0,0,MFFW,3c6089ab
132,Harvey Barnes,9,1766,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,1766,19.6,17,16,1,9,4,13,9,0,0,0,9,6,0,1,1,1,0,FW,3ea50f67
133,Lucas Beltrán,9,1969,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1969,21.9,21,12,4,5,4,9,3,2,3,1,9,8,0,0,0,1,0,FWMF,482d2bc3
134,David Neres,9,1294,2024-2025,27,br BRA,Napoli,it Serie A,28,1294,14.4,13,15,1,2,4,6,2,0,0,0,9,5,1,2,0,1,0,FW,4f1e6a0b
135,Kevin Schade,9,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,2313,25.7,26,12,0,11,2,13,11,0,0,0,9,5,0,1,3,0,0,FW,52afb588
136,Gustav Isaksen,9,2233,2024-2025,23,dk DEN,Lazio,it Serie A,37,2233,24.8,29,8,0,4,2,6,4,0,0,0,9,6,0,2,0,1,0,FW,5715bb71
137,Francisco Conceição,9,1347,2024-2025,21,pt POR,Juventus,it Serie A,26,1347,15.0,12,14,2,3,3,6,3,0,0,0,9,5,1,1,1,1,0,FWMF,5ef3d210
138,Pedro Neto,9,2277,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2277,25.3,24,11,1,4,6,10,4,0,0,0,9,5,1,2,1,0,0,FW,7ba2eaa9
139,Pablo Fornals,9,1841,2024-2025,28,es ESP,Betis,es La Liga,26,1841,20.5,22,4,2,2,0,2,2,0,0,0,9,9,0,0,0,0,0,MFFW,82927de4
