,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
47,Jordan Pefok,54.5,1288,2024-2025,28,us USA,2 Teams,2 Comps,25,1288,14.3,16,9,2,1,1,2,1,0,0,0,54,45,54.5,FW,b684a484
48,Nicolás Domínguez,54.0,1963,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1963,21.8,23,11,3,0,1,1,0,0,0,0,27,23,54.0,MFFW,20b3a502
49,Leroy Sané,53.8,1637,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1637,18.2,17,13,2,11,5,16,11,0,0,0,7,6,53.8,FW,2b114be3
50,Mostafa Mohamed,53.8,1252,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1252,13.9,11,19,0,5,0,5,5,0,0,0,57,49,53.8,FW,595e6f3e
51,Bertuğ Yıldırım,53.7,1083,2024-2025,22,tr TUR,Getafe,es La Liga,22,1083,12.0,14,8,12,1,0,1,1,0,0,0,73,63,53.7,FW,7410d325
52,Toni Martínez,53.7,1012,2024-2025,27,es ESP,Alavés,es La Liga,28,1012,11.2,9,19,8,4,0,4,4,0,0,0,79,68,53.7,FW,f3945e07
53,Maximilian Beier,53.5,1591,2024-2025,21,de GER,Dortmund,de Bundesliga,29,1591,17.7,17,12,1,8,5,13,8,0,0,0,23,20,53.5,FWMF,5db45ee5
54,Erling Haaland,53.3,2736,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2736,30.4,31,0,1,22,3,25,19,3,4,1,57,50,53.3,FW,1f44ac21
55,Mason Greenwood,53.3,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2804,31.2,32,2,0,21,5,26,14,7,9,2,8,7,53.3,FWMF,58eee997
56,Thijs Dallinga,53.2,1154,2024-2025,23,nl NED,Bologna,it Serie A,31,1154,12.8,11,20,7,3,2,5,3,0,0,0,41,36,53.2,FW,b70afb45
57,Valentín Castellanos,53.1,2384,2024-2025,25,ar ARG,Lazio,it Serie A,29,2384,26.5,28,1,2,10,3,13,8,2,3,1,68,60,53.1,FW,da76bab4
58,Ramón Terrats,53.1,1350,2024-2025,23,es ESP,2 Teams,es La Liga,26,1350,15.0,16,10,5,4,1,5,4,0,0,0,17,15,53.1,MFFW,f36016a5
59,Kevin Schade,52.9,2293,2024-2025,22,de GER,Brentford,eng Premier League,38,2293,25.5,26,12,0,11,2,13,11,0,0,0,90,80,52.9,FW,52afb588
60,Serhou Guirassy,52.9,2598,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2598,28.9,29,1,0,21,4,25,18,3,4,1,109,97,52.9,FW,923f4dda
61,Tammy Abraham,52.9,1184,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1184,13.2,12,17,7,3,4,7,2,1,2,1,37,33,52.9,FW,f586779e
62,Vitinha,52.5,1328,2024-2025,24,pt POR,Genoa,it Serie A,25,1328,14.8,16,9,1,2,3,5,2,0,0,0,31,28,52.5,FWMF,74d4cec6
63,Ludovic Ajorque,52.4,2495,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2495,27.7,29,2,0,13,2,15,13,0,1,1,133,121,52.4,FW,462475ed
64,Kiké,52.4,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,2542,28.2,29,6,2,13,0,13,10,3,3,0,110,100,52.4,FW,e897d8ba
65,Morten Thorsby,51.9,1898,2024-2025,28,no NOR,Genoa,it Serie A,30,1898,21.1,22,8,2,0,1,1,0,0,0,0,107,99,51.9,MFFW,d1b49282
