,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
148,Samuel Essende,43.8,1636,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,1636,18.2,21,9,1,7,2,9,7,0,0,0,57,73,43.8,FW,821550ce
149,Joel Pohjanpalo,43.8,1603,2024-2025,29,fi FIN,Venezia,it Serie A,20,1603,17.8,19,1,0,6,0,6,3,3,4,1,46,59,43.8,FW,ea003d07
150,Keane Lewis-Potter,43.5,3093,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3093,34.4,36,2,0,1,3,4,1,0,0,0,27,35,43.5,DFFW,41f08ac8
151,Pep Chavarría,43.4,2585,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,2585,28.7,28,6,2,0,1,1,0,0,0,0,23,30,43.4,DFFW,63c5e56b
152,Dominic Solanke,43.4,2201,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2201,24.5,25,2,1,9,3,12,8,1,1,0,46,60,43.4,FW,e77dc3b2
153,Cyle Larin,43.4,1764,2024-2025,29,ca CAN,Mallorca,es La Liga,32,1764,19.6,21,11,4,7,2,9,6,1,1,0,66,86,43.4,FW,e7af9060
154,Fares Chaïbi,43.2,1013,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1013,11.3,10,16,4,1,3,4,1,0,0,0,16,21,43.2,MFFW,357103bd
155,Rubén García,43.1,2413,2024-2025,31,es ESP,Osasuna,es La Liga,36,2413,26.8,30,6,0,5,5,10,5,0,0,0,28,37,43.1,FWMF,5c96b017
156,Nick Woltemade,43.1,1622,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1622,18.0,17,11,5,12,2,14,10,2,3,1,47,62,43.1,FWMF,7ca196eb
157,Gerrit Holtmann,42.9,1136,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1136,12.6,12,11,2,2,1,3,2,0,0,0,12,16,42.9,DFFW,2979c05a
158,Yeremi Pino,42.9,1934,2024-2025,21,es ESP,Villarreal,es La Liga,34,1934,21.5,25,9,1,4,7,11,4,0,0,0,12,16,42.9,MFFW,540ec57b
159,Romelu Lukaku,42.9,2843,2024-2025,31,be BEL,Napoli,it Serie A,36,2843,31.6,35,1,0,14,10,24,11,3,4,1,42,56,42.9,FW,5eae500a
160,Habib Diarra,42.9,2352,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,2352,26.1,27,3,0,4,5,9,2,2,2,0,12,16,42.9,MFFW,6d0fe035
161,Sandro Ramírez,42.9,2034,2024-2025,29,es ESP,Las Palmas,es La Liga,31,2034,22.6,25,6,1,9,3,12,8,1,1,0,12,16,42.9,FWMF,833fb62e
162,Franck Honorat,42.9,1439,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,1439,16.0,18,1,1,4,7,11,4,0,0,0,9,12,42.9,FW,db7849ca
163,Mateo Retegui,42.9,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,25,8,33,21,4,5,1,51,68,42.9,FW,e7695e6c
164,Jeremie Boga,42.9,1054,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1054,11.7,12,9,3,1,2,3,1,0,0,0,3,4,42.9,MFFW,fe012aca
165,Andrea Pinamonti,42.8,2850,2024-2025,25,it ITA,Genoa,it Serie A,36,2850,31.7,33,3,1,10,1,11,10,0,1,1,83,111,42.8,FW,08aa9cd1
166,Roberto Piccoli,42.8,3127,2024-2025,23,it ITA,Cagliari,it Serie A,37,3127,34.7,37,0,0,10,1,11,9,1,1,0,110,147,42.8,FW,1cadaf34
167,Esteban Lepaul,42.7,1629,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,1629,18.1,18,10,4,9,0,9,9,0,0,0,35,47,42.7,FW,85ce1949
168,Liam Delap,42.6,2593,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2593,28.8,32,5,0,12,2,14,10,2,2,0,55,74,42.6,FW,dd897ee7
169,Moritz Broschinski,42.5,1390,2024-2025,23,de GER,Bochum,de Bundesliga,33,1390,15.4,15,18,1,1,3,4,1,0,0,0,31,42,42.5,FWMF,bbd79358
170,Tom Bischof,42.4,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2559,28.4,30,1,0,5,2,7,5,0,0,0,14,19,42.4,MFFW,07d3bfec
171,Patrick Wimmer,42.4,1770,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1770,19.7,22,7,0,3,4,7,3,0,0,0,36,49,42.4,MFFW,cb11b429
172,Mama Samba Baldé,42.4,1182,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,1182,13.1,12,17,0,2,3,5,2,0,0,0,36,49,42.4,FW,fb14aa28
173,Alieu Fadera,42.3,1644,2024-2025,22,gm GAM,Como,it Serie A,28,1644,18.3,20,8,6,1,3,4,1,0,0,0,11,15,42.3,FWDF,53210e42
174,Christantus Uche,42.3,2486,2024-2025,21,ng NGA,Getafe,es La Liga,33,2486,27.6,30,3,0,4,6,10,4,0,0,0,91,124,42.3,FWMF,87941696
175,Ollie Watkins,42.3,2598,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,2598,28.9,31,7,0,16,8,24,14,2,2,0,52,71,42.3,FW,aed3a70f
176,Dani Rodríguez,42.2,2162,2024-2025,36,es ESP,Mallorca,es La Liga,37,2162,24.0,26,11,0,4,7,11,4,0,0,0,27,37,42.2,MFFW,70f8e0bd
177,Ermedin Demirović,42.0,1855,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1855,20.6,20,14,0,15,1,16,15,0,2,2,34,47,42.0,FW,ed79b7d3
178,Giorgos Masouras,41.9,1055,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1055,11.7,12,2,0,2,1,3,2,0,0,0,26,36,41.9,FWMF,9d689a5b
179,Evann Guessand,41.9,2565,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,2565,28.5,30,3,1,12,8,20,12,0,0,0,26,36,41.9,FWMF,b73f17f8
180,Jamie Gittens,41.7,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1776,19.7,21,11,2,8,3,11,8,0,0,0,5,7,41.7,FWMF,10745192
181,Dango Ouattara,41.7,2005,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2005,22.3,21,11,0,7,4,11,7,0,0,0,45,63,41.7,FW,2f9e4435
182,Mathys Tel,41.7,1167,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1167,13.0,13,8,10,2,2,4,1,1,1,0,5,7,41.7,FW,829aa60c
183,Amin Sarr,41.7,1907,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,1907,21.2,25,7,4,4,1,5,4,0,0,0,65,91,41.7,FW,d5326924
184,Nikola Krstović,41.6,3057,2024-2025,24,me MNE,Lecce,it Serie A,37,3057,34.0,37,0,0,11,5,16,9,2,3,1,91,128,41.6,FW,473803c9
185,Jon Guridi,41.6,2080,2024-2025,29,es ESP,Alavés,es La Liga,33,2080,23.1,27,6,3,3,1,4,2,1,1,0,47,66,41.6,MFFW,4c0a6a48
186,Mamadou Sylla,41.4,1583,2024-2025,30,sn SEN,Valladolid,es La Liga,29,1583,17.6,17,12,6,5,1,6,1,4,4,0,41,58,41.4,FWMF,e5ec95f8
187,Robin Hack,41.3,2172,2024-2025,25,de GER,Gladbach,de Bundesliga,33,2172,24.1,27,6,1,4,7,11,4,0,0,0,19,27,41.3,FWMF,0174ba21
188,Abde Ezzalzouli,41.3,1984,2024-2025,22,ma MAR,Betis,es La Liga,32,1984,22.0,23,9,1,2,2,4,2,0,1,1,26,37,41.3,FWMF,bed68338
189,Álvaro Morata,41.2,1099,2024-2025,31,es ESP,Milan,it Serie A,16,1099,12.2,13,3,0,5,0,5,5,0,0,0,14,20,41.2,FWMF,129af0db
190,Artem Dovbyk,41.2,2418,2024-2025,27,ua UKR,Roma,it Serie A,32,2418,26.9,27,5,3,12,2,14,10,2,2,0,42,60,41.2,FW,5b847bb0
191,Arthur Atta,41.2,1251,2024-2025,21,fr FRA,Udinese,it Serie A,27,1251,13.9,12,15,3,0,1,1,0,0,0,0,14,20,41.2,MFFW,d3ddf88b
192,Khvicha Kvaratskhelia,41.2,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,2094,23.3,26,5,2,9,6,15,8,1,1,0,7,10,41.2,FWMF,dea88efd
193,Jens Odgaard,41.0,1952,2024-2025,25,dk DEN,Bologna,it Serie A,29,1952,21.7,24,5,3,6,1,7,6,0,0,0,43,62,41.0,MFFW,75374ee7
194,Aleksandr Golovin,40.9,1153,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1153,12.8,13,6,2,3,0,3,3,0,0,0,9,13,40.9,MFFW,3708e9fa
195,Karim Adeyemi,40.9,1433,2024-2025,22,de GER,Dortmund,de Bundesliga,25,1433,15.9,17,8,0,7,6,13,7,0,0,0,9,13,40.9,FWMF,501055d8
196,Alejandro Jiménez,40.9,1266,2024-2025,19,es ESP,Milan,it Serie A,22,1266,14.1,14,8,6,0,1,1,0,0,0,0,9,13,40.9,DFFW,faa13947
197,Kingsley Coman,40.7,1282,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,1282,14.2,14,14,0,5,4,9,5,0,0,0,11,16,40.7,FW,042e8a49
198,Diogo Jota,40.7,1196,2024-2025,27,pt POR,Liverpool,eng Premier League,26,1196,13.3,14,12,3,6,3,9,6,0,0,0,22,32,40.7,FW,178ae8f8
199,Joshua King,40.7,1673,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1673,18.6,21,7,0,6,3,9,6,0,0,0,35,51,40.7,FWMF,43458538
200,Eldor Shomurodov,40.6,1097,2024-2025,29,uz UZB,Roma,it Serie A,27,1097,12.2,11,16,10,4,4,8,4,0,0,0,26,38,40.6,FWMF,57469b2d
201,Luis Rioja,40.5,2854,2024-2025,30,es ESP,2 Teams,es La Liga,37,2854,31.7,33,4,0,5,3,8,3,2,2,0,15,22,40.5,FW,eb3dd471
202,Evanilson,40.4,2319,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,2319,25.8,28,3,1,10,1,11,10,0,1,1,42,62,40.4,FW,6f3cc2fe
203,Deniz Undav,40.4,1726,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1726,19.2,20,7,0,9,3,12,9,0,0,0,21,31,40.4,FWMF,dd549382
204,Jørgen Strand Larsen,40.1,2587,2024-2025,24,no NOR,Wolves,eng Premier League,35,2587,28.7,30,5,0,14,4,18,14,0,0,0,67,100,40.1,FW,f553b2b3
205,Romain Del Castillo,40.0,1259,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,1259,14.0,14,12,0,6,4,10,3,3,4,1,8,12,40.0,FW,0be95d34
206,Leon Bailey,40.0,1139,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1139,12.7,14,10,5,1,2,3,1,0,0,0,6,9,40.0,FWMF,3a233281
207,Kylian Mbappé,40.0,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2907,32.3,34,0,0,31,3,34,24,7,9,2,4,6,40.0,FW,42fd9c7f
208,Andrea Colpani,40.0,1450,2024-2025,25,it ITA,Fiorentina,it Serie A,25,1450,16.1,18,7,2,2,1,3,2,0,0,0,10,15,40.0,FWMF,6499048c
209,Dan Ndoye,40.0,2143,2024-2025,23,ch SUI,Bologna,it Serie A,30,2143,23.8,26,4,1,8,4,12,6,2,2,0,14,21,40.0,FW,8e697a8f
210,Amad Diallo,40.0,1901,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1901,21.1,20,6,2,8,6,14,8,0,0,0,10,15,40.0,MFFW,9dc96f10
211,Emanuel Emegha,40.0,2293,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,2293,25.5,27,0,0,14,3,17,14,0,0,0,26,39,40.0,FW,a0c590b9
212,Ousmane Dembélé,40.0,1730,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1730,19.2,20,9,1,21,6,27,20,1,1,0,4,6,40.0,FW,b19db005
213,Paul Wanner,40.0,1771,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1771,19.7,20,9,4,3,2,5,2,1,1,0,12,18,40.0,MFFW,cb64672e
214,Elif Elmas,40.0,1021,2024-2025,24,mk MKD,Torino,it Serie A,13,1021,11.3,12,1,1,4,0,4,4,0,0,0,2,3,40.0,FWMF,cf007308
215,Dejan Kulusevski,40.0,2389,2024-2025,24,se SWE,Tottenham,eng Premier League,32,2389,26.5,27,5,0,7,4,11,7,0,0,0,10,15,40.0,MFFW,df3cda47
216,Chris Wood,39.7,2959,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,2959,32.9,35,1,0,20,3,23,17,3,3,0,94,143,39.7,FW,4e9a0555
217,Anuar,39.7,1720,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1720,19.1,21,5,2,2,0,2,2,0,0,0,23,35,39.7,MFFW,c93231dc
218,Thomas Müller,39.6,1225,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,1225,13.6,12,18,4,1,4,5,1,0,0,0,19,29,39.6,MFFW,3c6089ab
219,Marvin Ducksch,39.6,2418,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2418,26.9,30,2,0,8,8,16,7,1,2,1,19,29,39.6,FW,638a4d71
220,Cody Gakpo,39.5,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1935,21.5,23,12,0,10,4,14,10,0,0,0,17,26,39.5,FW,1971591f
221,Himad Abdelli,39.4,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,2842,31.6,32,0,0,6,1,7,3,3,4,1,13,20,39.4,MFFW,7978cbf0
222,Anthony Elanga,39.3,2501,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2501,27.8,31,7,0,6,11,17,6,0,0,0,24,37,39.3,FWMF,2fba6108
223,Nico Williams,39.3,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,1996,22.2,22,7,0,5,5,10,5,0,0,0,11,17,39.3,FW,afdc14d7
224,Alex Sola,39.1,1029,2024-2025,25,es ESP,Getafe,es La Liga,19,1029,11.4,13,6,16,0,1,1,0,0,0,0,18,28,39.1,MFFW,5fa714d5
225,Shuto Machino,39.1,1953,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1953,21.7,23,9,2,11,2,13,9,2,2,0,27,42,39.1,FWMF,964dde35
226,Marius Bülter,39.1,1729,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1729,19.2,22,3,0,7,2,9,7,0,0,0,18,28,39.1,FWDF,ab5b7dc1
227,Mohamed Salah,39.1,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,3371,37.5,38,0,0,29,18,47,20,9,9,0,9,14,39.1,FW,e342ad68
228,Valentino Lazaro,39.0,2307,2024-2025,28,at AUT,Torino,it Serie A,33,2307,25.6,26,7,1,0,6,6,0,0,0,0,16,25,39.0,DFFW,016ff750
229,Arda Güler,38.9,1250,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1250,13.9,14,14,10,3,4,7,3,0,0,0,7,11,38.9,MFFW,3741ca58
230,Julio Enciso,38.9,1163,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1163,12.9,14,11,7,2,3,5,2,0,0,0,14,22,38.9,MFFW,9cfbad36
231,Randal Kolo Muani,38.8,1518,2024-2025,25,fr FRA,2 Teams,2 Comps,26,1518,16.9,15,11,4,10,2,12,8,2,2,0,19,30,38.8,FW,c0b3669f
232,Takumi Minamino,38.8,2231,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2231,24.8,27,4,0,6,3,9,6,0,0,0,19,30,38.8,MFFW,f833a830
233,Adrià Altimira,38.7,1630,2024-2025,23,es ESP,Leganés,es La Liga,22,1630,18.1,19,3,14,0,0,0,0,0,0,0,12,19,38.7,DFFW,757a3431
234,Arnaud Nordin,38.7,1166,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,1166,13.0,14,2,0,4,1,5,3,1,2,1,12,19,38.7,FW,7b9a9e25
235,Emmanuel Gyasi,38.7,3217,2024-2025,30,gh GHA,Empoli,it Serie A,37,3217,35.7,37,0,0,2,1,3,2,0,0,0,43,68,38.7,DFFW,f9758dae
236,Roberto Férnandez,38.6,1497,2024-2025,22,es ESP,Espanyol,es La Liga,19,1497,16.6,18,1,0,6,0,6,6,0,0,0,34,54,38.6,FW,c981fc98
237,Chris Führich,38.5,1981,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1981,22.0,23,10,0,2,3,5,2,0,0,0,5,8,38.5,MFFW,0cf778df
238,Jorge de Frutos,38.5,2495,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2495,27.7,30,6,0,6,3,9,6,0,0,0,15,24,38.5,FWMF,38ce1150
239,Mika Biereth,38.3,1228,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1228,13.6,16,0,1,13,2,15,12,1,2,1,18,29,38.3,FW,a1d95db3
240,Derrick Köhn,38.1,1343,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,1343,14.9,14,13,4,2,2,4,2,0,0,0,8,13,38.1,DFFW,b735b590
241,Loïs Openda,38.0,2453,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2453,27.3,28,5,0,9,5,14,9,0,1,1,19,31,38.0,FWMF,8652a85c
242,Alexis Claude-Maurice,37.8,2109,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,2109,23.4,25,3,3,9,2,11,9,0,0,0,14,23,37.8,MFFW,741418c3
243,Junya Ito,37.8,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2690,29.9,31,2,0,4,3,7,4,0,0,0,17,28,37.8,FWMF,dbd3a428
244,Darwin Núñez,37.7,1133,2024-2025,25,uy URU,Liverpool,eng Premier League,30,1133,12.6,8,22,5,5,2,7,5,0,0,0,20,33,37.7,FW,4d77b365
245,Lucas Beltrán,37.6,1953,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1953,21.7,21,12,4,5,4,9,3,2,3,1,32,53,37.6,FWMF,482d2bc3
246,Pontus Almqvist,37.5,1112,2024-2025,25,se SWE,Parma,it Serie A,29,1112,12.4,10,19,7,1,1,2,1,0,0,0,9,15,37.5,FWMF,0917188a
247,Stephy Mavididi,37.5,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1615,17.9,16,14,3,4,1,5,4,0,0,0,9,15,37.5,FW,30144daa
248,Angelo Fulgini,37.5,1045,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1045,11.6,11,12,6,1,1,2,1,0,0,0,9,15,37.5,MFFW,4b96c347
249,Assane Diao,37.5,1529,2024-2025,18,sn SEN,2 Teams,2 Comps,25,1529,17.0,16,9,8,9,3,12,9,0,0,0,24,40,37.5,FWMF,8ae7d0ec
250,John Yeboah,37.5,1226,2024-2025,24,ec ECU,Venezia,it Serie A,33,1226,13.6,11,22,0,1,1,2,1,0,0,0,6,10,37.5,FWMF,8dfdc6c3
251,Marvin Pieringer,37.1,2206,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2206,24.5,26,5,0,7,4,11,4,3,3,0,73,124,37.1,FWMF,11407d95
252,Eliesse Ben Seghir,37.1,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1750,19.4,19,14,1,6,3,9,4,2,2,0,13,22,37.1,MFFW,3bd65247
253,Jean-Philippe Mateta,37.1,2648,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,2648,29.4,33,4,0,14,2,16,12,2,2,0,63,107,37.1,FW,50e6dc35
254,André Ayew,37.0,1453,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,1453,16.1,15,12,0,4,1,5,4,0,0,0,37,63,37.0,FW,5dbefa9d
255,Marvin,37.0,1038,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1038,11.5,9,14,1,0,0,0,0,0,0,0,10,17,37.0,DFFW,efaefda0
256,Hugo Duro,36.9,2166,2024-2025,24,es ESP,Valencia,es La Liga,31,2166,24.1,25,6,2,11,2,13,10,1,1,0,59,101,36.9,FW,37e103f8
257,Nicolas Jackson,36.8,2220,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,2220,24.7,28,2,1,10,5,15,10,0,0,0,21,36,36.8,FW,9c36ed83
258,Takefusa Kubo,36.7,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2372,26.4,27,9,1,5,0,5,5,0,0,0,11,19,36.7,MFFW,16aa3654
259,Noni Madueke,36.7,2033,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2033,22.6,27,5,1,7,3,10,7,0,0,0,11,19,36.7,FW,bf34eebd
260,Zakaria Aboukhlal,36.7,1901,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1901,21.1,22,4,0,7,2,9,6,1,2,1,22,38,36.7,MFFW,c2a6033c
261,Che Adams,36.7,2652,2024-2025,28,sct SCO,Torino,it Serie A,36,2652,29.5,30,6,1,9,3,12,9,0,1,1,36,62,36.7,FW,f2bf1b0f
262,Neal Maupay,36.4,1042,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1042,11.6,13,9,11,4,4,8,4,0,0,0,8,14,36.4,FWMF,4bcf39f6
263,Yunus Musah,36.4,1571,2024-2025,21,us USA,Milan,it Serie A,29,1571,17.5,19,10,5,0,2,2,0,0,0,0,8,14,36.4,MFFW,b51b1b9c
264,Isaac Romero,36.3,2156,2024-2025,24,es ESP,Sevilla,es La Liga,31,2156,24.0,26,5,1,4,2,6,4,0,1,1,29,51,36.3,FW,be719093
265,Carlos Vicente,36.2,3092,2024-2025,25,es ESP,Alavés,es La Liga,37,3092,34.4,35,2,1,5,5,10,4,1,1,0,34,60,36.2,FWMF,90df343e
266,Félix Lemaréchal,35.9,1779,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1779,19.8,20,7,5,4,3,7,4,0,0,0,14,25,35.9,MFFW,8ca9415f
267,Alexander Bernhardsson,35.8,1263,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,1263,14.0,15,4,1,7,2,9,7,0,0,0,19,34,35.8,FWMF,dea1d183
268,Adam Armstrong,35.7,1248,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1248,13.9,15,5,4,2,2,4,2,0,1,1,5,9,35.7,FWMF,68c720b5
269,Yann Karamoh,35.7,1046,2024-2025,26,fr FRA,Torino,it Serie A,29,1046,11.6,10,19,7,0,1,1,0,0,0,0,5,9,35.7,MFFW,8b66d9cc
270,Ferrán Torres,35.7,1106,2024-2025,24,es ESP,Barcelona,es La Liga,27,1106,12.3,12,15,2,10,6,16,10,0,0,0,5,9,35.7,FWMF,9e1035f8
271,Roberto Navarro,35.7,1278,2024-2025,22,es ESP,Mallorca,es La Liga,23,1278,14.2,15,8,2,1,0,1,1,0,0,0,5,9,35.7,MFFW,c997b942
272,Eddie Nketiah,35.6,1034,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,1034,11.5,9,20,4,3,1,4,3,0,0,0,21,38,35.6,FW,a53649b7
273,Mahdi Camara,35.4,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2659,29.5,31,3,0,5,3,8,5,0,0,0,17,31,35.4,MFFW,8577e60a
274,Andrea Cambiaso,35.3,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,2221,24.7,25,8,0,2,3,5,2,0,0,0,6,11,35.3,DFFW,247ed022
275,Jadon Sancho,35.3,1764,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,1764,19.6,19,12,1,3,4,7,3,0,0,0,6,11,35.3,FW,dbf053da
276,Georginio Rutter,35.2,1656,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1656,18.4,19,9,0,5,3,8,5,0,0,0,25,46,35.2,MFFW,c64c01fc
277,Santiago Castro,35.2,2294,2024-2025,19,ar ARG,Bologna,it Serie A,36,2294,25.5,27,9,1,8,4,12,8,0,1,1,37,68,35.2,FW,ee5565ae
278,Gustav Isaksen,35.1,2210,2024-2025,23,dk DEN,Lazio,it Serie A,37,2210,24.6,29,8,0,4,2,6,4,0,0,0,13,24,35.1,FW,5715bb71
279,Álex Berenguer,35.1,2339,2024-2025,29,es ESP,Athletic Club,es La Liga,36,2339,26.0,28,8,1,6,7,13,6,0,1,1,27,50,35.1,FWMF,dc1c2fce
280,Jacob Ramsey,35.0,1623,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1623,18.0,19,10,0,1,3,4,1,0,0,0,7,13,35.0,FWMF,1544f145
281,Federico Dimarco,35.0,2177,2024-2025,26,it ITA,Inter,it Serie A,33,2177,24.2,29,4,2,4,7,11,4,0,0,0,7,13,35.0,DFFW,970b8574
282,Aitor Ruibal,35.0,1313,2024-2025,28,es ESP,Betis,es La Liga,29,1313,14.6,13,16,2,1,3,4,1,0,0,0,7,13,35.0,DFFW,a55d8df5
283,Williot Swedberg,34.8,1348,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,1348,15.0,15,17,1,4,5,9,4,0,0,0,8,15,34.8,FWMF,184fe4b2
284,Danny Welbeck,34.7,2115,2024-2025,33,eng ENG,Brighton,eng Premier League,30,2115,23.5,24,6,0,10,4,14,9,1,1,0,17,32,34.7,FW,ce5143da
285,Dennis Man,34.6,1995,2024-2025,25,ro ROU,Parma,it Serie A,33,1995,22.2,23,10,2,4,4,8,4,0,0,0,9,17,34.6,FWMF,2079b3cc
286,Jean-Ricner Bellegarde,34.5,1677,2024-2025,26,fr FRA,Wolves,eng Premier League,35,1677,18.6,20,15,2,2,7,9,2,0,0,0,10,19,34.5,MFFW,10f0fdd3
287,Musa Al-Taamari,34.5,1683,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,1683,18.7,19,7,0,3,1,4,3,0,0,0,10,19,34.5,FWMF,f15f8b2b
288,Anastasios Douvikas,34.4,1280,2024-2025,24,gr GRE,2 Teams,2 Comps,33,1280,14.2,12,21,3,5,3,8,5,0,0,0,22,42,34.4,FW,853ca71c
289,Gorka Guruzeta,34.3,1840,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1840,20.4,21,15,1,7,2,9,7,0,0,0,36,69,34.3,FW,6b5ea2f4
290,Jeong Woo-yeong,34.1,1263,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1263,14.0,17,6,0,3,2,5,3,0,0,0,14,27,34.1,MFFW,6190474d
291,Borja Iglesias,34.1,1952,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,1952,21.7,24,13,1,11,3,14,11,0,0,0,14,27,34.1,FW,75645f0e
292,Lucas Stassin,34.1,1887,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1887,21.0,23,5,0,12,4,16,12,0,0,0,15,29,34.1,FW,a47d6f3a
293,Diego,34.1,1195,2024-2025,24,es ESP,Leganés,es La Liga,28,1195,13.3,13,15,6,3,0,3,3,0,0,0,43,83,34.1,FW,b85a5126
294,Vitor Roque,34.1,1235,2024-2025,19,br BRA,Betis,es La Liga,22,1235,13.7,14,8,0,4,0,4,4,0,0,0,15,29,34.1,FW,cb00f1e6
295,Óscar Rodríguez Arnaiz,33.3,1330,2024-2025,26,es ESP,Leganés,es La Liga,29,1330,14.8,12,17,5,1,4,5,1,0,0,0,12,24,33.3,MFFW,19709006
296,Ander Barrenetxea,33.3,1263,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1263,14.0,14,16,3,1,3,4,1,0,0,0,7,14,33.3,MFFW,200e89e1
