,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
200,Raúl Jiménez,458,2515,2024-2025,33,mx MEX,Fulham,eng Premier League,38,2515,27.9,30,8,0,12,3,15,9,3,3,0,458,643,71.2,24,41,14,3,62,6916,1618,265,326,81.3,138,188,73.4,33,55,60.0,FW,b561db50
201,Serhou Guirassy,456,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2603,28.9,29,1,0,21,4,25,18,3,4,1,456,627,72.7,25,28,14,0,43,5726,933,305,375,81.3,105,147,71.4,16,23,69.6,FW,923f4dda
202,Jorge de Frutos,455,2518,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2518,28.0,30,6,0,6,3,9,6,0,0,0,455,666,68.3,31,22,28,13,44,6332,1601,282,348,81.0,127,187,67.9,22,47,46.8,FWMF,38ce1150
203,Shuto Machino,454,1967,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1967,21.9,23,9,2,11,2,13,9,2,2,0,454,707,64.2,27,35,20,6,59,8004,2740,212,266,79.7,180,247,72.9,52,137,38.0,FWMF,964dde35
204,Carles Aleñá,452,1555,2024-2025,26,es ESP,2 Teams,es La Liga,24,1555,17.3,18,6,8,0,2,2,0,0,0,0,452,589,76.7,22,44,17,3,70,6889,1799,241,276,87.3,160,199,80.4,31,59,52.5,MFFW,6c811eb7
205,Alejandro Jiménez,452,1274,2024-2025,19,es ESP,Milan,it Serie A,22,1274,14.2,14,8,6,0,1,1,0,0,0,0,452,564,80.1,12,33,12,5,37,7535,1817,222,257,86.4,191,225,84.9,33,52,63.5,DFFW,faa13947
206,Mikel Merino,451,1591,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1591,17.7,17,11,0,7,2,9,7,0,0,0,451,577,78.2,17,40,24,4,69,6182,1776,285,328,86.9,128,165,77.6,17,31,54.8,MFFW,d080ed5e
207,Yoane Wissa,450,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,2930,32.6,34,1,0,19,4,23,19,0,0,0,450,588,76.5,27,44,13,1,67,6490,1617,284,331,85.8,124,166,74.7,28,49,57.1,FW,2500cef9
208,Brennan Johnson,449,2185,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,2185,24.3,24,9,2,11,3,14,11,0,0,0,449,638,70.4,19,25,35,6,71,5932,1611,274,341,80.4,144,191,75.4,11,34,32.4,FW,0cd31129
209,Sebastiano Esposito,445,2350,2024-2025,22,it ITA,Empoli,it Serie A,33,2350,26.1,27,6,1,8,0,8,7,1,2,1,445,739,60.2,36,57,31,5,93,6868,2707,228,310,73.5,134,209,64.1,47,105,44.8,FWMF,7ff93107
210,Benedict Hollerbach,441,2559,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2559,28.4,30,4,0,9,1,10,9,0,0,0,441,674,65.4,26,24,22,3,68,6054,1428,265,333,79.6,119,169,70.4,27,56,48.2,FWMF,2a158218
211,Alieu Fadera,441,1656,2024-2025,22,gm GAM,Como,it Serie A,28,1656,18.4,20,8,6,1,3,4,1,0,0,0,441,591,74.6,23,14,24,5,36,6233,1638,251,286,87.8,141,193,73.1,23,42,54.8,FWDF,53210e42
212,Philipp Hofmann,441,2291,2024-2025,31,de GER,Bochum,de Bundesliga,32,2291,25.5,27,5,0,3,3,6,3,0,0,0,441,694,63.5,26,40,9,0,53,6603,1417,239,332,72.0,156,253,61.7,23,44,52.3,FW,877bc844
213,Mateo Retegui,440,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,2408,26.8,32,4,0,25,8,33,21,4,5,1,440,575,76.5,38,29,9,1,46,6210,971,264,314,84.1,135,168,80.4,22,34,64.7,FW,e7695e6c
214,Sandro Ramírez,438,2052,2024-2025,29,es ESP,Las Palmas,es La Liga,31,2052,22.8,25,6,1,9,3,12,8,1,1,0,438,682,64.2,28,33,10,3,52,7317,2293,206,270,76.3,174,236,73.7,39,107,36.4,FWMF,833fb62e
215,Facundo Buonanotte,437,1530,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1530,17.0,14,17,3,5,2,7,5,0,0,0,437,572,76.4,24,41,13,2,54,6930,1757,236,276,85.5,150,182,82.4,35,74,47.3,FWMF,468a7a91
216,Sofiane Diop,436,1070,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,1070,11.9,8,20,1,6,4,10,6,0,0,0,436,565,77.2,24,47,19,1,64,6822,2216,243,294,82.7,149,182,81.9,27,54,50.0,MFFW,19053e31
217,Dani Raba,435,1895,2024-2025,28,es ESP,Leganés,es La Liga,29,1895,21.1,24,5,5,8,6,14,4,4,5,1,435,648,67.1,47,50,24,4,69,7619,2499,197,239,82.4,167,228,73.2,54,132,40.9,FWMF,ea6a7ab4
218,Nikola Krstović,434,3070,2024-2025,24,me MNE,Lecce,it Serie A,37,3070,34.1,37,0,0,11,5,16,9,2,3,1,434,654,66.4,30,38,15,1,56,6532,1347,240,339,70.8,154,204,75.5,26,46,56.5,FW,473803c9
219,Jonas Wind,432,1978,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,1978,22.0,21,10,2,9,3,12,8,1,2,1,432,612,70.6,34,66,24,0,100,6257,2209,260,347,74.9,129,172,75.0,23,35,65.7,FWMF,2077ae86
220,Ange-Yoan Bonny,431,2551,2024-2025,20,fr FRA,Parma,it Serie A,37,2551,28.3,30,7,0,6,4,10,4,2,3,1,431,573,75.2,30,31,15,2,53,6282,1251,224,278,80.6,139,171,81.3,29,41,70.7,FW,64629ba4
221,Deniz Undav,431,1735,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1735,19.3,20,7,0,9,3,12,9,0,0,0,431,589,73.2,26,38,27,2,70,6294,1741,254,311,81.7,135,182,74.2,26,46,56.5,FWMF,dd549382
222,Jamie Gittens,427,1793,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1793,19.9,21,11,2,8,3,11,8,0,0,0,427,558,76.5,21,17,24,4,42,5844,1011,278,318,87.4,111,144,77.1,19,38,50.0,FWMF,10745192
223,Francisco Conceição,427,1347,2024-2025,21,pt POR,Juventus,it Serie A,26,1347,15.0,12,14,2,3,3,6,3,0,0,0,427,545,78.3,28,16,20,10,35,7032,1122,220,262,84.0,167,190,87.9,30,56,53.6,FWMF,5ef3d210
224,Patrick Wimmer,427,1787,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1787,19.9,22,7,0,3,4,7,3,0,0,0,427,650,65.7,24,55,23,4,91,7363,2757,216,299,72.2,152,207,73.4,48,84,57.1,MFFW,cb11b429
225,Khalil Fayad,426,1034,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,1034,11.5,10,10,1,0,0,0,0,0,0,0,426,514,82.9,7,35,5,2,50,7173,1757,205,226,90.7,169,196,86.2,38,60,63.3,MFFW,faf00ab8
226,Riccardo Orsolini,425,1892,2024-2025,27,it ITA,Bologna,it Serie A,30,1892,21.0,23,7,3,15,4,19,12,3,3,0,425,646,65.8,30,34,29,11,69,7551,2206,196,240,81.7,169,257,65.8,48,91,52.7,FW,e14ec482
227,Adama Traoré,424,1786,2024-2025,28,es ESP,Fulham,eng Premier League,36,1786,19.8,18,18,1,2,7,9,2,0,0,0,424,587,72.2,42,36,38,22,68,6645,1683,236,286,82.5,143,194,73.7,30,54,55.6,FWMF,9a28eba4
228,Fabio Miretti,422,1696,2024-2025,20,it ITA,Genoa,it Serie A,25,1696,18.8,22,3,2,3,3,6,3,0,0,0,422,567,74.4,22,24,13,2,54,7280,2006,206,234,88.0,155,189,82.0,43,97,44.3,MFFW,34693494
229,Iván Sánchez,422,1413,2024-2025,31,es ESP,Valladolid,es La Liga,32,1413,15.7,11,21,6,2,1,3,2,0,0,0,422,591,71.4,24,52,23,15,77,7754,2475,195,219,89.0,151,206,73.3,63,129,48.8,MFFW,70107d4d
230,Evann Guessand,421,2578,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,2578,28.6,30,3,1,12,8,20,12,0,0,0,421,574,73.3,32,46,27,4,79,5792,1599,257,322,79.8,141,183,77.0,10,19,52.6,FWMF,b73f17f8
231,David Neres,420,1294,2024-2025,27,br BRA,Napoli,it Serie A,28,1294,14.4,13,15,1,2,4,6,2,0,0,0,420,555,75.7,26,23,21,14,32,6127,1548,230,257,89.5,142,179,79.3,23,59,39.0,FW,4f1e6a0b
232,Andrea Pinamonti,419,2863,2024-2025,25,it ITA,Genoa,it Serie A,36,2863,31.8,33,3,1,10,1,11,10,0,1,1,419,667,62.8,15,24,9,3,46,6023,1027,227,315,72.1,141,220,64.1,21,39,53.8,FW,08aa9cd1
233,Danny Welbeck,417,2128,2024-2025,33,eng ENG,Brighton,eng Premier League,30,2128,23.6,24,6,0,10,4,14,9,1,1,0,417,491,84.9,23,18,14,0,47,4936,1008,277,316,87.7,91,105,86.7,11,12,91.7,FW,ce5143da
234,Benjamin Šeško,415,2400,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,2400,26.7,30,3,0,13,5,18,11,2,2,0,415,614,67.6,19,25,9,0,46,5132,1145,268,356,75.3,94,144,65.3,13,21,61.9,FWMF,3260690c
235,Albert Guðmundsson,415,1285,2024-2025,27,is ISL,Fiorentina,it Serie A,24,1285,14.3,16,8,3,6,1,7,4,2,2,0,415,500,83.0,15,34,2,0,37,5921,1164,226,243,93.0,147,175,84.0,14,32,43.8,FWMF,b79858d5
236,Jack Harrison,414,2091,2024-2025,27,eng ENG,Everton,eng Premier League,34,2091,23.2,24,10,4,1,0,1,1,0,0,0,414,659,62.8,33,28,25,11,51,6596,2477,239,295,81.0,122,182,67.0,36,108,33.3,FW,aa849a12
237,Che Adams,414,2662,2024-2025,28,sct SCO,Torino,it Serie A,36,2662,29.6,30,6,1,9,3,12,9,0,1,1,414,557,74.3,26,32,7,0,40,6531,1184,221,283,78.1,134,168,79.8,37,53,69.8,FW,f2bf1b0f
238,Marcus Thuram,412,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,2304,25.6,27,5,3,14,4,18,14,0,0,0,412,559,73.7,39,24,27,4,53,5263,1082,249,325,76.6,110,139,79.1,15,23,65.2,FW,6f8cd6d0
239,Dany Mota,412,2118,2024-2025,26,pt POR,Monza,it Serie A,31,2118,23.5,24,7,0,5,2,7,5,0,0,0,412,569,72.4,22,27,19,6,47,6464,1039,225,284,79.2,144,184,78.3,27,42,64.3,FWMF,efc9e31f
240,Anuar,411,1732,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1732,19.2,21,5,2,2,0,2,2,0,0,0,411,505,81.4,7,19,3,2,30,6137,1132,217,249,87.1,158,191,82.7,17,31,54.8,MFFW,c93231dc
241,Josué Casimir,410,2010,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,2010,22.3,23,4,0,4,4,8,4,0,0,0,410,597,68.7,26,22,13,7,41,6606,1453,225,263,85.6,145,212,68.4,34,75,45.3,FWMF,481f76cf
242,Jamie Leweling,409,1682,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1682,18.7,22,5,0,2,2,4,2,0,0,0,409,580,70.5,25,25,26,9,51,5858,1400,251,302,83.1,137,180,76.1,14,47,29.8,MFFW,13fe7b69
243,Jordan Ayew,409,1674,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1674,18.6,19,12,6,5,0,5,4,1,1,0,409,550,74.4,17,25,14,7,46,6109,1220,222,255,87.1,142,189,75.1,25,60,41.7,FWMF,da052c14
244,Franck Honorat,409,1456,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,1456,16.2,18,1,1,4,7,11,4,0,0,0,409,606,67.5,50,24,26,17,45,6591,2419,218,258,84.5,131,196,66.8,45,101,44.6,FW,db7849ca
245,Kai Havertz,407,1878,2024-2025,25,de GER,Arsenal,eng Premier League,23,1878,20.9,21,2,1,9,3,12,9,0,0,0,407,519,78.4,17,27,9,1,61,4905,1033,286,340,84.1,95,115,82.6,5,11,45.5,FWMF,fed7cb61
246,Johannes Eggestein,404,1872,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1872,20.8,22,5,5,3,4,7,2,1,2,1,404,547,73.9,24,25,9,2,43,5609,1043,221,273,81.0,124,154,80.5,22,39,56.4,FW,d571df78
247,Adama Boiro,401,1109,2024-2025,22,es ESP,Athletic Club,es La Liga,18,1109,12.3,13,5,18,0,0,0,0,0,0,0,401,502,79.9,5,44,8,4,46,6196,1937,216,239,90.4,170,216,78.7,11,29,37.9,DFFW,e7992f7b
248,Óscar Rodríguez Arnaiz,400,1335,2024-2025,26,es ESP,Leganés,es La Liga,29,1335,14.8,12,17,5,1,4,5,1,0,0,0,400,555,72.1,19,31,21,7,60,6923,2124,193,227,85.0,139,189,73.5,51,96,53.1,MFFW,19709006
249,Marius Bülter,394,1742,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1742,19.4,22,3,0,7,2,9,7,0,0,0,394,586,67.2,22,30,25,12,35,6403,1684,204,257,79.4,146,205,71.2,32,77,41.6,FWDF,ab5b7dc1
250,Alexandre Lacazette,393,2067,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2067,23.0,24,6,0,15,2,17,10,5,6,1,393,547,71.8,26,34,25,4,66,5201,1351,250,314,79.6,93,134,69.4,19,35,54.3,FW,9dbb75ca
251,Lilian Raolisoa,392,1326,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1326,14.7,14,15,1,0,3,3,0,0,0,0,392,564,69.5,14,31,16,8,47,6526,2904,187,215,87.0,158,215,73.5,34,84,40.5,DFFW,79a793b7
252,Danel Sinani,390,1263,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1263,14.0,14,12,7,2,2,4,2,0,0,0,390,546,71.4,24,45,16,3,60,6196,2012,203,234,86.8,128,165,77.6,39,100,39.0,FWMF,96ddfa79
253,Lucas Höler,390,1880,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1880,20.9,21,10,2,6,4,10,6,0,1,1,390,595,65.5,22,34,9,1,47,4821,957,242,334,72.5,101,154,65.6,7,15,46.7,FWMF,ca618d23
254,Tomáš Suslov,387,2100,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,2100,23.3,27,4,0,0,1,1,0,0,0,0,387,529,73.2,27,40,22,2,82,7405,2018,169,198,85.4,146,181,80.7,63,111,56.8,MFFW,83fe71b8
255,Christantus Uche,387,2502,2024-2025,21,ng NGA,Getafe,es La Liga,33,2502,27.8,30,3,0,4,6,10,4,0,0,0,387,592,65.4,29,37,16,4,49,5080,1266,248,328,75.6,101,157,64.3,12,32,37.5,FWMF,87941696
256,Kiké,384,2559,2024-2025,34,es ESP,Alavés,es La Liga,35,2559,28.4,29,6,2,13,0,13,10,3,3,0,384,588,65.3,13,30,6,1,50,5279,915,232,307,75.6,106,169,62.7,20,45,44.4,FW,e897d8ba
257,Robert Lewandowski,383,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,2684,29.8,32,2,2,27,2,29,24,3,4,1,383,522,73.4,19,31,9,0,48,4856,900,244,297,82.2,91,119,76.5,13,27,48.1,FW,8d78e732
258,Adri Embarba,383,1624,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1624,18.0,18,17,3,1,1,2,1,0,0,0,383,599,63.9,20,23,17,10,45,6104,1485,218,272,80.1,104,156,66.7,43,118,36.4,FWMF,db8f0eba
259,Ridle Baku,381,1176,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,1176,13.1,14,1,0,2,1,3,2,0,0,0,381,514,74.1,13,33,14,6,44,6541,1845,166,203,81.8,173,225,76.9,30,45,66.7,FWMF,442b56fa
260,Jeong Woo-yeong,381,1278,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1278,14.2,17,6,0,3,2,5,3,0,0,0,381,506,75.3,18,30,20,5,63,4914,1386,252,290,86.9,95,132,72.0,10,24,41.7,MFFW,6190474d
261,Jonathan Burkardt,379,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2127,23.6,28,1,0,18,2,20,16,2,2,0,379,523,72.5,20,25,16,4,42,6262,854,197,258,76.4,127,156,81.4,37,52,71.2,FW,05f99a4a
262,Loïs Openda,377,2467,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2467,27.4,28,5,0,9,5,14,9,0,1,1,377,591,63.8,28,24,20,1,47,4849,996,233,321,72.6,86,140,61.4,22,38,57.9,FWMF,8652a85c
263,Andrea Colpani,376,1465,2024-2025,25,it ITA,Fiorentina,it Serie A,25,1465,16.3,18,7,2,2,1,3,2,0,0,0,376,466,80.7,17,19,15,1,57,5907,1206,214,230,93.0,127,159,79.9,26,54,48.1,FWMF,6499048c
264,Ander Barrenetxea,375,1274,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1274,14.2,14,16,3,1,3,4,1,0,0,0,375,529,70.9,16,23,22,4,48,6235,1409,202,241,83.8,118,163,72.4,42,71,59.2,MFFW,200e89e1
265,Jens Odgaard,374,1972,2024-2025,25,dk DEN,Bologna,it Serie A,29,1972,21.9,24,5,3,6,1,7,6,0,0,0,374,500,74.8,16,34,15,3,50,5524,1386,214,242,88.4,127,173,73.4,20,38,52.6,MFFW,75374ee7
266,Antoine Hainaut,372,1211,2024-2025,22,fr FRA,Parma,it Serie A,25,1211,13.5,10,15,12,2,0,2,2,0,0,0,372,496,75.0,9,28,15,8,34,5978,2498,175,217,80.6,148,191,77.5,28,57,49.1,DFFW,6503f220
267,Farid El Melali,372,1911,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1911,21.2,22,10,0,2,3,5,2,0,0,0,372,532,69.9,25,18,14,2,43,5612,1779,218,253,86.2,103,151,68.2,33,82,40.2,FW,d21e361a
268,Mikel Oyarzabal,371,2268,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,2268,25.2,28,7,2,9,3,12,5,4,4,0,371,505,73.5,15,19,10,3,28,4901,837,236,276,85.5,99,133,74.4,11,23,47.8,FW,8c3c640c
269,Marcus Rashford,370,1434,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1434,15.9,16,9,1,6,3,9,5,1,1,0,370,507,73.0,28,15,25,10,34,5280,1315,235,278,84.5,92,132,69.7,23,53,43.4,FWMF,a1d5bd30
270,Marvin,370,1042,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1042,11.6,9,14,1,0,0,0,0,0,0,0,370,502,73.7,6,24,14,10,30,6233,1918,182,208,87.5,147,192,76.6,31,62,50.0,DFFW,efaefda0
271,Dango Ouattara,367,2019,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2019,22.4,21,11,0,7,4,11,7,0,0,0,367,612,60.0,35,21,26,11,43,5725,1706,210,288,72.9,120,193,62.2,25,67,37.3,FW,2f9e4435
272,Valentín Castellanos,366,2395,2024-2025,25,ar ARG,Lazio,it Serie A,29,2395,26.6,28,1,2,10,3,13,8,2,3,1,366,541,67.7,26,48,14,2,66,5170,1247,211,278,75.9,119,172,69.2,16,28,57.1,FW,da76bab4
273,Marvin Pieringer,363,2225,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2225,24.7,26,5,0,7,4,11,4,3,3,0,363,552,65.8,30,36,12,1,59,4923,1299,218,288,75.7,102,157,65.0,16,35,45.7,FWMF,11407d95
274,Jim Allevinah,363,1771,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,1771,19.7,23,5,0,1,3,4,1,0,0,0,363,483,75.2,15,28,13,3,48,5265,1271,219,256,85.5,111,157,70.7,19,31,61.3,FW,1956b948
275,Morgan Guilavogui,362,1821,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1821,20.2,21,4,0,6,2,8,6,0,0,0,362,549,65.9,27,29,10,3,41,4657,1289,236,307,76.9,88,140,62.9,14,35,40.0,FWMF,79b51257
276,Sorba Thomas,360,1335,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,1335,14.8,15,10,4,1,3,4,1,0,0,0,360,550,65.5,36,27,24,17,34,6320,2228,178,217,82.0,122,173,70.5,48,127,37.8,FWMF,8725a42e
277,Ernest Nuamah,358,1062,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,1062,11.8,13,10,1,3,1,4,3,0,0,0,358,448,79.9,18,11,17,4,33,5021,917,229,252,90.9,94,121,77.7,20,30,66.7,FWMF,234a703c
278,Bryan Zaragoza,358,1856,2024-2025,23,es ESP,Osasuna,es La Liga,27,1856,20.6,22,5,1,1,6,7,1,0,0,0,358,554,64.6,36,23,34,20,50,6526,1835,160,203,78.8,137,205,66.8,51,103,49.5,FWMF,a96103b2
279,Roberto Navarro,357,1293,2024-2025,22,es ESP,Mallorca,es La Liga,23,1293,14.4,15,8,2,1,0,1,1,0,0,0,357,473,75.5,13,27,14,3,51,5122,1424,222,258,86.0,106,141,75.2,19,37,51.4,MFFW,c997b942
280,Irvin Cardona,355,1683,2024-2025,26,fr FRA,2 Teams,2 Comps,31,1683,18.7,18,13,2,6,4,10,6,0,1,1,355,542,65.5,24,20,27,7,47,4947,1285,210,261,80.5,103,165,62.4,21,51,41.2,FWMF,5e080f73
281,Santiago Castro,354,2310,2024-2025,19,ar ARG,Bologna,it Serie A,36,2310,25.7,27,9,1,8,4,12,8,0,1,1,354,461,76.8,28,23,8,0,39,6386,993,145,179,81.0,149,176,84.7,40,54,74.1,FW,ee5565ae
282,Romelu Lukaku,353,2872,2024-2025,31,be BEL,Napoli,it Serie A,36,2872,31.9,35,1,0,14,10,24,11,3,4,1,353,497,71.0,35,15,11,1,36,4407,659,215,272,79.0,92,128,71.9,11,19,57.9,FW,5eae500a
283,Morten Thorsby,353,1911,2024-2025,28,no NOR,Genoa,it Serie A,30,1911,21.2,22,8,2,0,1,1,0,0,0,0,353,530,66.6,27,45,10,1,58,4602,1701,217,288,75.3,96,149,64.4,12,18,66.7,MFFW,d1b49282
284,Jofre,352,2188,2024-2025,23,es ESP,Espanyol,es La Liga,37,2188,24.3,26,11,0,3,3,6,3,0,0,0,352,525,67.0,24,17,15,9,48,5352,1421,192,236,81.4,125,187,66.8,22,51,43.1,MFFW,030ef8d6
285,Matthis Abline,351,2789,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2789,31.0,33,1,0,9,2,11,8,1,1,0,351,538,65.2,27,23,15,4,48,5145,976,185,256,72.3,119,160,74.4,20,38,52.6,FW,0e46fa2f
286,Lucas Stassin,350,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1900,21.1,23,5,0,12,4,16,12,0,0,0,350,473,74.0,18,13,12,1,35,4654,669,223,269,82.9,90,114,78.9,15,23,65.2,FW,a47d6f3a
287,Adam Hložek,348,1879,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,1879,20.9,22,5,0,8,4,12,8,0,0,0,348,508,68.5,20,37,19,4,68,5351,1301,177,240,73.8,126,168,75.0,23,42,54.8,FWMF,5521f419
288,Yankuba Minteh,348,1855,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1855,20.6,20,12,1,6,4,10,6,0,0,0,348,557,62.5,29,14,36,9,48,5531,1843,200,257,77.8,107,172,62.2,31,67,46.3,FWMF,c3cf087d
289,Borja Iglesias,346,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,1975,21.9,24,13,1,11,3,14,11,0,0,0,346,489,70.8,18,20,9,0,28,4981,820,196,251,78.1,104,133,78.2,20,32,62.5,FW,75645f0e
290,Gaëtan Laborde,346,1846,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,1846,20.5,20,8,0,11,4,15,7,4,4,0,346,497,69.6,27,26,12,2,40,4628,917,210,268,78.4,94,141,66.7,15,30,50.0,FW,7cdda3bf
291,Nick Woltemade,345,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1629,18.1,17,11,5,12,2,14,10,2,3,1,345,489,70.6,37,31,23,0,52,4286,1058,228,284,80.3,79,120,65.8,8,19,42.1,FWMF,7ca196eb
292,Lorenzo Colombo,343,2248,2024-2025,22,it ITA,Empoli,it Serie A,37,2248,25.0,26,11,0,6,2,8,5,1,1,0,343,508,67.5,21,25,12,2,48,5088,1106,185,241,76.8,102,148,68.9,28,50,56.0,FWMF,04df29a5
293,Roberto Piccoli,343,3145,2024-2025,23,it ITA,Cagliari,it Serie A,37,3145,34.9,37,0,0,10,1,11,9,1,1,0,343,517,66.3,13,32,7,0,37,4700,823,207,285,72.6,115,152,75.7,8,15,53.3,FW,1cadaf34
294,Musa Al-Taamari,343,1692,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,1692,18.8,19,7,0,3,1,4,3,0,0,0,343,436,78.7,22,17,15,1,38,4808,895,200,232,86.2,99,126,78.6,18,22,81.8,FWMF,f15f8b2b
295,Arnaut Danjuma,341,1547,2024-2025,27,nl NED,2 Teams,es La Liga,28,1547,17.2,18,10,5,4,0,4,4,0,0,0,341,468,72.9,23,18,24,8,42,5807,1512,171,200,85.5,129,168,76.8,32,63,50.8,FW,f08490a6
296,Issa Soumaré,339,1911,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,1911,21.2,21,8,1,5,4,9,5,0,0,0,339,554,61.2,28,17,16,4,45,5031,1198,186,259,71.8,108,172,62.8,23,55,41.8,FWMF,1d8aa290
297,Alessandro Zanoli,339,1727,2024-2025,23,it ITA,Genoa,it Serie A,31,1727,19.2,19,12,4,1,0,1,1,0,0,0,339,507,66.9,19,10,21,13,27,5557,1725,175,213,82.2,129,186,69.4,23,56,41.1,FWDF,3b12b11f
298,Mohamed Ali Cho,338,1642,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1642,18.2,21,6,2,3,4,7,3,0,0,0,338,481,70.3,30,23,36,5,59,4959,1248,205,247,83.0,105,147,71.4,19,42,45.2,FWMF,f8405304
299,Patrick Cutrone,336,2065,2024-2025,26,it ITA,Como,it Serie A,33,2065,22.9,23,10,5,7,4,11,7,0,1,1,336,478,70.3,19,16,10,2,31,4423,668,207,260,79.6,95,128,74.2,8,20,40.0,FW,a4fe8cda
300,Badredine Bouanani,330,1108,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1108,12.3,11,15,5,3,3,6,2,1,1,0,330,430,76.7,20,19,14,2,44,4881,1113,200,228,87.7,95,125,76.0,23,38,60.5,MFFW,0400dd2f
301,Tiago Tomás,329,1901,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1901,21.1,23,9,1,6,1,7,6,0,0,0,329,475,69.3,20,33,13,3,50,4977,1438,180,235,76.6,118,165,71.5,20,38,52.6,FWMF,b492126a
302,Jeremie Boga,329,1063,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1063,11.8,12,9,3,1,2,3,1,0,0,0,329,398,82.7,24,11,18,4,39,4487,1003,215,243,88.5,94,106,88.7,14,19,73.7,MFFW,fe012aca
303,Georges Mikautadze,326,1455,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1455,16.2,13,21,0,11,6,17,8,3,4,1,326,426,76.5,21,21,14,0,54,4382,925,191,231,82.7,94,122,77.0,13,17,76.5,FW,4788cb6b
304,Harry Wilson,326,1173,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1173,13.0,12,13,3,6,1,7,6,0,0,0,326,445,73.3,20,26,15,1,51,5413,1378,171,200,85.5,121,156,77.6,29,71,40.8,FWMF,c6dc9ecd
