,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
39,Matteo Politano,873,2835,2024-2025,30,it ITA,Napoli,it Serie A,37,2835,31.5,34,3,0,3,4,7,3,0,0,0,873,1261,69.2,56,65,55,23,129,14730,4786,433,496,87.3,340,473,71.9,77,189,40.7,FWMF,5e861944
40,Bryan Mbeumo,872,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3417,38.0,38,0,0,20,7,27,15,5,6,1,872,1319,66.1,70,63,59,19,141,13902,4325,476,602,79.1,313,441,71.0,68,183,37.2,FW,6afaebf2
41,Mattia Zaccagni,872,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,2708,30.1,33,1,0,8,6,14,6,2,2,0,872,1151,75.8,55,51,39,6,114,14136,3758,456,500,91.2,312,410,76.1,76,168,45.2,FW,d85c238b
42,Joelinton,863,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2403,26.7,29,0,0,4,3,7,4,0,0,0,863,1043,82.7,23,80,17,2,116,12199,3384,529,603,87.7,277,320,86.6,33,55,60.0,MFFW,c17bfb65
43,Alex Baena,857,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,2609,29.0,30,2,0,7,9,16,7,0,1,1,857,1287,66.6,95,95,72,19,189,17433,6579,314,394,79.7,393,535,73.5,138,278,49.6,MFFW,518f2234
44,Alberto Moleiro,845,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2729,30.3,32,3,1,6,1,7,6,0,0,0,845,1039,81.3,41,75,29,5,116,11961,2734,520,591,88.0,261,318,82.1,37,61,60.7,FWMF,c2c8897d
45,Ousmane Dembélé,844,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1745,19.4,20,9,1,21,6,27,20,1,1,0,844,1068,79.0,63,93,55,3,137,13453,3685,450,530,84.9,296,357,82.9,72,105,68.6,FW,b19db005
46,Emmanuel Gyasi,836,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,3225,35.8,37,0,0,2,1,3,2,0,0,0,836,1084,77.1,17,44,20,8,53,12882,4732,451,525,85.9,310,387,80.1,49,93,52.7,DFFW,f9758dae
47,Giuseppe Pezzella,829,2889,2024-2025,26,it ITA,Empoli,it Serie A,35,2889,32.1,34,1,2,0,3,3,0,0,0,0,829,1246,66.5,36,56,30,22,80,13802,5619,404,484,83.5,333,468,71.2,71,197,36.0,DFFW,149c5f5d
48,Luis Rioja,826,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,2872,31.9,33,4,0,5,3,8,3,2,2,0,826,1223,67.5,36,42,60,25,104,13732,3961,430,510,84.3,309,424,72.9,68,182,37.4,FW,eb3dd471
49,Christian Pulisic,825,2496,2024-2025,25,us USA,Milan,it Serie A,34,2496,27.7,29,5,0,11,9,20,8,3,4,1,825,1078,76.5,69,56,35,8,105,12131,3064,491,553,88.8,259,341,76.0,45,112,40.2,FWMF,1bf33a9a
50,Nicolás Domínguez,821,1981,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1981,22.0,23,11,3,0,1,1,0,0,0,0,821,947,86.7,13,81,11,1,83,11995,3387,463,508,91.1,279,312,89.4,34,55,61.8,MFFW,20b3a502
51,Antoine Semenyo,821,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3211,35.7,36,1,0,11,5,16,11,0,0,0,821,1119,73.4,46,49,45,8,109,11674,2915,501,586,85.5,252,334,75.4,37,97,38.1,FW,efd2ec23
52,Khvicha Kvaratskhelia,820,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,2112,23.5,26,5,2,9,6,15,8,1,1,0,820,1008,81.3,53,63,43,8,100,12570,3249,481,526,91.4,255,304,83.9,60,109,55.0,FWMF,dea88efd
53,Habib Diarra,812,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,2360,26.2,27,3,0,4,5,9,2,2,2,0,812,978,83.0,27,64,27,12,116,13413,2876,381,431,88.4,371,427,86.9,41,67,61.2,MFFW,6d0fe035
54,Junya Ito,811,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2703,30.0,31,2,0,4,3,7,4,0,0,0,811,1214,66.8,82,69,67,28,133,12385,4724,443,532,83.3,247,375,65.9,75,191,39.3,FWMF,dbd3a428
55,Matheus Cunha,811,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,2606,29.0,29,4,0,15,6,21,15,0,0,0,811,1133,71.6,56,92,58,10,144,12850,4384,460,539,85.3,228,300,76.0,87,197,44.2,MFFW,dc62b55d
56,Chris Führich,807,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1997,22.2,23,10,0,2,3,5,2,0,0,0,807,1003,80.5,32,39,51,13,95,11366,3268,500,554,90.3,238,302,78.8,41,80,51.3,MFFW,0cf778df
57,Domingos André Ribeiro Almeida,798,1997,2024-2025,24,pt POR,Valencia,es La Liga,34,1997,22.2,24,10,2,0,4,4,0,0,0,0,798,947,84.3,43,96,24,5,142,13067,3738,415,444,93.5,277,318,87.1,77,123,62.6,MFFW,e6697917
58,Bilal El Khannouss,798,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2201,24.5,27,5,3,2,3,5,2,0,0,0,798,1063,75.1,42,89,31,6,128,14413,4123,372,434,85.7,306,381,80.3,101,170,59.4,MFFW,f7042636
59,Amad Diallo,795,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1907,21.2,20,6,2,8,6,14,8,0,0,0,795,949,83.8,49,27,35,7,60,11030,2193,493,542,91.0,227,264,86.0,40,72,55.6,MFFW,9dc96f10
60,Phil Foden,791,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1787,19.9,20,8,5,7,2,9,7,0,0,0,791,941,84.1,43,41,39,6,103,12385,2615,469,516,90.9,242,271,89.3,67,112,59.8,MFFW,ed1e53f3
61,Isaac Palazón Camacho,783,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,2176,24.2,25,10,0,4,4,8,4,0,0,0,783,1015,77.1,48,77,19,4,117,13214,3942,407,461,88.3,271,327,82.9,86,163,52.8,MFFW,49dbab27
62,Ritsu Doan,783,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2877,32.0,33,1,0,10,7,17,10,0,0,0,783,1090,71.8,27,70,48,15,130,12072,4302,415,509,81.5,281,373,75.3,54,110,49.1,FWMF,d01bbb6f
63,Dodi Lukebakio,780,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,3103,34.5,36,2,0,11,2,13,10,1,1,0,780,1052,74.1,54,50,24,6,93,12204,2657,464,529,87.7,229,307,74.6,68,151,45.0,FW,0c61c77c
64,Eberechi Eze,777,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2605,28.9,31,3,0,8,8,16,7,1,2,1,777,1047,74.2,58,49,39,4,97,13221,3539,380,449,84.6,299,365,81.9,77,168,45.8,MFFW,ae4fc6a4
65,Giovani Lo Celso,766,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,1463,16.3,15,10,0,8,3,11,6,2,3,1,766,970,79.0,43,89,41,1,132,12440,4308,383,434,88.2,265,325,81.5,74,135,54.8,MFFW,d7553721
66,Arda Güler,763,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1261,14.0,14,14,10,3,4,7,3,0,0,0,763,886,86.1,40,82,31,5,93,12391,3189,414,441,93.9,265,299,88.6,67,112,59.8,MFFW,3741ca58
67,Teun Koopmeiners,761,2000,2024-2025,26,nl NED,Juventus,it Serie A,28,2000,22.2,23,5,1,3,3,6,3,0,0,0,761,953,79.9,38,63,18,3,89,12045,3133,395,437,90.4,285,328,86.9,57,136,41.9,MFFW,a26fb8aa
